I'm sad.	悲しいです。
Her father is liberal with money.	娘の父親は金離れがいい。
Democracy encourages freedom.	民主主義は自由を積極的に認める。
I go to the city pool every day.	毎日市営プールに行きます。
I remember locking the door.	僕はドアに鍵をかけた覚えがあるよ。
I would like to have this camera.	僕はこのカメラが欲しい。
Mother prepared lunch for me.	母は私に昼食の準備をしてくれた。
Try to write in plain English.	平易英語で書くようにしなさい。
I'm not sure I can afford it.	払えるかどうか分からないざます。
The wind is blowing from the west.	風は西から吹いている。
The wind is blowing from the east.	風は東から吹いている。
The wind is blowing on the grass.	風が草をなびかせている。
Take off your hat in the room.	部屋の中では帽子をぬぎなさい。
Her eyes were filled with tears.	彼女は目に涙を溜めていた。
I wonder if she will marry him.	彼女は彼と結婚するのかなあ。
She took a walk before breakfast.	彼女は朝食前に散歩した。
She is getting breakfast ready.	彼女は朝食の準備をしている。
She felt herself lifted up.	彼女は体がもちあげられるのを感じた。
She has many valuable books.	彼女は多くの高価な本を持っている。
She bought her son a camera.	彼女は息子にカメラを買ってあげた。
She takes pride in her looks.	彼女は自分の容貌を自慢している。
She is proud of her daughter.	彼女は自分の娘を自慢にしている。
She takes pride in her son.	彼女は自分の息子を誇りに思っている。
She is senior to me by two years.	彼女は私より２歳年上だ。
She laid the child down gently.	彼女は子供をそっと寝かせた。
She was in the mood for a walk.	彼女は散歩したい気分だった。
She is a woman of noble birth.	彼女は高貴な生まれの女性です。
She is wearing a valuable ring.	彼女は高価な指輪をしている。
She got on a bus for Harajuku.	彼女は原宿行きのバスに乗った。
She was satisfied with the result.	彼女は結果に満足した。
She refused to take the money.	彼女は金の受け取りを拒絶した。
She steeled herself not to cry.	彼女は泣くまいと気を張った。
She finished the job with ease.	彼女は簡単にその仕事終えた。
She gave out a sigh of relief.	彼女は安堵のため息をもらした。
She decided on marrying Tom.	彼女はトムと結婚することに決めた。
She gave the door a gentle push.	彼女はドアをそっと押した。
She turned pale at the news.	彼女はその知らせを聞いて青ざめた。
She denied having been there.	彼女はそこへ行くことを否定した。
She wired she was coming soon.	彼女はすぐいくと電報を打った。
She is getting married this fall.	彼女はこの秋結婚します。
She got married at the age of 25.	彼女は２５歳で結婚した。
She suffers from low blood pressure.	彼女は、低血圧だ。
Her manner marks her pride.	彼女の態度は彼女の誇りを示していた。
Her work is superior to mine.	彼女の作品は私のより優れている。
Her scream brought the police.	彼女の叫びが警察を呼び寄せた。
She was beaming with delight.	彼女の顔はうれしさで輝いていた。
Her feelings are easily wounded.	彼女の感情は傷つきやすい。
You had better take her advice.	彼女の意見に従うほうがいい。
He arrived the day she left.	彼女が発ったその日に彼は到着した。
They are mere creatures of habit.	彼ら単なる習慣の奴隷だ。
They won't come until tomorrow.	彼らは明日まで来ないだろう。
They worshipped him as a hero.	彼らは彼を英雄として崇拝した。
They climbed Mt. Fuji last week.	彼らは先週富士山に登った。
They laughed the speaker down.	彼らは笑って演説者を黙らせた。
They were lying on the grass.	彼らは芝生の上に横になっていた。
They drew the boat on the beach.	彼らはその船を岸にあげた。
They burned all the documents.	彼らはすべての書類を燃やした。
They believe Jane honest.	彼らはジェーンが正直であると信じている。
They got married six months ago.	彼らは６ヶ月前に結婚した。
I'll have them repair my car.	彼らに私の車を修繕してもらおう。
He'll leave by plane tomorrow.	彼は明日飛行機で行ってしまう。
He is going to start tomorrow.	彼は明日出発しようとしている。
He will call on me tomorrow.	彼は明日私を訪ねてくれるでしょう。
Will he call on me tomorrow?	彼は明日私を訪ねてくるでしょうか。
He will arrive in Kyoto tomorrow.	彼は明日京都につきます。
He will come to you tomorrow.	彼は明日そちらへ到着いたします。
He is senior to me by two years.	彼は僕より２才年上である。
He filled up the hole in the wall.	彼は壁の穴をふさいだ。
He talked about her illness.	彼は彼女の病気のことを言っていた。
He was not able to marry her.	彼は彼女と添い遂げられなかった。
He rarely stays home on Sunday.	彼は日曜にはめったにいない。
He was sick through the winter.	彼は冬の間ずっと病気だった。
He nodded to me as he passed.	彼は通りかかったときに会釈した。
He has been sick for a long time.	彼は長いあいだ病気です。
He is anything but a gentleman.	彼は断じて紳士などではない。
He is at once honest and kind.	彼は正直でもあり親切でもある。
He is far from being a gentleman.	彼は紳士どころではない。
He said so by way of a joke.	彼は冗談のつもりでそう言ったんだ。
He explained about the accident.	彼は事故について説明した。
He is anything but a poet.	彼は詩人なんていうものでは決してない。
He is senior to me by three years.	彼は私より三歳年上だ。
He didn't reply to my letter.	彼は私の手紙に返事をしなかった。
He made me sing on the stage.	彼は私をステージの上で歌わせた。
He died previous to my arrival.	彼は私が到着する前に死んだ。
He sat listening to the radio.	彼は座ってラジオを聞いていた。
He is, at bottom, an honest man.	彼は根は正直な人間である。
He has one dog and six cats.	彼は犬１匹とネコ６匹を飼っている。
He is related to me by marriage.	彼は結婚して親戚になった。
It appears that he was in a hurry.	彼は急いでいたらしい。
He balanced himself on a log.	彼は丸太の上に上手く乗っていた。
He was bursting to go home.	彼は家に帰りたくてうずうずしていた。
He has a good grasp of English.	彼は英語をよく理解している。
He is known as a great poet.	彼は偉大な詩人として知られている。
He knows how to make a radio.	彼はラジオの作り方を知っている。
He will be ruined for life.	彼はもう一生浮かび上がれないだろう。
It was not long before he arrived.	彼はまもなく到着した。
He is a gentleman in every way.	彼はまったくの紳士といえる。
Did he mention the accident?	彼はその事故のことを話しましたか。
He was satisfied with the result.	彼はその結果に満足した。
He was delighted at the result.	彼はその結果に大いに喜んだ。
He was denied that pleasure.	彼はその楽しみを与えられなかった。
He often eats breakfast there.	彼はしばしばそこで朝食をとる。
He arrived here last night.	彼はさくやここに到着したばかりです。
He filled the glass with wine.	彼はグラスにワインを満たした。
He is a man of considerable means.	彼はかなりの資産家だ。
He works for the sake of money.	彼はお金のために働いている。
He is what is called a gentleman.	彼はいわゆる紳士である。
He doesn't read many newspapers.	彼はあまり新聞を読まない。
He fell asleep immediately.	彼はあっという間に寝入ってしまった。
He is rarely in a good mood.	彼の機嫌がいいことなど滅多にない。
I don't want to bow down to him.	彼に頭を下げるのはいやだ。
Will you sell your house to him?	彼に家を売るつもりですか。
He is to blame for the failure.	彼にはその失敗の責任がある。
It is evident that he did it.	彼がそれをやったことは明らかだ。
We have two deliveries every day.	配達は毎日２回あります。
Apart from cats, I like animals.	猫は別として動物は好きだ。
Cats can see in the dark.	猫は暗闇の中でもものを見ることができる。
Even a cat may look at a king.	猫でも王様は見ることが出来る。
There was a sudden change of plan.	突然計画が変更された。
I had an intense pain in the head.	頭に激しい痛みがした。
I was on Flight 001 from Tokyo.	東京発の００１便で来ました。
They must have had an accident.	途中で何かあったに違いない。
The weather varies with seasons.	天候は季節によって変わる。
I guess it depends on the weather.	天気次第だと私は思う。
We are sorry about the bad weather.	天気が悪くて残念だ。
The pain shoots into my right leg.	痛みが右脚に走ります。
Birds are flying above the trees.	鳥が木の上を飛んでいる。
How about going out for lunch?	昼ご飯を食べに外に出ませんか。
Tea is widely grown in India.	茶はインドで広く栽培されている。
Slow and steady wins the race.	遅くとも着実なのが競争に勝つ。
He will eventually ruin himself.	遅かれ早かれ彼は破滅する。
No one to blame but yourself.	誰の責任でもなく君自身の責任だ。
Is there a knife in the kitchen?	台所にナイフがありますか。
The sun is brighter than the moon.	太陽は月よりも明るい。
The sun was burning in the sky.	太陽は空で明るく輝いていた。
The sun is sinking in the west.	太陽が西に沈もうとしている。
I dare say it will rain tomorrow.	多分明日は、雨でしょう。
Can you make it special delivery?	速達にしてくれませんか。
Yes. You're absolutely right.	全くあなたのおっしゃる通りです。
War is a crime against humanity.	戦争は人類に対する犯罪だ。
The teacher collected the papers.	先生は答案用紙を集めた。
I'm not absolutely sure.	絶対に確信があるというわけではありません。
The baby is crying for milk.	赤ちゃんがお乳を欲しがっています。
I have kids to take care of.	世話しなくちゃならない子供がいる。
We appreciate your kind advice.	親切な助言に感謝いたします。
The newspaper is by your side.	新聞はあなたの脇にありますよ。
Shinya married a pretty girl.	慎也はかわいい女の子と結婚した。
The floor was covered with dust.	床はほこりをかぶっていた。
The general shook hands with us.	将軍は私たちと握手をした。
Repairs will cost a lot of money.	修理は高くつくでしょう。
The wheel began to roll slowly.	車輪はゆっくり転がり始めた。
I filled in my name on the paper.	紙に自分の名を記入した。
We grow a variety of crops.	私達はいろいろな農作物を育てている。
I take two newspapers daily.	私は毎日２種類の新聞を取っている。
I'm busy looking for an apartment.	私は部屋探しに忙しい。
I've climbed Mt. Fuji four times.	富士山には四回登ったよ。
I had a good laugh at her joke.	私は彼女の冗談に大笑いした。
I have been honest with him.	私は彼と誠実に付き合ってきました。
I arrived on the night he left.	私は彼が出発した夜についた。
I bought a camera two days ago.	私は二日前にカメラを買った。
I am forever in trouble.	私は次から次へと面倒なことに巻き込まれる。
I feel sad every now and then.	私は時々悲しくなることがある。
I tried climbing the mountain.	私は試しにその山に登ってみた。
I prefer meat to fish any day.	私は魚よりも肉の方が断然いい。
I am easily affected by cold weather.	私は寒さに弱い。
I have my own bedroom at home.	私は家に自分の部屋があります。
I must brush up my English.	私は英語をやり直さなければならない。
I've already eaten breakfast.	私はもう既に朝食を済ませました。
I haven't eaten breakfast yet.	私はまだ朝食を食べていません。
I have not eaten breakfast yet.	私はまだ朝食をとっていない。
I can't make head nor tail of it.	私はそれを理解できない。
I have several dozens of them.	私はそれを数ダース持っている。
I read about it in the newspaper.	私はそれを新聞で読んだ。
I nodded, but did not move.	私はうなずいたが、動きはしなかった。
I take part in your enterprise.	私はあなたの企画に参加する。
I watch television all day long.	私は１日中テレビを見ます。
I have been to Kyoto twice.	私は、２度、京都へ行ったことがある。
My skin burns easily in the sun.	私の皮膚は日焼けしやすい。
I owe my success to my friend.	私の成功は友人のおかげである。
My sister sings songs very well.	私の姉は歌がとてもうまい。
I owe what I am today to you.	私の今日あるのは貴方のお陰です。
My house is close to a bus stop.	私の家はバス停の近くです。
My knife has such a fine edge.	私のナイフの刃は、とても鋭い。
We gain wisdom with age.	私たちは歳をとるにつれて知恵を身につける。
We use words to communicate.	私たちは言葉によって意志を伝える。
We often eat lunch together.	私たちはよく一緒に御昼を食べます。
We will get married in June.	私たちは６月に結婚するつもりです。
Our train arrived on time.	私たちの列車は時間通りに到着しました。
We wear uniforms at our school.	私たちの学校では制服を着る。
Our team gained a great victory.	私たちのチームは大勝した。
I owe what I am to my mother.	私が今日あるのは母親のおかげだ。
He wouldn't even lift a finger.	指一本動かそうとしなかった。
I'm ahead of my work schedule.	仕事の予定より前に進んでいる。
Walking is an excellent exercise.	散歩は優れた運動である。
I had a terrible dream last night.	昨晩恐ろしい夢を見た。
Something's wrong with my e-mail.	最近メールの調子が悪い。
We have to do without sugar.	砂糖なしですまさなければならない。
Would you like sugar and milk?	砂糖とミルクはどうされますか。
We are having some people tonight.	今夜何人かの客がある。
I'm going out with Lisa tonight.	今晩リサと遊びに行くんだ。
Thanks for coming over tonight.	今晩は来てくれてありがとう。
Can you come for dinner tonight?	今晩、食事にこられますか。
I missed my bus this morning.	今日はいつものバスに乗り損ねた。
The street is free from snow now.	今通りには全く雪がない。
Can you repeat what you said?	今のをもう一度言っていただける。
I'm a bit short of money now.	今、ちょっとお金が足りなくてね。
A black and white dog bit me.	白黒まだらの犬が私にかみついた。
I had my money stolen in the park.	公園でお金を盗まれた。
You are to observe traffic rules.	交通規則は守るべきです。
Operator, we were cut off.	交換手さん、電話が切れてしまいました。
How soon are we going to arrive?	後どのくらいで着きますか。
It rained heavily in the morning.	午前中激しく雨が降った。
Is there a flight in the morning?	午前中の便はありますか。
We came in view of the lake.	湖の見える所に私たちはやってきた。
A word to the wise is sufficient.	賢者はひと言にして足る。
The moon hid her face in the cloud.	月は雲に顔を隠した。
My plan was eventually adopted.	結局は私の計画が採用された。
He is far from being a gentleman.	決して彼は紳士ではない。
It is time you got married.	君もそろそろ結婚してもいい年頃だね。
Which club do you belong to?	君はどのクラブに所属していますか。
Your eyes remind me of stars.	君の眼は、私に星を思い出させる。
I have absolute trust in you.	君のことは完全に信用しています。
Let me give you a bit of advice.	君に一つ忠告しておきたい。
The express arrives at 6:30 p.m.	急行は午後６時３０分着だ。
Hurry up, or you'll be late.	急ぎなさい、さもないと遅れますよ。
The hat on the desk is Chama's.	机の上の帽子は、茶魔のです。
The bill must be paid today.	勘定は今日支払わなければならない。
There was a violent storm at sea.	海上では激しい嵐だった。
Recovery was almost impossible.	回復はほとんど不可能だった。
We are lovers of the beautiful.	我々は美を愛する人間である。
I don't know where we'll arrive.	何処に着くかも分からない。
The music gradually died away.	音は静まり次第に消えて行った。
Yokohama is a beautiful port town.	横浜は美しい港町です。
I bought a box lunch at the station.	駅で弁当をかった。
How about going to the movies?	映画を見に行くのはどうですか。
Do you feel any pain in your stomach?	胃が痛みますか。
The chair hasn't arrived yet.	椅子がまだ届いていないんですが。
Darkness is the absence of light.	闇とは光がないことです。
Let's shake hands and be friends.	握手をして仲良くしよう。
When does the restaurant open?	レストランはいつ開店しますか。
I sold off all my records.	レコードは全部売り払ってしまったんだ。
Fill it with regular, please.	レギュラー満タンでお願いします。
Slow and steady wins the race.	ゆっくりと着実なのが結局勝つ。
Tell me the more exact time.	もっと正確な時間を教えてください。
I'd like some more bread, please.	もう少しパンをください。
Could you repeat that, please?	もう一度言ってくださいますか。
I will give you five days' grace.	もう５日間待ちましょう。
I wish to climb Mt. Fuji again.	もう１度富士山にのぼりたい。
Will you warm the milk, please?	ミルクを暖めてくれませんか。
The engine has broken down again.	またエンジンが故障した。
I felt the engine running.	僕はエンジンをかけたままにしておいた。
My car burns a lot of gas.	ぼくの自動車はずいぶんガソリンをくう。
The Hindus worship in temples.	ヒンズー教徒は寺院で礼拝する。
Bill is two years senior to me.	ビルは私より２歳年上である。
The band has played a march.	バンドが行進曲を終えたところです。
There were no visible dangers.	はっきりわかる危険はなかった。
The bus stop is near our school.	バス停は学校の近くにある。
The bus passed five minutes ago.	バスは５分前に通り過ぎた。
I often talk to him on the bus.	バスの中で彼とよく喋ります。
I often talk to him on the bus.	バスの中でよく彼と話します。
The bus stopped and we got on.	バスが止まり、私たちは乗った。
I can see the tiniest spot.	どんな小さな点でも見ることができる。
Tom slipped out of the classroom.	トムは教室を抜け出した。
Anyway, I gave it my best shot.	とにかく全力を尽くしたんだ。
At last we can afford a house.	とうとう私たちは家が買えます。
Please turn on the television.	どうぞテレビをつけてください。
Please make yourself comfortable.	どうぞお楽にして下さい。
Will you turn on the television?	テレビをつけてくれますか。
At last, the bus company gave in.	ついにバス会社が折れた。
Let me give you some advice.	ちょっとアドバイスさせてください。
Who is to blame for the failure?	だれにその責任があるのか。
I only just saw the accident.	たった今その事故を見たばかりだ。
Many birds are on the branch.	たくさんの鳥が枝にとまっている。
That is a custom proper to Japan.	それは日本固有の習慣だ。
I just meant it as a joke.	それはほんの冗談のつもりで言ったんだ。
It was all covered with dust.	それはすっかり埃で覆われていた。
That accounts for the accident.	それで事故の原因が分かった。
The old man is blind in one eye.	その老人は片目が見えない。
The medicine gave instant relief.	その薬ですぐ楽になった。
The lawyer has a fair income.	その弁護士はかなりの収入がある。
The wall is thirty yards long.	その壁は３０ヤードの長さです。
The cat seems to want some water.	その猫は水がほしそうだ。
That store sells meat and fish.	その店は肉と魚を売っている。
The proposal met with opposition.	その提案は反対を受けた。
The district is short of water.	その地域は水が不足している。
The man is anything but honest.	その男は決して誠実ではない。
The man lay asleep all day long.	その男は一日中眠っていた。
The people don't like the birds.	その人々は鳥が嫌いである。
The boy made a fool of himself.	その少年は馬鹿なまねをした。
The boy makes a fool of adults.	その少年は大人をばかにする。
The letter was written by Bill.	その手紙はビルが書きました。
It is worth visiting the temple.	その寺は訪れる価値がある。
The accident occurred on Friday.	その事故は金曜日に起きた。
He is to blame for the accident.	その事故の責任は彼にある。
We are familiar with the poem.	その詩はみながよく知っている。
The sight arrested my attention.	その光景に注意を引かれた。
The scene made my stomach turn.	その光景で気分が悪くなった。
The words were spelled wrong.	その語はつづりがまちがっている。
The dog seems to have been sick.	その犬は病気だったらしい。
Let's sing the song in English.	その歌を英語で歌いましょう。
The liquid does not strain well.	その液体はうまくこせない。
That movie star has many fans.	その映画俳優にはファンが多い。
The ruins are worth visiting.	その遺跡は訪れてみる価値がある。
The boat sank during the storm.	そのボードは嵐の間に沈んだ。
The boat sank during the storm.	そのボートは嵐の間に沈んだ。
You don't have to be so nervous.	そう心配しなくてもいいよ。
You really must see that movie.	ぜひその映画を見るべきです。
Don't exceed the speed limit.	スピード制限を越えてはいけない。
Yes, she'll be with you in a minute.	すぐに行かせます。
The school bus could not run.	スクールバスが走れませんでした。
Susan is two years my senior.	スーザンはわたしより２つ年上だ。
John is admitted to be a fool.	ジョンは馬鹿だと思われている。
Jack is wise beyond all others.	ジャックは他の誰よりも賢い。
But human beings are different.	しかし、人間はちがっている。
This isn't your hat, is it?	これはあなたの帽子ではありませんね。
Is this your favorite song?	これはあなたのお気に入りの曲ですか。
I have mixed feelings about this.	これには複雑な気持ちだ。
Please fill out this form.	この用紙に必須事項を記入してください。
Take this medicine twice a day.	この薬を１日２回飲みなさい。
This story is founded on fact.	この物語は事実に基づいている。
The current of this river is rapid.	この川の流れは急だ。
Please fill out this form.	この書類に必要事項を書き込んで下さい。
Remember to mail this letter.	この手紙を忘れずに投函しなさい。
This car isn't worth repairing.	この車は直しても甲斐が無い。
This job is my bread and butter.	この仕事が私の収入源です。
Does this bus go to the beach?	このバスは、海岸に行きますか。
Does anyone claim this knife?	このナイフの持ち主はいませんか。
I filled this glass with milk.	このコップをミルクで満たした。
The current is rapid around here.	このあたりは流れが速い。
Let's meet here again tomorrow.	ここで明日また会いましょう。
We can hear the ocean from here.	ここから海の音が聞こえる。
A button has come off my coat.	コートのボタンが取れてたんだ。
Cathy had her hat blown away.	キャシィは帽子を吹き飛ばされた。
It must have slipped my mind.	きっともう忘れたと言うことだわ。
He got married to Ann last month.	彼は先月アンと結婚した。
I should've brought my camera.	カメラを持ってくればよかった。
The camera was essential for me.	カメラは私の必需品でした。
Would you like meat or fish?	お肉とお魚、どちらになさいますか。
She is exact in money matters.	お金の事では彼女は几帳面です。
I'd like to say yes, but...	お引き受けしたいんですけれど・・・。
Look! We've missed the bus.	おっと、バスに乗りそこなっちゃたよ。
The engine would not start.	エンジンがどうしてもかからなかった。
Why don't we have lunch together?	いっしょに昼食でもどう？
How long has it been snowing?	いつから雪が降っているのですか。
You should have seen the movie.	あの映画は見るべきだったね。
I want you to meet my parents.	あなたを私の両親に紹介したい。
I did not want to alarm you.	あなたを驚かせたくなかったのです。
I am delighted at your success.	あなたの成功を喜んでいます。
It is a privilege to meet you.	あなたにお会いできて光栄です。
I feel ill at ease with her.	あたしは彼女といると落ち着かない。
I burned my hand with an iron.	アイロンで手をやけどしました。
That guy really burns me up.	あいつは、まったく頭にくるやつだ。
Oh, just fill out this form.	あぁ、この用紙に書き込むだけです。
It'll arrive in Chicago at 6:30.	６時半にシカゴに着きます。
A yard is equal to three feet.	１ヤードは３フィートに等しい。
Will you honor this check?	この小切手で支払いを認めてくれますか。
The cat is sleeping on the chair.	猫は椅子の上で寝ている。
Make it a normal packed lunch, OK?	普通のお弁当にしてね。
He shares living expenses with me.	彼が私と生計を一にします
The lighting creates an atmosphere.	照明が雰囲気を出します
We rely on him heavily for X.	Xについては彼に頼るところが大きい
The car slowed down all of sudden.	急に車のスピードが落ちた
He makes a suggestion to you.	彼があなたに一つの方法を提案します
It is typical of the 20th century.	それが２０世紀を代表する
He climbed a flight of 100 steps.	彼が１００段の階段を上った
He rarely has a chance to go out.	彼がなかなか外に出られない
He has sold shares in Company A.	彼がＡ社の株式を売却しました
I'm busy getting ready for tomorrow.	明日の準備で忙しい。
At first, I thought they were sick.	初めは病気だと思った。
I have a gripping pain here.	ここが締めつけられるように痛みます。
The palace was heavily guarded.	宮殿は物々しい警戒ぶりだった。
Most workers belong to unions.	労働者の大半は組合に属している。
Trains were arriving on time.	列車は定刻に到着するところだった。
The train arrived at Osaka station.	列車は大阪駅に着いた。
Beams bear the weight of the roof.	梁が屋根をささえている。
Both of my parents aren't alive.	両親ともに健在とは限らない。
It appears the storm has calmed down.	嵐はやんだようだ。
In short, he was too honest.	要するに、彼はあまりにも正直すぎた。
All the seats are sold in advance.	予約は全て前売りである。
The schedule must be maintained.	予定は守らなければならない。
The budget passed the Upper House.	予算案は上院を通過した。
We are traveling on a tight budget.	予算が限られています。
Speech is silver, silence is golden.	雄弁は銀、沈黙は金。
The mail is delivered once a day.	郵便は１日１回配達される。
We rarely come across big names.	有名人と偶然会うのは珍しい。
It may well rain before tonight.	夜になる前に雨になりそうだ。
I hope it will be fine tomorrow.	明日晴れるといいと思います。
May I come and see you tomorrow?	明日伺ってもよろしいですか。
Wake me up early tomorrow morning.	明日は早く起こしてくれ。
Don't be late for school tomorrow.	明日は学校に遅れるなよ。
I'm afraid it may rain tomorrow.	明日は雨になるかもしれない。
What's your schedule for tomorrow?	明日はどんな予定ですか。
Let's visit some temples tomorrow.	明日は、寺巡りをしよう。
Was it a full moon or a new moon?	満月でしたか新月でしたか。
He failed the examination again.	又してもかれは試験に落ちた。
I fell asleep while reading.	本を読みながら、私は眠ってしまった。
It goes against the grain with me.	僕はそれが気にいらない。
The bill will never go through.	法案はまず可決されないだろう。
Let's split the reward fifty-fifty.	報酬は山分けにしよう。
Speech is silver, silence is golden.	弁舌は銀、沈黙は金。
I had my hat blown off by the wind.	風で帽子を飛ばされた。
The wind gently kissed the trees.	風が柔らかく木立に触れた。
Don't make a fool of the poor.	貧しい人を馬鹿にしてはいけない。
Please breathe through your nose.	鼻で息をしていてください。
I don't want to miss my flight.	飛行機に乗り遅れたくないんだ。
Don't let the cat out of the bag.	秘密を漏らしてはいけない。
All my advice was lost on her.	彼女への忠告はすべて無駄だった。
She'll be getting married next year.	彼女は来年結婚する。
She is a reflection of her mother.	彼女は母親にそっくりだ。
She will get married to a rich man.	彼女は富豪と結婚する。
She brushed her husband's hat.	彼女は夫の帽子にブラシをかけた。
She sat down and crossed her legs.	彼女は足を組んで座った。
She watched the bird carefully.	彼女は小鳥を注意して見つめた。
She forgot to mail the letter.	彼女は手紙を投函するのを忘れた。
She takes pride in her daughter.	彼女は自分の娘が誇りである。
She is proud of her sons.	彼女は自分の息子たちを誇りに思っています。
She colored up to her temples.	彼女は耳のつけ根まで赤くなった。
She is senior to me by six years.	彼女は私より６歳年上です。
She screamed that I was to blame.	彼女は私が悪いと絶叫した。
She looked back on her childhood.	彼女は子供時代を回想した。
She is very exact in her job.	彼女は仕事が非常にきちょうめんだ。
She took some meat from the plate.	彼女は皿から肉を取った。
She is willing to do odd jobs.	彼女は雑用をするのをいとわない。
She is giving a party tonight.	彼女は今夜パーティーを開きます。
She cleaned her room in a hurry.	彼女は急いで部屋を掃除した。
She is excellent at making speeches.	彼女は演説がうまい。
Perhaps she will come tomorrow.	彼女はたぶん明日来るでしょう。
She turned pale at the news.	彼女はその知らせを聞いて青くなった。
She turned pale at the news.	彼女はそのニュースを聞いて青ざめた。
She was admitted to the club.	彼女はそのクラブに入会を許された。
She was barred from the club.	彼女はそのクラブから締め出された。
She was a track star once.	彼女はかつてトラック競技のスターだった。
She will probably marry one day.	彼女はいつか結婚するだろう。
She is married to an American.	彼女はアメリカ人と結婚している。
She gave me some good advice.	彼女がいいアドバイスをしてくれた。
I can't pretend to like him.	彼を気に入っているふりなどできない。
They will get married next month.	彼らは来月結婚するだろう。
They are proud of their daughter.	彼らは娘を自慢にしている。
They had a long wait for the bus.	彼らは長い間バスを待った。
They like to play in the snow.	彼らは雪の中で遊ぶのが好きです。
They married when they were young.	彼らは若くして結婚した。
They forced me to sing a song.	彼らは私に無理矢理詩を歌わせた。
They have been married two years.	彼らは結婚して二年になる。
They rushed out of the room.	彼らは急いで部屋から出ていきました。
They cleared the street of snow.	彼らは街路の雪を取り払った。
They were listening to the radio.	彼らはラジオを聞いていた。
They married on Christmas Eve.	彼らはクリスマスイヴに結婚した。
They shook hands with each other.	彼らはおたがい握手をした。
Their wedding will be tomorrow.	彼らの結婚式は明日行われます。
He gave a good piece of advice.	彼は良い忠告を一つしてくれた。
He likes to sing popular songs.	彼は流行歌を歌うのが好きです。
He preferred studying at night.	彼は夜勉強する方が好きだった。
Will he call on me tomorrow?	彼は明日私を訪ねてくれるでしょうか。
I'm sure he will come tomorrow.	彼は明日きっと来ると思います。
I don't believe he is a lawyer.	彼は弁護士ではないと思います。
He pretended not to be listening.	彼は聞いてないふりをした。
He filled the bottle with water.	彼は瓶に水をいっぱい入れた。
He nods and shakes the spheres.	彼は飛ぶ鳥を落とす勢いである。
He was conscious of her presence.	彼は彼女の存在を意識した。
He was shown the photo by her.	彼は彼女にその写真を見せられた。
He became wiser as he grew older.	彼は年とともに賢くなった。
He has an estate in the country.	彼は田舎に地所を持っている。
He bowed to me as he passed by.	彼は通りすがりにお辞儀をした。
He was praised for saving a life.	彼は人命救助で賞賛された。
He stopped reading the newspaper.	彼は新聞を読むのをやめた。
He was killed in a car accident.	彼は自動車事故でなくなった。
He shook it and looked again.	彼は時計を振って、また時計を見た。
He had twice as much money as I.	彼は私の倍の金を持っていた。
He didn't agree to my proposal.	彼は私の提案に賛成しなかった。
He took no notice of my advice.	彼は私の忠告に注意しなかった。
He would not follow my advice.	彼は私の忠告に従おうとはしない。
He assisted me with my business.	彼は私の仕事を助けてくれた。
He tried to put the blame on me.	彼は私のせいにしようとした。
He bought me a nice camera.	彼は私にすてきなカメラを買ってくれた。
He's going to join our club.	彼は私たちのクラブにはいるつもりだ。
He raised a finger in protest.	彼は指を立てて抗議の意を示した。
He has been sick since last night.	彼は昨晩から具合が悪い。
He was in time for the last bus.	彼は最終のバスに間に合った。
He was in time for the last bus.	彼は最後のバスに間に合った。
He will reach Hakodate tonight.	彼は今晩小館に到着するだろう。
He is older and wiser now.	彼は今少し大人になって分別がついている。
He doesn't live there anymore.	彼は今はもうそこに住んでいない。
He is now a senior at Harvard.	彼は今ハーバード大学の四年生だ。
He stole my money from the safe.	彼は金庫から私の金を盗んだ。
He slipped out of the classroom.	彼は教室をさっと抜け出した。
He pretends to know everything.	彼は何でも、しったかぶりする。
He is superior to me in English.	彼は英語は私より優れている。
He worked ten hours at a stretch.	彼は一気に１０時間働いた。
He pressed the button and waited.	彼はボタンを押して待った。
He made do with a bed of grass.	彼はベッドを草で間に合わせた。
He is suffering from a bad cold.	彼はひどいかぜになっている。
Why did he go out in a hurry?	彼はなぜ急いで出ていったのですか。
He is very honest in business.	彼はとても誠実に商売をしている。
He lives somewhere about here.	彼はどこかこの近くに住んでいる。
He prefers French to German.	彼はドイツ語よりフランス語が好きだ。
He drove the truck to Dallas.	彼はダラスまでトラックを運転した。
He regarded the story as a joke.	彼はその話を冗談だと考えた。
He solved the problem with ease.	彼はその問題を簡単に解いた。
He is to blame for the failure.	彼はその失敗に対し責任がある。
He demands immediate payment.	彼はすぐ支払うことを要求している。
He refuses to listen to me.	彼はがんとして私の言うことを聞かない。
He isn't going to buy a camera.	彼はカメラを買うつもりはない。
He won but only at a price.	彼はかなりの犠牲を払ってやっと勝った。
He left the motor running.	彼はエンジンをかけっぱなしにしておいた。
He is, so to speak, a learned fool.	彼はいわば学者ばかだ。
He differs from me in some ways.	彼はいくつかの点で私と違う。
He arrived at the station at seven.	彼は７時に駅に着いた。
He arrived at the station at five.	彼は５時に駅へ到着した。
He ate himself into the grave.	彼は、食べ過ぎて、命を短くした。
He is ten years senior to you.	彼の方があなたより１０歳年上だ。
He is rarely in a good mood.	彼の機嫌が良いことなどめったにない。
He differs in opinion from her.	彼の意見は彼女のものとは違う。
He is anything but a gentleman.	彼が紳士だなんてとんでもない。
He that knows little often repeats it.	馬鹿の一つ覚え。
Do you have Japanese newspapers?	日本語の新聞はないのですか。
