Wrong.	違うんだ。
That was only a year ago.	それはほんの１年前のことだった。
Cross the road with care.	その道路は気をつけて渡りなさい。
The road came to a dead end.	その道は行き止まりだった。
Did you receive the letter?	その手紙を受け取りましたか。
The dog was run over by a car.	その犬は車にひかれた。
Is the bank far from here?	その銀行はここから遠いですか。
I had him in that discussion.	その議論で彼を論破した。
I bought the TV from her.	そのテレビは彼女から買ったんだ。
The idea made my soul rise.	そう思うと私の心は高ぶった。
I will write to you soon.	すぐあなたに手紙を書きましょう。
We made a date to meet soon.	じきにまた会う約束をした。
Cut this into very fine pieces.	これを寸断してくれ。
Bear these rules in mind.	これらの規則を覚えておきなさい。
This is the best thing on earth.	これは天下一品だ。
This problem seems difficult.	この問題は、難しそうだ。
This book seems easy to me.	この本は私には簡単に思える。
Is there a bank near here?	この辺りに銀行はありませんか。
Can he write this character?	彼はこの文字が書けますか。
This room is air-conditioned.	この部屋は冷房してある。
Send this letter by air.	この手紙を航空便で出してください。
The rule reads in two ways.	この規則は二通りに読めます。
The picture is true to life.	この絵は実物にそっくりだ。
This rose is very beautiful.	このバラはとてもきれいだ。
May I try on this dress?	このドレスを試着してもいいですか。
Don't share this with anyone.	このことは誰にも言うな。
This glass contains water.	このコップには水が入っている。
Come over here and join us.	ここへきて仲間に入りなさい。
Ken runs faster than you.	ケンはあなたよりも速く走ります。
Your knowledge surprises me.	きみの博識は私を驚かせる。
Come on! Give me a chance.	お願いだ！俺にチャンスをくれ。
I can't give up on my dreams.	オレは夢を捨てられない。
What are you eyeing?	おまえの目はいったいどこについているんだ。
We call our dog Johnnie.	うちの犬はジョニーと呼ばれている。
Please call me at any time.	いつでも電話をしてください。
Can anyone believe you?	いったい誰が君の話を信じるだろうか。
I wonder when Anne will come.	アンはいつ来るのかしら？
You are quite in the wrong.	あなたは全く間違っています。
May I have your name, please?	あなたの名前は何ですか。
May I take your picture?	あなたの写真を撮ってもいいですか。
Choose a dress you like.	あなたのすきなドレスを選びなさい。
It is a cold morning for June.	６月にしては寒い朝だ。
I'll be back within two hours.	２時間以内に戻ります。
I'll be back within an hour.	１時間以内に戻ってきます。
Everything is fine so far.	今のところはすべて申し分無い。
At what hour was she born?	彼女は何時に生まれたんですか。
Who cares about bad manners?	無礼もヘチマもあるものか。
Everyone's heard that once.	その言葉を誰もが一度は耳にした
It is said that is effective.	それが効果的と言われている
I understood X very clearly.	Xが、はっきりと分かりました
He played the music with me/them.	彼が一緒に音を出す
I don't see anyone else at all. 	全く人の姿が見えない
It will produce more effect.	それがさらに効果を発揮します
It's around the city center.	それがほぼ街の中心に位置する
I felt like I was protected.	自分が護られている様に思えた
It's too early to check in.	まだチェックインには時間が早い
X is finally more likely.	Xがいよいよ現実味を帯びてきました
Everyone holds each other's hands.	みんなで手を繋ぐ
The two roads cross there.	二本の道はそこでクロスしている。
Would you please stop talking?	話をやめてくれませんか。
Let's be done with the argument.	論議を終えましょう。
That's the spirit, Mr Suzuki.	鈴木さん、その意気ですよ。
I'm going by the post office.	郵便局のそばを通ってるよ。
We must not break our promise.	約束を破ってはいけない。
I want you to keep your promise.	約束を守って欲しい。
I quite forget your name.	名前をすっかり忘れてしまいました。
May all my dreams come true.	夢がすべてかないますように。
Should it be fine, I will go.	万一天気なら私は行きます。
My house looks toward the sea.	僕の家は海に面している。
Trade helps nations develop.	貿易は諸国の発展を促進する。
There is a picture on the wall.	壁に絵が掛かっている。
A lot of colds are going around.	風邪がはやっている。
Could I see the room please?	部屋を見せていただけますか。
She wrote down what he said.	彼女は彼の言葉を書き留めた。
She has a small black dog.	彼女は小さな黒い犬を飼っている。
She attempted to kill herself.	彼女は自殺しようとした。
She found me a good seat.	彼女は私によい席を見つけてくれた。
She says that she is happy.	彼女は幸せであると言っている。
She seems to have been happy.	彼女は幸せであったようだ。
She is by no means beautiful.	彼女は決して美人ではない。
She waited for hours and hours.	彼女は何時間も待った。
What is she worried about?	彼女は何を心配しているのですか。
She kissed me like anything.	彼女ははげしく私にキスした。
She especially likes music.	彼女はとりわけ音楽が好きです。
She ran as fast as possible.	彼女はできる限り速く走った。
She ran as fast as possible.	彼女はできるだけ速く走った。
She began to talk to the dog.	彼女はその犬に話し始めた。
I don't particularly like her.	彼女はあまり好きでない。
She passed away two days ago.	彼女は２日前に亡くなった。
She could pass for twenty.	彼女は２０歳といっても通用する。
She came back an hour later.	彼女は１時間後に帰ってきた。
I enjoyed talking with her.	彼女とのおしゃべりを楽しんだ。
I will wait until she comes.	彼女が来るまで待つつもりだ。
She has been dead five years.	彼女が死んで５年たちます。
Can she get the law degree?	彼女、法律の学位は取れますか。
They will keep their promise.	彼らは約束を守るでしょう。
They seem to go together.	彼らは釣り合いがとれているようだ。
Are they writing a letter?	彼らは手紙を書いているのですか。
Do they take care of the dog?	彼らは犬の世話をしますか。
They lacked for nothing.	彼らは何一つ不自由なものはなかった。
They are talking about music.	彼らは音楽の話をしている。
They carried out the project.	彼らはその計画を実行した。
They work eight hours a day.	彼らは１日に８時間働きます。
He showed me her picture.	彼は僕に彼女の写真を見せてくれた。
He gave her a piece of paper.	彼は彼女に紙を１枚あげた。
He was waiting for a long time.	彼は長い間待っていた。
He came back home a while ago.	彼は先程家に帰ってきた。
He had been writing a letter.	彼は手紙を書き続けていた。
He comes to meet me sometimes.	彼は時々私に会いに来る。
He showed us some pictures.	彼は私達に写真を見せてくれた。
He does not run as fast as I.	彼は私ほど速くは走らない。
He is a good husband to me.	彼は私にとって良い夫なんです。
He is in the banking line.	彼は銀行関係の仕事をしています。
There is nothing wrong with him.	彼は何処も悪くない。
He came home in high spirits.	彼は意気揚々と引き返した。
He kept me waiting on purpose.	彼はわざと私を待たせた。
He has become a memory.	彼はもはや思い出の人となってしまった。
He looks blue for some reason.	彼はなぜかふさいでいる。
Which direction did he go?	彼はどっちの方向へ行きましたか。
No doubt he will come later.	彼はたぶん後から来るだろう。
He laid claim to the land.	彼はその土地の所有権を主張した。
He left everything to chance.	彼はいっさいを運に任せた。
He was listening to music.	彼は、音楽に聞き入っていました。
He has an eye for the beautiful.	彼には審美眼がある。
He feels the cold very much.	彼には寒さがとてもこたえる。
He kept me waiting for an hour.	彼に１時間待たされた。
The horse would not move.	馬はどうしても動こうとしなかった。
Japan was hard up for oil.	日本は石油が不足して困っていた。
The capital of Japan is Tokyo.	日本の首都は東京である。
He was suddenly very happy.	突然とてもうれしくなりました。
The road rises from there.	道はそこから上り坂になっている。
Effort produces fine results.	努力は良い結果を生み出す。
Please hold on a moment.	電話を切らずにちょっとお待ち下さい。
Are you through with the phone?	電話もうおすみですか。
Did you see anyone run away?	誰かが逃げるのを見ましたか。
Have you been waited on?	誰かがご用を伺っているのでしょうか。
The price of oil is going up.	石油の値段が上がっている。
Keep an eye on the girls.	女の子たちから目を離さないように。
Don't forget to write to me.	手紙を書くのを忘れないでね。
I'm saving money for a car.	車を買うために貯金をしている。
Time is pressing every moment.	時間が刻々と迫っている。
We lived close by the sea.	私達は海のすぐそばに住んでいた。
We came in view of the sea.	私達は海が見えるところに来た。
I go to church every Sunday.	毎週日曜日は教会に行きます。
I left earlier than my sister.	私は妹より早く出発した。
I talked with her for an hour.	私は彼女と一時間話した。
I received a letter from her.	彼女から手紙を受け取った。
I called him up on the phone.	私は彼を電話に呼び出した。
I explained the rule to him.	私は彼にその規則を説明した。
I have nothing special to say.	私は特に言うことはない。
I met him in Tokyo by chance.	私は東京で偶然彼に会った。
I walked about the street.	私は通りをあちこち歩きまわった。
I'm not in the least worried.	私は少しも心配していない。
I am going to write a letter.	私は手紙を書くつもりです。
I saw it with my own eyes.	私は自分の目でそれを見たのです。
I saw it with my own eyes.	私は私自身の目でそれを見たのだ。
I had a bad dream last night.	私は昨晩悪い夢を見ました。
I passed a test in Japanese.	私は国語のテストに受かった。
I have to go to the bank.	銀行に行かなければいけないんです。
I am running short of memory.	私は記憶力が不足している。
I am ready to go with you.	私は喜んであなたとご一緒します。
I took a picture of my family.	私は家族の写真を撮った。
I wrote a letter in English.	私は英語で手紙を書きました。
I do not trust him any longer.	私はもう彼を信用しない。
I wrote my name on the paper.	私はその紙に名前を書いた。
I was able to pass the test.	私はそのテストに合格できた。
I grew up in this small town.	私はこの小さな町で育った。
I will apply for help to him.	私はかれに助けを求めよう。
I am ready to help you.	私はいつでもあなたのお手伝いをします。
I ran as fast as I could.	私はありったけの力を出して走った。
I want a picture of that dog.	私はあの犬の写真がほしい。
I came to Japan two years ago.	私は２年前に日本に来た。
I wrote a letter to my mother.	私は、母に手紙を書いた。
I had him take my picture.	私は、彼に写真を撮ってもらった。
I met an old friend by chance.	私は、偶然旧友に会った。
I made that dress by myself.	私は、一人でその服を縫った。
My friend died from a wound.	私の友達は怪我が元で死んだ。
My brother speaks very fast.	私の弟はとても速く話します。
My sister is shorter than you.	私の姉は君より背が低い。
In my view, you are wrong.	私の考えでは、君は間違っている。
Don't worry about my dog.	私の犬のことは心配しないで下さい。
I found my glass in pieces.	私のコップが粉々になっている。
Please give me a glass of water.	私に水を１杯下さい。
Please let me know about it.	私にもそれを知らせて下さい。
I have nothing to write with.	私には書く道具が何もない。
To me, he is like a king.	私にとって彼は王様のような人です。
We gave him up for dead.	私たちは彼を死んだものとあきらめた。
We let him keep the dog.	私たちは彼にその犬を飼わせてやった。
We waited for hours and hours.	私たちは何時間も待った。
We rested there for an hour.	私たちはそこで１週間休んだ。
Why don't you join our party?	私たちの仲間に入りなさい。
Wait here until I come back.	私が戻るまでここで待ってて。
I met my friend on the street.	昨日通りで友人に会った。
I'm feeling the breath of life.	魂の吐息を感じ始めた。
I forgot to call him today.	今日彼に電話をするのを忘れた。
She looks very happy today.	今日の彼女は、嬉しそうですね。
I'll apply for the job today.	今日その仕事を申し込もう。
Next Wednesday will be fine.	今度の水曜日ならいいですよ。
Avoid each other's society.	互いに顔を合わせるのを避ける。
I was looking at old pictures.	古い写真を見てたんだよ。
The dog followed me to my home.	犬は家までついてきた。
The dog ran around and around.	犬はぐるぐる駆け回った。
My health is my only capital.	健康が私の唯一の資本です。
Let me take your blood pressure.	血圧を計りましょう。
You must do it yourself.	君は自分でそれをしなければいけない。
You'd better not wait here.	君はここで待たないほうがよい。
My financial worries are past.	金銭の心配はなくなった。
Don't step on the broken glass.	割れたガラスを踏むな。
I work for a shipping company.	海運会社に勤めています。
We enjoyed watching the game.	我々は試合を見て楽しんだ。
Never forget to put out the fire.	火を消し忘れるな。
Are you doing anything special?	何か特別なことやるの。
I need something to write with.	何か書くものが必要だ。
Music makes our life happy.	音楽は私達の生活を楽しくする。
The English are a great nation.	英国人は偉大な国民だ。
Where is the nearest bank?	一番近い銀行はどこにありますか。
Why on earth are you here?	一体全体何故君がここにいるのだ？
Will you listen to a piece of music?	一曲聞くか。
Try to avoid bad company.	悪友とつき合わないようにしなさい。
It already has taken me hours.	もう何時間も掛かったよ。
Please show it to me again.	もう一度それを見せてください。
Please show me another one.	もう一つ別の物を見せて下さい。
I have three more pages to go.	もう３ページ残っている。
Please pass the note around.	メモを読んで回してください。
Brian kept Kate waiting.	ブライアンはケイトをずっと待たせた。
Pass me the butter, please.	バターをこちらに回して下さい。
Where shall I wait for you?	どこであなたを待ちましょうか。
Please give us some examples.	どうぞ例をあげてください。
Please tell me the truth.	どうぞ本当のことを言ってください。
Please make yourself at home.	どうぞ楽になさって下さい。
Please come and see me again.	どうぞまた御出でください。
Please make yourself at home.	どうぞおくつろぎください。
But you will write, won't you?	でも、手紙を書いてよね。
Our eyes met just fleetingly.	チラッと目が合っただけで。
Just stand there, please.	ちょっとそこに立ってもらえますか。
That is the same color as mine.	それは僕のと同じ色だ。
Is it anything like mine?	それは私のにはすこしはにてますか。
I have some doubts about it.	それにはちょっと疑問がある。
The problem was beyond me.	その問題は私にはわからなかった。
That book had a lot of pages.	その本はページが多かった。
The beautiful woman is kind.	その美しい女性は親切である。
It was very cold that evening.	その晩はとても寒かった。
That horse came in first place.	その馬は一着になった。
The day turned out to be fine.	その日は上天気となった。
The road turns left there.	その道はそこで左に曲がっている。
The town grew into a city.	その町は大きくなって市となった。
Is that as fast as you can go?	その速さで精一杯ですか。
The boy is full of promise.	その少年は大いに将来性がある。
What's the date of the letter?	その手紙の日付はいつか。
That car is quite up to date.	その車はなかなか最新式だ。
Why not apply for that job?	その仕事に応募したらどうだい。
The dog wants to go outside.	その犬は外に出たがってます。
The decision is not final.	その決定は最終的なものではない。
Both the brothers are dead.	その兄弟は２人とも死んでいる。
The argument has no force.	その議論には、全く説得力がない。
I didn't meet anyone there.	そこではだれにも会わなかった。
Steve looked very happy.	スティーブはとても嬉しそうに見えた。
He was flying down the road.	すごい勢いで駆けていったよ。
I will write to you soon.	すぐにあなたに手紙を書きましょう。
Judy is kind to everyone.	ジュディーさんはみんなに親切です。
Let's get the show on the road.	さあ、計画を始めよう。
Have you been waited on?	ご用をお伺いしておりますでしょうか。
Never have I been so happy.	こんな幸せであったことがない。
Never have I been so happy.	こんなに幸せだったことはない。
Will you type this, please?	これをタイプしてくれませんか。
These figures don't add up.	これらの数字は合計と合わない。
These dresses are too large.	これらのドレスは大きすぎる。
It's just too good to pass up.	これは絶対見逃せないよ。
This book has a lot of pictures.	この本は写真が多い。
This book seems easy to me.	この本は私にはやさしく思える。
This wall feels very cold.	この壁はとても冷たい感じがする。
This road goes to the city.	この道路はその市へ通じている。
This road leads to Hong Kong.	この道は香港に通じている。
A part of this land is mine.	この土地の一部は私のものだ。
Please take charge of this key.	この鍵を預かってくれ。
Come over here and join us.	こっちに来て仲間に入りなさい。
Koko continued to learn fast.	ココは速やかに学び続けた。
Write down your name here.	ここにあなたの名前を書きなさい。
I am happy to see you here.	ここであなたに会えてうれしい。
It should be pleasing.	きっとお気に召していただけると思います。
I've enjoyed talking to you.	お話しできて楽しかったです。
Please take care of yourself.	お体にお気を付けください。
Could I get some water, please?	お水をいただけますか。
This way, please, mademoiselle.	お嬢様こちらへどうぞ。
You are trying to kill me.	おまえはオレを殺そうとしている。
Cut the talking and listen.	おしゃべりをやめて聞きなさい。
I'm always ready for death.	いつでも死ぬ覚悟ができている。
I am always ready to help you.	いつでもお手伝いします。
Where ever did you buy it?	いったいどこでそれを買ったのか。
Would you join me for a walk?	いっしょに散歩しませんか。
Ann does not lack for friends.	アンは友人に事欠かない。
Don't be too hard on yourself.	あまり自分を責めないで。
That car is quite up to date.	あの車はなかなか最新式だ。
Have a look at that picture.	あの絵をちょっと見てごらん。
Are you subject to colds?	あなたは風邪にかかりやすいですか。
You do not have to run fast.	速く走らなくてもいいんだよ。
How many sisters do you have?	あなたは何人妹がいますか。
Please go on with your story.	あなたの話を続けて下さい。
Please write down your name.	あなたの名前を書いて下さい。
I enjoyed talking with you.	あなたとお話しして楽しかった。
May you always be happy!	あなたがいつも幸福でありますように。
Either you or I am wrong.	あなたかあるいは私が間違っている。
Please read page ninety-four.	９４ページを読んで下さい。
Five years is too long to wait.	５年待つには長すぎる。
If you add 3 to 3, you get 6.	３に３を加えれば６になる。
My sister has a very good brain.	姉はすごく頭がいい。
I don't have a very good memory.	記憶には全く自信が無い
He immediately turns on the TV.	彼がすぐにテレビをつける
Let's play the music together. 	一緒に音楽をやりましょう
He immediately bought a book.	彼が早速一冊の本を買いました
He has produced many works.	彼が多くの作品を発表してきました
There are strong doubts about X.	Xには大いに疑問が残る
His/Her eyes immediately lit up.	すぐに目の色が変わった
He finally found the target.	彼が最後には目的の物を見付けた
We carry a lot of products.	当店は多数の商品を揃えております
First of all, make people happy.	まず、人を喜ばせるべし
It really makes people happy.	それがほんとに人を幸せにする
This fits my hands better.	こちらの方が手にしっくり馴染みます
Man can't live without dreams.	夢もなければ生きられない。
I've finally got the whole set!	ついにフルコンプしたぞ！
The argument ended in a fight.	論議は最後に喧嘩になった。
Mr Suzuki has three daughters.	鈴木さんには娘が３人いる。
The green leaves are coming out.	緑の葉が出てきている。
I'm still waiting for my order.	頼んだ物がまだ来ません。
Can I have a friend paged?	友達を呼び出してもらいたいんです。
Keep oil away from the fire.	油を火からはなしておきなさい。
We must not forget our promise.	約束を忘れてはいけない。
One must keep one's promises.	約束は守らなければならない。
Close your eyes and go to sleep.	目を閉じて眠りなさい。
The eye is the window of the soul.	目は心の窓である。
What are the visiting hours?	面会時間はどうなっていますか。
Write your name in capitals.	名前を大文字で書いてください。
May I have your name, please?	名前を教えていただけますか。
May I have your name, please?	名前は何とおっしゃいますか。
Have you ever written a book?	本を書いたことがありますか。
I looked over my shoulder.	僕は肩越しに振り返ってずっと見た。
I go to bed at ten as a rule.	僕はいつも１０時に床につく。
We gave him up for dead.	僕たちは彼が死んだものだとあきらめた。
Mother bought me the book.	母は私にその本を買ってくれました。
There was not a breath of air.	風はそよとも吹かなかった。
Father bought me some books.	父は私に本を買ってくれました。
Father bought me the book.	父は私にその本を買ってくれました。
My father's hair has grown white.	父の髪は白くなった。
She felt happy to see him.	彼女は彼に会ってうれしいと思った。
She was beautiful in her time.	彼女は若いころ美しかった。
She took to him immediately.	彼女は一目で彼が好きになった。
She is as beautiful as a rose.	彼女はバラのように美しい。
What a beautiful girl she is.	彼女はなんと美しいのだろう。
How fast she is running!	彼女はなんて速く走っているのでしょう。
She forced that task on me.	彼女はその仕事を私に押し付けた。
She took to him immediately.	彼女はすぐに彼が好きになった。
She was happy for some time.	彼女はしばらくの間幸福だった。
She was as happy as could be.	彼女はこの上なく幸せだった。
I wonder where she lives.	彼女は一体どこに住んでいるのかしら？
She kissed me like anything.	彼女は、激しく私に接吻をした。
Her dream is to visit Paris.	彼女の夢はパリを訪れることだ。
Her father works at the bank.	彼女の父は銀行で働いている。
Her hair comes to her shoulders.	彼女の髪は肩まである。
She has no one to wait on her.	彼女に付き添う人がいない。
I met up with her on the street.	彼女と町で偶然あった。
I took her for her sister.	彼女とお姉さんを間違えてしまった。
They go to church on Sunday.	彼らは日曜日に教会へ行きます。
They finally appeared to arms.	彼らはついに武力に訴えた。
They are wanting in industry.	彼らには勤勉さが欠けている。
I'm sure he is a man of ability.	彼は有能な人だと思う。
He was happy, poor as he was.	彼は貧乏だったが幸せでした。
He looked her right in the eye.	彼は彼女の目を直視した。
He passed away quite suddenly.	彼は全く突然に亡くなった。
He forgot to turn off the light.	彼は電灯を消し忘れた。
He walked about the streets.	彼は町のあちこちを歩き回った。
He is in good physical condition.	彼は体の調子がよい。
He promised me to come early.	彼は早く来ると私に約束した。
He will be writing a letter.	彼は手紙を書いているでしょう。
He sometimes comes home late.	彼は時々遅く帰ることがある。
He will not listen to me.	彼は私の言うことなど聞こうとしない。
He is in charge of our class.	彼は私たちのクラスの担任だ。
He has been dead for five years.	彼は死んで５年になる。
He was given up for dead.	彼は死んだものとあきらめられていた。
He saw a dog near the door.	彼は玄関の近くで一匹の犬を見た。
He has a good eye for art.	彼は芸術に関しては目が肥えている。
He has been driving for hours.	彼は何時間も運転している。
He is not pleased with anything.	彼は何事にも喜ばない。
He acted the part of King Lear.	彼はリヤ王の役を演じた。
He ran the fastest of all.	彼はみんなのなかで最も速く走った。
He is a man of great ability.	彼はとても才能のある人です。
He ran as fast as he could.	彼はできる限り早くはしりました。
He is pleased with the plan.	彼はその計画が気に入っている。
He has been gaining weight.	彼はこのところふとってきている。
He promised me to come here.	彼はここに来ると私に約束した。
I believe that he'll do fine.	彼はきっとうまくやると思う。
He will be waiting for you.	彼はあなたを待っているでしょう。
He came home three hours later.	彼は３時間後に帰宅した。
He left school two weeks ago.	彼は２週間前に卒業しました。
He left here a few days ago.	彼は２、３日前にここを去った。
He has been waiting for an hour.	彼は１時間待っている。
He is in charge of our class.	彼は、我々のクラスの担任だ。
He has been dead for five years.	彼が死んで五年になる。
I understand him to be happy.	彼が幸せでいると思っている。
It was a glass that he broke.	彼が割ったのはコップなんだ。
We have a black and white dog.	白黒ぶちの犬を飼っている。
It is getting colder day by day.	日毎に寒くなってくる。
Please hold on a moment.	電話を切らずにそのまま待ってください。
I have to make a phone call.	電話を掛けなければなりません。
The street is full of activity.	通りは活気に溢れている。
Have I kept you waiting long?	長いことお待たせしましたか。
The days are growing longer.	昼がだんだんと長くなってきた。
Can anyone tell me the time?	誰か時間を教えてくれませんか。
Would you page Mr Sawada?	沢田さんを呼び出していただけますか。
I'd like a window seat, please.	窓側の席をお願いします。
Our teacher seemed surprised.	先生は驚いているようだった。
A red dress looks good on her.	赤い服は彼女によく似合う。
The water supply was turned off.	水道の水が止められた。
Man has the ability to speak.	人間は話す能力を持っている。
We'd better send for help.	人をやって助けを求めたほうがいい。
Everyone has a right to live.	人はみんな生きる権利がある。
There is no cause for worry.	心配するようなことは何もない。
Please give us three references.	照会先を３件ください。
Is there anything on the floor?	床の上に何がありますか。
Little thing please little minds.	小事は小人を喜ばす。
Could you write it down, please?	書いてくださいますか。
Driving a car taxes the eyes.	車の運転は目に負担をかける。
Wasn't he killed by a car?	自動車にひかれたのではないですか。
We waited for him to turn up.	私達は彼が現れるのを待った。
We'd better call the police.	私達は警察を呼んだほうがいい。
I study for 3 hours every day.	私は毎日３時間勉強します。
I've written a lot of stories.	私は物語をたくさん書いた。
I look on her as my sister.	私は彼女を妹のように思っている。
I wanted to surprise her.	私は彼女をびっくりさせたいと思った。
I wrote a long letter to her.	私は彼女に長い手紙を書いた。
I parted from him on the street.	私は彼と通りで別れた。
I saw him cross the street.	私は彼が通りを横断するのを見た。
I have been here for two hours.	私は二時間ここにいます。
I like blue best of all colors.	私は青色が一番好きです。
I chanced talking to her.	私は思い切って彼女に話しかけてみた。
I am not happy with my job.	私は今の自分の仕事に不満である。
I chanced to be working there.	私は偶然そこで働いていた。
I'm dead set against the plan.	私はその案に絶対反対です。
I will wait for my sister here.	私はここで妹を待ちます。
I'm ready to leave now.	私はいつでも出かける準備はできています。
I will show you the picture.	私はあなたに絵を見せましょう。
Please put yourself in my place.	私の立場になってくれ。
My sister isn't studying now.	私の妹はいま勉強してません。
Please write down my address.	私の住所を書き留めておいて。
My home is on the eighth floor.	私の家は８階にあります。
I'm about ready to go.	私のほうは出かける支度はほぼできています。
All of my strength gave out.	私のすべての力を出し尽くした。
Don't forget to write to me.	私に手紙を書くのを忘れないで。
Please explain the rule to me.	私に規則を説明して下さい。
Please let me try the game.	私にそのゲームをさせてください。
If I were you, I'd buy that one.	私ならそれを買います。
My sister was a beautiful woman.	姉は美しい女性だった。
It is very cold today, isn't it?	今日はとても寒いわね。
I will give him another chance.	今度だけは許してやろう。
It is especially cold this morning.	今朝は特に寒い。
Choose any dress you like.	好きなドレスをどれでも選びなさい。
I just can't seem to make contact.	交信が出来ません。
Please leave nothing behind.	御忘れ物なきようお願いします。
A dog followed me to my school.	犬が学校までついてきた。
The dog walked across the street.	犬がとおりを渡った。
Take good care of yourself.	健康には十分気をつけてください。
Write your name in capitals.	君の名前を大文字で書きなさい。
Either you or he is wrong.	君か彼のどちらかがまちがっている。
The bank keeps money for people.	銀行は人の金を預かる。
Open your texts to page 50.	教科書の５０ページを開きなさい。
A strong wind began to set in.	強風が陸の方へ吹き始めた。
The argument ended in a fight.	議論は最後に喧嘩になった。
The patient was allowed up.	患者は起き上がることを許された。
Let's drive as far as the sea.	海までドライブしましょう。
Everything comes to those who wait.	果報は寝て待て。
Are you happy in your house?	家庭にいてあなたは幸せですか。
Please give me leave to go home.	家に帰る許可を下さい。
I want something cold to drink.	何か冷たいものがほしい。
Give me something to write on.	何か書くものを貸してくれ。
I want something to write on.	何か書きつけるものが欲しい。
I feel that something is wrong.	何かおかしいと思います。
Music makes our life happy.	音楽は私達の暮らしを楽しくする。
Where's the nearest church?	一番近い教会はどこにありますか。
It was the same all year round.	一年中いつも同じでした。
He'll make a good husband.	意識的努力によって将来はいい夫に。
A car passed by in the dark.	暗がりを１台の車が過ぎ去った。
We should keep our promise.	われわれは約束を守るべきである。
We've made a final decision.	われわれは最終的決定を行った。
I am more beautiful than you.	わたしは、あなたより美しい。
Lucy sometimes visits May.	ルーシーはときどきメイを訪ねます。
Please turn off the light.	ライトのスイッチを切ってください。
You must keep your eyes open.	よく見張ってなければだめよ。
He was flying down the road.	ものすごい勢いで駆けていった。
We can see a church over there.	むこうに教会が見えます。
Paris is the capital of France.	パリはフランスの首都だ。
Why are your eyes so big?	なぜ、あなたの目はそんなに大きいの？
Tom saved her from the fire.	トムは彼女を火事から救出した。
We had a very good time indeed.	とてもおもしろかったよ。
Please tell me your address.	どうぞご住所を教えてください。
Please make yourself at home.	どうぞお楽になさって下さい。
Please have a second helping.	どうぞおかわりをして下さい。
Please remain seated.	どうぞ、そのままお座りになっていてください。
Carry the table out, please.	テーブルを運びだしてください。
There is a dog under the table.	テーブルの下に犬がいる。
The war finally broke out.	ついに戦いの幕が切って落とされた。
Now you've given yourself away.	ついに正体を暴露したな。
At last, I passed the test.	ついに私はそのテストに合格した。
I'd like to check in, please.	チェックインしたいのですが。
We can but wait for the results.	ただ結果を待つのみだ。
Don't speak so fast, please.	そんなに速く話さないで下さい。
Don't worry about such a thing.	そんなことを心配するな。
Will you carry it out for me?	それを運び出してくれますか。
These figures don't add up.	それらの数字は、合計があわない。
It is a task beyond my power.	それは私の力に余る仕事です。
The tree grows very quickly.	その木はとても速く大きくなる。
Where did you buy that book?	その本をどこで買ったのですか。
The couple led a happy life.	その夫婦は幸福な生活を送った。
That car is quite up to date.	その電車はなかなか最新式だ。
The ship will call at Yokohama.	その船は横浜に寄港する。
The water is not fit to drink.	その水は飲むのに不適当だ。
Look over the papers, please.	その書類をざっと見て下さい。
Post that letter right away.	その手紙をすぐに投函しなさい。
That car is quite up to date.	その車なかなか最新式である。
Please try me for the job.	その仕事に私を使ってみてください。
The dog saved the girl's life.	その犬は少女の命を救った。
The plan was put into operation.	その計画は実施された。
That music really gets me.	その音楽には本当に感動をおぼえた。
The door is sometimes open.	そのドアは開いていることがある。
Hold on for a while, please.	しばらくこのままお待ち下さい。
To San Francisco, please.	サンフランシスコまで行ってください。
I can't get my contacts out.	コンタクトレンズが取れません。
This is a picture of my mother.	これが私の母の写真です。
I bought this book at Kakuzen's.	この本を角善で買った。
This book seemed interesting.	この本は面白いように思えた。
I bought this book for less.	この本はもっと安い値で買った。
I enjoyed this book so much!	この本とてもおもしろかったわ。
Who's in charge of this section?	この部の責任者は誰か。
Where does this street lead to?	この道はどこに出ますか。
Have a good look at this picture.	この写真をよく見て。
This task is too much for me.	この仕事は私の手におえない。
I can't put up with this cold.	この寒さは我慢出来ないな。
It has been fine for a week.	この一週間ずっとよい天気です。
This dress fits you well.	このドレスは君にぴったり合っている。
Don't open this door, please.	このドアを開けないで下さい。
Could you sign here, please?	こちらにサインをいただけるか。
Can I take pictures here?	ここで写真を撮ってもいいでしょうか。
Christmas is fast approaching.	クリスマスが近づいてきた。
No doubt she will come soon.	きっと彼女はじきに来るだろう。
I ask to see your daughter.	お嬢さんに会わせていただきたい。
I can't really trust Toshiba.	いまいち東芝は信用できない。
Always be true to yourself.	いつも自分自身に誠実でいなさい。
What on earth are you doing?	いったい何をしているのだろう。
The capital of Italy is Rome.	イタリアの首都はローマです。
No, I haven't written it yet.	いいえ、まだ書いていません。
In a sense, you are wrong.	ある意味では、きみが間違っている。
Please don't walk too fast.	あまり速くあるかないでください。
You shouldn't trust that man.	あの男を信用してはいけない。
Are you listening to him?	あなたは彼の話を聞いているのですか。
You must know yourself.	あなたは自分自身をしらなければならない。
You no doubt bore people.	あなたは間違いなく人々を退屈させる。
You are listening to English.	あなたは英語を聞いています。
Your dreams have come true.	あなたの夢が現実のものとなった。
I am happy to hear your voice.	あなたの声を聞いて嬉しい。
Write your name and address.	あなたの住所氏名を書きなさい。
Please give me three of each kind.	３個ずつください。
He will be back in an hour.	１時間もたてば彼は帰ってきます。
Look at the notes on page 10.	１０ページの注釈を見なさい。
