Perfect!	完璧だ！
Nora looks up to her mother.	ノラは彼女の母を尊敬しています。
Let's take a trip to New York.	ニューヨークへ旅行しようよ。
What made him change his mind?	なんで彼は考えを変えたのか。
That's a nice car you're driving.	なんかいい車じゃない。
Any house is better than none.	どんな家でもないよりはよい。
I can't thank you enough.	どんなに感謝しても十分とはいえません。
Tom is liked by his friends.	トムは彼の友達に好かれています。
Tom thanked me for the gift.	トムは彼に贈り物のお礼を言った。
Tom is two years senior to me.	トムは私より２つ年上である。
I would rather stay at home.	どちらかと言えば私は家にいたい。
Where did you get your hair cut?	どこで髪の毛を切ったの。
Please turn the television on.	どうかテレビを点けて下さい。
Don't leave the door open.	ドアを開けっ放しにしてはいけません。
Do you mind opening the door?	ドアをあけていただけませんか。
There is a glass on the table.	テーブルの上にコップがある。
Paul telephoned just now.	ついさっきポールが電話をしてきました。
Look, someone is calling you.	ちょっと誰か君を呼んでいるよ。
Everyone must keep the law.	だれでも皆法律に従わねばならない。
Who painted these pictures?	だれがこれらの絵を描いたのですか。
Let's eat out for a change.	たまには気分を変えて外食をしよう。
They'll probably come by car.	たぶん彼らは車で来るでしょう。
I've just finished my work.	たった今仕事が終わったところです。
Don't let that happen again!	そんなことが２度とないようにな。
He has enough money to buy it.	それを買うだけのお金がある。
Give it to anyone you like.	それを誰でも好きな人にあげなさい。
Those are not your chairs.	それらは君たちの椅子ではありません。
Please put those chairs away.	それらの椅子を片づけて下さい。
That's really a great idea.	それは本当にすばらしい意見ですよ。
It is really quite a good story.	それは実に全くよい話だ。
That has nothing to do with me.	それは私と何の関係も無い。
It has become quite common.	それは今では当たり前になっている。
That has nothing to do with you.	それは君と全然関係ない。
It was none other than the king.	それは王その人であった。
Nothing can be better than that.	それに超したことはない。
Then she began to walk again.	それから彼女はまた歩き始めた。
The problem is outside my field.	その問題は私の専門外だ。
A son was born to the couple.	その夫婦に、男の子が生まれた。
The road was clear of traffic.	その道路は人通りはなかった。
I will do anything but that.	その他のことならなんでもします。
The river flows down to the sea.	その川は流れて海に注ぐ。
No one happened to be there.	その場には誰も居合わせなかった。
The boy made his parents happy.	その少年は両親を喜ばした。
The boy looked like a grown-up.	その少年は大人びて見えた。
The girl did not say anything.	その少女は何も言わなかった。
The sales girl waited on me.	その女店員が私に応対してくれた。
I hit upon a good idea then.	その時私は良い考えを思い付いた。
The magazine is for killing time.	その雑誌は暇潰しです。
The lake is large and beautiful.	その湖は大きくて美しい。
The issue is in the balance.	その件はまだはっきりしていない。
The play was produced by him.	その劇は彼によって演出された。
The town was full of activity.	その街は活気にあふれていた。
The doctor is a man of culture.	その医者は教養のある人だ。
I heard it on good authority.	そのことは確かな筋から聞いた。
I'd like to use a safe.	セーフティーボックスを利用したいのですが。
A nice boy talked to Kate.	すてきな男の子がケイトに話しかけた。
Get ready for the trip at once.	すぐに旅の支度をしなさい。
A doctor was called in right away.	すぐに医者を呼んだ。
A doctor was sent for at once.	すぐに医者が呼びにやられた。
These days John drinks too much.	ジョンは近頃のみ過ぎだ。
John kept his head above water.	ジョンは何とかやっていた。
I'd like to speak to Judy.	ジュディさんとお話ししたいのですが。
Well, let's get the ball rolling.	さあそれでは始めよう。
Hi, my name is Ken Saitou.	こんにちは、ぼくの名前は斎藤健です。
Hi, how are you, everyone?	こんにちは、お元気ですか、みなさん。
This is what I was waiting for.	これを待ち望んでいました。
Do I take choice among these?	これらの中から選ぶわけですか。
It is something my mother made.	これは母の作品の一つです。
This is a valid point of view.	これは十分根拠のある視点だ。
This has nothing to do with you.	これは君には関係がない。
This medicine will do you good.	この薬は君には効くだろう。
This book is quite above me.	この本は私にはとてもわからない。
The room is anything but small.	この部屋は決して狭くない。
This road leads to the airport.	この道は空港に通じている。
This telephone is out of order.	この電話はこわれています。
Don't you agree to this plan?	この計画には賛成ではないのか。
Is there a hospital near here?	この近くに病院はありますか。
May I carry this bag on?	このバッグは機内に持ち込みたいんですが。
The glass was broken to pieces.	コップはこなごなになった。
It was nice meeting you here.	ここで君に会えてうれしかった。
Please wait here for a while.	ここでしばらく待ってて下さい。
Ken met her on his way home.	ケンは家に帰る途中彼女に会った。
Clara is doing quite a job.	クララはなかなかの仕事をしている。
What is a cancer cell like?	ガン細胞とはどのようなものですか。
I can never thank you enough.	お礼の申し上げ様もありません。
How do you heat the house?	お宅の暖房はどのようにしていますか。
How is your work coming along?	お仕事は順調にいってますか。
How is your work getting along?	お仕事の調子はどうですか。
I'm very happy to meet you.	お会いできとてもうれしく思います。
Mr Wood came into the field.	ウッドさんが畑にやって来ました。
Bring a couple more chairs.	いすをもう２、３脚持って来なさい。
Those cats are liked by her.	あの猫たちは彼女に好かれている。
Thanks, but no thanks.	ありがとうございます。でもご遠慮いたします。
Thank you. We'll do our best.	ありがとう。最善を尽くします。
Thank you, I've had enough.	ありがとう、充分にいただきました。
There is a limit to everything.	あらゆるものに限界がある。
They speak English in America.	アメリカでは英語を話します。
Africa has a lot of nature.	アフリカにはたくさんの自然がある。
Look at the top of that tree.	あの木のてっぺんを見てごらん。
I came across him in that store.	あの店で彼に出くわした。
It was rather easy for them.	あの人たちにはやさしすぎました。
That boy is speaking English.	あの少年は英語を話しています。
I'm filled with love for you.	あなたを愛することでいっぱい。
You should follow his advice.	あなたは彼の忠告を聞くべきだ。
You have to speak English.	あなたは英語を話さなければならない。
Are you listening to English?	あなたは英語を聞いていますか。
You'd better see a doctor.	あなたは医者に見てもらった方がいい。
Did you carry out your plan?	あなたは、計画を実行しましたか。
I'll pick you up at your home.	あなたの家に迎えに行きます。
I'd rather you stayed at home.	あなたに家にいてもらいたい。
He has more lives than a cat.	あいつは簡単にはくたばらない。
I will pick you up around six.	６時ごろ車で迎えに行きます。
The war began three years later.	３年後に戦争が始まった。
Please take a rest for a few days.	２、３日骨休めして。
I read a book while eating.	私は食事をしながら本を読みました。
A river flows through the valley.	川は谷をながれている。
Have both of you already eaten?	二人とももうご飯食べたの？
Someone said something like that.	そんな事を誰かが口にした
He actually sees a lot of things.	彼が実際に多くの物を見る
Adults have dreams for the future.	大人が、未来に夢を持つ
He read everyone's comments.	彼がみなさんのコメントを読みました
My mother always comes home first.	いつも母の方が先に帰る
It seems like a different person.	まるで人が変わったようだ
Three hours have already gone by.	既に３時間を経過している
He always does his best for X.	彼がXにいつも最善を尽くします
He often gets left holding the bag.	彼がよく貧乏籤をひく
I said I would make her happy.	僕は彼女を幸せにすると言った。
Years of effort came to nothing.	長年の努力が烏有に帰した。
A good idea crossed his mind.	良い考えが彼の頭にふと浮かんだ。
I filled in my name on the form.	用紙に自分の名を記入した。
Yumi speaks English very well.	由美は英語をとても上手に話す。
Don't call me so late at night.	夜遅く電話しないでください。
Some animals are active at night.	夜に活動する動物もいる。
Do you have your driver's license?	免許証はお持ちですか。
I go to the city pool every day.	毎日市営プールに行きます。
Don't put the cart before the horse.	本末を転倒するな。
I don't feel like eating at all.	僕は全然食べる気がしない。
I agree with him on that point.	僕はその点で彼と意見が合う。
His mother was right.	彼の母親が言ったことはうそではありませんでした。
My mother never gets up early.	母はぜったいに早起きはしない。
The room was packed with people.	部屋は人でいっぱいだった。
Mt. Fuji is known to everyone.	富士山はみんなに知られている。
Please take me to the hospital.	病院へ連れて行ってください。
I will go with you if necessary.	必要なら君と一緒に行こう。
Be sure to drop in at my house.	必ず私の家に立ち寄りなさい。
She indicated her reasons to us.	彼女は理由を簡単に述べた。
She's a beauty from a distance.	彼女は美人だ遠くから見ると。
She has an eye for the beautiful.	彼女は美を見る目がある。
She found a ball in the garden.	彼女は庭でボールを見つけた。
She bought her son a camera.	彼女は息子にカメラを買ってあげた。
She set off on a trip last week.	彼女は先週旅行に出発した。
She set off on a trip last week.	彼女は先週旅行に出かけた。
She is senior to me by two years.	彼女は私より２歳年上だ。
She looks very happy today.	彼女は今日うれしそうな顔をしている。
She is quite at home in English.	彼女は英語に精通している。
She is now well enough to work.	彼女はもう働けるほど健康だ。
Has she finished her work yet?	彼女はもう仕事を終えましたか。
She has not spoken to me yet.	彼女はまだ私に話しかけてこない。
What a beautiful woman she is!	彼女はなんと美人なのでしょう。
She came round to watching TV.	彼女はテレビを見る気になった。
She seems happy to be here.	彼女はここにいて幸せそうに見えます。
She has no less than seven sons.	彼女は７人もの息子がいる。
She will return within an hour.	彼女は１時間以内に戻ります。
Her dream has come true at last.	彼女の夢がついにかなった。
Her hair is long and beautiful.	彼女の髪の毛は長くて美しい。
Her job brings in a high income.	彼女の仕事は高収入である。
Take a seat over against her.	彼女の向かい側に席を取りなさい。
Her house is across the river.	彼女の家は川の向こう側にある。
You had better take her advice.	彼女の意見に従うほうがいい。
She has a son who is a doctor.	彼女には医者である息子がいる。
All we can do is to wait for him.	彼を待つより仕方がない。
Their effort resulted in success.	彼らは努力して成功した。
They waited for him for hours.	彼らは何時間もの間彼を待った。
They all made for the door.	彼らはみなドアの方に向かって進んだ。
They loved grand touring cars.	彼らはＧＴカーが大好きだった。
They dropped out of their school.	彼らは、学校を中退した。
I'll have them repair my car.	彼らに私の車を修繕してもらおう。
He gave away all his money.	彼は連中に有り金を全部くれてやった。
He is independent of his parents.	彼は両親に頼っていない。
He came home late in the evening.	彼は夕方遅くに帰宅した。
He turned to his friend for help.	彼は友人に援助を求めた。
He set out on his travels again.	彼は又旅行に出かけました。
He is senior to me by two years.	彼は僕より２才年上である。
He got a master's degree in law.	彼は法学修士の学位を得た。
He had to clean his room.	彼は部屋の掃除をしなければならなかった。
He has eyes at the back of his head.	彼は抜け目がない。
He had a hard look on his face.	彼は難しい顔つきをしていた。
He picked up cans in the street.	彼は道で空き缶をひろった。
He cut down a tree in his garden.	彼は庭の木を切り倒した。
He looked around the waiting room.	彼は待合室を見回した。
He didn't speak to me at all.	彼は全然私にものを言わなかった。
He died content with his life.	彼は彼の人生に満足して死んだ。
He was kind enough to help me.	彼は親切にも私を助けてくれた。
He is independent of his parents.	彼は親から独立している。
He is full of new ideas.	彼は新しいアイデアをたくさん持っています。
He dropped his books on the floor.	彼は床に本を落とした。
He put a Band-Aid on his hand.	彼は手にバンドエイドを貼った。
He is old enough to drive a car.	彼は車が運転できる年齢だ。
He put terms on his problem.	彼は自分の問題に折り合いをつけた。
He brought his dog to school.	彼は自分の犬を学校に連れてきた。
He is senior to me by three years.	彼は私より三歳年上だ。
He helped me to carry the bag.	彼は私のかばんを持ってくれた。
He was rather shorter with me.	彼は私にひどくそっけなかった。
He has taken to drinking recently.	彼は最近飲みはじめた。
He'll go to the hospital today.	彼は今日病院へ行くつもりだ。
He may change his mind later.	彼は後で気が変わるかもしれない。
He is not as old as he seems.	彼は見かけほど歳をとっていない。
He has one dog and six cats.	彼は犬１匹とネコ６匹を飼っている。
He'll do anything for money.	彼は金のためなら何でもするだろう。
He said nothing as to money.	彼は金に関しては何も言わなかった。
He is enjoying his school life.	彼は学校生活を楽しんでいる。
He was walking about in the town.	彼は街をあるきまわった。
He is the cash-box for his company.	彼は会社のドル箱だ。
He lives in that yellow house.	彼は黄色いあの家に住んでいる。
He can't speak English, can he?	彼は英語が話せないんですね。
He carried six boxes at a time.	彼は一度に６個の箱を運んだ。
He remained single all his life.	彼は一生独身のままだった。
He was given up on by the doctors.	彼は医者に見放された。
He looks just like his mother.	彼はまったく母親にそっくりだ。
He was none other than the king.	彼はまさしく生きた王様だ。
He comes here almost every day.	彼はほとんど毎日ここへくる。
He has a background in business.	彼はビジネスの経歴がある。
He was every inch a king.	彼はどこから見ても申し分のない王でした。
He found the door closed.	彼はドアが閉まっていることに気がついた。
He speaks English very well.	彼はたいへん上手に英語を話します。
He could not walk any further.	彼はそれ以上全く歩けなかった。
He seems not to have known it.	彼はそれを知らなかったらしい。
He saved money for the trip.	彼はその旅行のためにお金を貯めた。
He did his best to the end.	彼はその目的のために全力をつくした。
He was master of the situation.	彼はその情況を把握していた。
He got the lady some water.	彼はその女性に水を持ってきてあげた。
He painted the picture in oils.	彼はその絵を油絵具で描いた。
He made up his mind to go there.	彼はそこへ行く決心をした。
That occurred to him at once.	彼はすぐにそのことを思い付いた。
He filled the glass with wine.	彼はグラスにワインを満たした。
He can speak eight languages.	彼は８カ国語を話すことができる。
He's always changing his mind.	彼は言うことがくるくる変わる。
His story turned out to be true.	彼の話は本当だと分かった。
I don't like his way of talking.	彼の話し方がいやなのです。
Let's hear a story of his travels.	彼の旅行の話を聞こう。
His name is well known to us.	彼の名は我々によく知られている。
I can't stand his impoliteness.	彼の無礼さには我慢出来ない。
His report does not sound true.	彼の報告は本当には思えない。
His new car looked all right.	彼の新車は調子がよさそうだった。
I tried to sound out his views.	彼の考えを打診しようとした。
What he said counts for nothing.	彼の言った事に意味はない。
His study covers a wide area.	彼の研究は広範囲にわたっている。
Nothing will come of his plans.	彼の計画はどうにもならない。
His house stands by the river.	彼の家は川のそばに立っている。
His house was sold for $10,000.	彼の家は１万ドルで売られた。
I hope you'll get his support.	彼の援助が得られるといいわね。
His son has a gift for music.	彼のむすこには音楽の才能がある。
Thanks to him, I could get a job.	彼のおかげで就職できた。
He did not have enough money.	彼には必要なだけの金がなかった。
He has two sons, I believe.	彼には確か二人の息子がいたとおもう。
Don't speak to him like that.	彼にああいう口の効き方をするな。
He put the idea into my head.	彼が僕にそう思い込ませたのです。
He is certain to win the game.	彼が試合で勝つのは確かである。
Do you offer any half-day tours?	半日のツアーはありますか。
Not every horse can run fast.	馬がみな速く走れるとは限らない。
Even a cat may look at a king.	猫でも王様は見ることが出来る。
There came to Japan a foreigner.	日本へ１人の外国人がきた。
We've got to fight fire with fire!	毒を持って毒を制すだ！
I was on Flight 001 from Tokyo.	東京発の００１便で来ました。
I heard the telephone ringing.	電話がなっているのが聞こえた。
The shop is across from the bank.	店は銀行の向かいにある。
My brother paid double the price.	弟は値段の２倍を払った。
My brother is small but strong.	弟は体が小さいけれど健康だ。
My little brother can read English.	弟は英語が読めます。
The long fight ended in 1920.	長い戦いは１９２０年に終わった。
None can get away from death.	誰も死から逃れることはできない。
Anyone can do it if they try.	誰でもやってみればそれはできる。
Can someone answer the telephone?	誰か電話にでてくれない。
Can anyone answer my question?	誰か私の質問に答えられますか。
Do you want a seat by the window?	窓側の席をお望みですか。
We agreed on an early start.	早く出発することに意見が一致した。
For choice, I'll take this one.	選ぶとすれば、僕はこれだな。
I would take French, for choice.	選ぶとすればフランス語だ。
The river flowed over its banks.	川が土手を越えてあふれた。
Nothing was to be seen but water.	水以外何も見えなかった。
Every success in your new job.	新しい仕事がんばってください。
The floor was running with water.	床一面に水が流れていた。
I've had enough, thank you.	十分頂きました、有り難うございます。
Repairs will cost a lot of money.	修理は高くつくでしょう。
I advertised my car for sale.	車を売りますという広告を出した。
In fact, you are quite right.	実は全くあなたの言った通りです。
At times, I can't trust him.	時々、彼のことが信じられなくなる。
Some read books to kill time.	時間つぶしに読書する人もいます。
The fitting room is being used now.	試着室は今使用中だ。
The game was drawing to an end.	試合は終わりに近づいてきた。
I filled in my name on the paper.	紙に自分の名を記入した。
We reached the top of the mountain.	私達は山頂に着いた。
We booked seats for the play.	私達はその芝居の切符を予約した。
I gave up my seat to an old lady.	私は老婦人に席を譲った。
I don't care for foreign food.	私は洋食はあまり好きではない。
I talked to her on the telephone.	私は彼女と電話で話した。
I wait here until she comes.	私は彼女が来るまでここで待ちます。
I could answer his question.	私は彼の質問に答えることができた。
I asked him to wait here.	私は彼にここで待ってくれるように言った。
I don't know why he was late.	私は彼が遅れた理由がわからない。
I thought that he was a doctor.	私は彼が医者だと思いました。
I like to walk in the country.	私は田舎を散歩するのが好きだ。
I suggested that we go fishing.	私は釣りに行こうと提案した。
I am the happiest man on earth.	私は地球上で一番幸せな男だ。
I took a trip to Nikko last week.	私は先週日光へ旅行した。
I'm taking a couple of days off.	私は数日間休みを取ります。
I have a good idea in my mind.	私は心によい考えを持っている。
I can speak English a little.	私は少し英語を話すことができる。
I work for a firm of publishers.	私は出版会社で働いている。
I was told to wait for a while.	私は暫く待つように言われた。
I don't even have time for a walk.	私は散歩する暇もない。
I listened to some CDs last night.	私は昨晩ＣＤを聞いた。
I have seen him quite recently.	私は最近彼に会ったばかりだ。
I have not felt well recently.	私は最近あまり体調が良くない。
I like mountains better than seas.	私は海より山が好きだ。
I love music, especially rock.	私は音楽特にロックが大好きだ。
I feel as if I were dreaming.	私はまるで夢を見ているようです。
I can't speak French at all.	私はフランス語を少しも話せません。
I know the whole of the story.	私はその話の全体を知っている。
I measured the board in inches.	私はその板をインチで計った。
I was floored by the news.	私はその知らせを聞いて参ってしまった。
I am happy to hear the news.	私はそのニュースを聞いてうれしい。
I was asked to wait here.	私はここで待っているように頼まれました。
I will go along with your plan.	私はあなたの計画に賛成です。
I take part in your enterprise.	私はあなたの企画に参加する。
I'm older than your brother.	私はあなたのお兄さんより年上です。
I have no less than four brothers.	私は４人も兄弟がいる。
I am taking a couple of days off.	私は２、３日仕事を休む。
I watch television all day long.	私は１日中テレビを見ます。
I started this job an hour ago.	私は１時間前に仕事を始めた。
I must carry on my studies.	私は、勉強をし続けなければいけない。
My hair is as long as Jane's.	私の髪はジェーンのと同じ長さだ。
My brother is a first-year student.	私の弟は１年生です。
My idea is different from yours.	私の考えは君の考えと違う。
My brother is now in Australia.	兄はオーストラリアにいます。
My summer vacation is at an end.	私の夏休みが終わりました。
What have you done with my bag?	私のかばんをどうしましたか。
Please give me something to eat.	私に何か食べる物を下さい。
We took the necessary measures.	私たちは必要な処置を講じた。
We took a walk along the river.	私たちは川に沿って散歩した。
We can do nothing about it.	私たちには手の打ちようが無いんです。
We enjoyed watching the game.	私たちはその試合を見て楽しんだ。
What happened to our food?	私たちの料理はどうなっているのですか。
The child took her mother's hand.	子供は母親の手をとった。
Children are never at rest.	子供は決してじっとしていないものだ。
What do you say to going for a walk?	散歩はどうですか。
You had better have your hair cut.	散髪してもらいなさい。
It brought me down to earth.	再び惨めな現実に引き戻されました。
What seems to be the problem today?	今日はどうしました。
Now is the time I got to speak out.	今自分を見つめ直し。
I don't want to take a walk now.	今は散歩したくないんだよ。
You should think before you speak.	考えてから言いなさい。
Can I have a doctor look at me?	御医者さんを呼んでください。
What do you think of modern art?	現代芸術をどう思いますか。
She is as active as she looks.	見かけ通り彼女は行動力がある。
The dog attacked the little boy.	犬が小さな男の子を襲った。
Given health, one can do anything.	健康なら何でもできる。
Nothing is more important than health.	健康が第一だ。
I'd like you to have a blood test.	血液検査をしましょう。
The police are looking into it.	警察はそれを調査しています。
The police broke up the fight.	警察はそのけんかをやめさせた。
You must never resort to force.	君は腕力に訴えてはならない。
You had better not eat too much.	君は食べ過ぎない方がよい。
You can't speak English, can you?	君は英語が話せませんね？
All you have to do is to wait.	君はただ待ってさえいればいい。
Check your answer with his.	君の答えを彼のと照らし合わせなさい。
Your answer is far from perfect.	君の答えは完璧には程遠い。
I bought the same shirt as yours.	君と同じシャツを買った。
It's no use your saying anything.	君が何を言っても無駄だ。
Keep money in a safe place.	金は安全な場所にしまっておきなさい。
Come on! We're going to be late.	急げ、さもないと遅れるぞ。
What did you do on your vacation?	休暇中は何をしましたか。
Walk fast so as to be in time.	間に合うように速く歩きなさい。
You must not be late for school.	学校に遅刻してはいけない。
Be sure to drop in at my house.	確実に私の家におちるだろう。
I'd rather stay home than go out.	外出するより家にいたい。
It is getting lighter outside.	外はだんだん明るくなっていく。
There is a low hill near the sea.	海の近くに低い丘がある。
We all agree to the new plan.	我々全員がその新計画に賛成する。
Our company's base is in Tokyo.	我が社の本拠地は東京である。
May you and your family be happy.	家族のご多幸を祈ります。
Yokohama is a beautiful port town.	横浜は美しい港町です。
I'll give you a piece of my mind.	遠慮なく意見してやるぞ。
Please wait for me at the station.	駅で待っていて下さい。
Please drop me off at the station.	駅で降ろしてください。
I'll drop you off at the station.	駅であなたを降ろします。
What are the business hours?	営業時間は何時から何時までですか。
Do you have a driver's license?	運転免許証を持っていますか。
What do you say to taking a rest?	ちょっと一服しませんか？
Where on earth did you meet him?	一体どこで彼に会ったんだ。
What on earth are you doing?	一体あなたは何をしているのですか。
I was in the hospital for a week.	一週間入院していたです。
Could you call a doctor, please?	医者を呼んでもらえますか。
Pass me the wine, please.	わたしのところへブドウ酒を回して下さい。
Fill it with regular, please.	レギュラー満タンでお願いします。
I got a driver's license at last.	やっと免許が取れました。
He might change his mind.	もしかしたら彼は気が変わるかもしれない。
You're lit up like a Christmas tree.	もう一杯機嫌だね。
Soon there will be summer vacation.	もうすぐ夏休みです。
I've had enough of this program.	もうこの番組はたくさんだ。
Mayuko has dropped the ball.	マユコはボールを落としてしまった。
Try the board surface first.	まず板のかんながけをしてください。
Can I bring you anything else?	ほかに何かお持ちしましょうか。
French is spoken by many.	フランス語は多くの人々によって話される。
If only I could speak French.	フランス語が話せさえすればなあ。
I'd like you to meet Mr Brown.	ブラウンさんを紹介しましょう。
Bill is two years senior to me.	ビルは私より２歳年上である。
There are some flies on the wall.	ハエが壁に止まっている。
Who will host the party?	パーティーでは誰がホストを勤めるのですか。
Tom has an eye for modern art.	トムは現代美術を見る目がある。
Who do you want to speak to?	どなたとお話しになりたいのですか。
This is anything but easy.	とてもやさしいというしろものではない。
Which road goes to city hall?	どちらの道が市役所に行けますか。
Please turn on the television.	どうぞテレビをつけてください。
Would you mind closing the door?	ドアを閉めてくれませんか。
Will you turn on the television?	テレビをつけてくれますか。
But it's almost half past eleven.	でも１１時半近くですよ。
Let me give you some advice.	ちょっとアドバイスさせてください。
I've just finished packing.	ちょうど荷造りが終わったところです。
Just then, the telephone rang.	ちょうどその時、電話が鳴った。
I'd like to book three seats.	チケットを３枚予約したいのです。
That won't make any difference.	そんなことやったって無駄だ。
We need a tool to open it with.	それを開ける道具が必要です。
Those chairs are in the way.	それらの椅子は邪魔になっています。
It is outside my area of study.	それは私の研究外のことです。
That is because I got up late.	それは私が遅く起きたからです。
It is something like a ball.	それは何かボールみたいなものです。
It is none of your business.	それはあなたの知ったことではない。
The story ends with his death.	その物語は彼の死で幕を閉じる。
There was nothing in the box.	その箱には何もありませんでした。
The cat seems to want some water.	その猫は水がほしそうだ。
I couldn't speak well that day.	その日はうまく話せなかった。
The street runs along the river.	その通りは川に沿っている。
The river flows through the city.	その川は街を流れている。
In that case, call the police.	その場合には警察を呼びなさい。
The event affected his future.	その事件は彼の将来に影響した。
I'll do anything but that job.	その仕事以外ならなんでもやる。
The work is not finished yet.	その仕事はまだ終えられていない。
The idea is still in my mind.	その考えはまだ私の心にあります。
You know the rest of the story.	その後の話はご存じでしょう。
The painting is all but finished.	その絵はほとんど完成だ。
The house is quite run down.	その家はかなりぼろ屋になっている。
That movie star has many fans.	その映画俳優にはファンが多い。
Such a method is out of date.	そのような方法は時代遅れである。
The hotel has good accommodation.	そのホテルは設備がよい。
The news made her happy.	そのニュースを聞いて彼女はうれしくなった。
None of the money is yours.	そのお金のうち君のものは少しもない。
The two teams fought very hard.	その２チームは激しく戦った。
Mr Smith had his letter typed.	スミス氏は手紙をタイプさせた。
You must not trust every man.	すべての人を信用してはいけない。
I can see a ship in the distance.	ずっと遠くに船が見える。
Susan is two years my senior.	スーザンはわたしより２つ年上だ。
English is spoken in Singapore.	シンガポールでは英語を話す。
John lives above his means.	ジョンは収入を越えた生活をしている。
George works on a big farm.	ジョージは大きな農場で働いています。
Jack is interested in painting.	ジャックは絵に関心があるよ。
But his friends call him Ken.	しかし彼の友達は彼をケンと呼ぶ。
But we carried on without him.	しかし我々は彼なしで続行した。
Come on! I can't wait any more.	さあ行こう、もう待てないよ。
We look forward to your entries.	ご参加お待ちしております。
Hi, Mimi! How are you doing?	こんにちは、ミミさん！どう、元気？
This didn't fit me very well.	これは私には似合いませんでした。
I have mixed feelings about this.	これには複雑な気持ちだ。
This probably means war.	これではたぶん戦争ということになるだろう。
I'm counting on you to be strong.	これからも元気でいてね。
Please fill out this form.	この用紙に必須事項を記入してください。
This problem is a real challenge.	この問題はとても難しい。
This book can't go into the bag.	この本はバッグに入らない。
Is there a museum in this town?	この町に博物館はありますか。
Can you save this seat for me?	この席を見ていてくれませんか。
Please fill out this form.	この書類に必要事項を書き込んで下さい。
I'll never tell this to anyone.	この事は絶対に口外しません。
This task is too much for him.	この仕事は彼には手に負えない。
Experience counts in this job.	この仕事では経験がものを言う。
This word has a double meaning.	この語には２重の意味がある。
I wanted to work this summer.	この夏休みは働こうと思いました。
This hall holds 2,000 people.	このホールには２千人収容できる。
Is this bag yours or his?	このバッグはあなたのですか。彼のですか。
This shirt is the standard size.	このシャツは標準サイズだ。
The glass dropped from his hand.	コップが彼の手から落ちた。
Kelly worked until he dropped.	ケリーはぶっ倒れるまで働いた。
Shall I carry your bag for you?	かばんをお持ちしましょうか。
I can never thank you enough.	お礼の申し上げようもありません。
Can your brother drive a car?	お兄さんは車の運転が出来ますか。
Ottawa is the capital of Canada.	オタワはカナダの首都です。
It's too late. I'll see you home.	おそいから家まで送ろう。
There is no opening in our firm.	うちの会社には空きがない。
Summer has gone all too soon.	いつのまにか夏も過ぎてしまった。
Some day my dream will come true.	いつか私の夢は実現する。
Leave the chairs as they are.	イスはそのままにしておきなさい。
I'm working for a trading firm.	ある貿易会社に勤めています。
Where's that picture hiding?	あの写真はどこに隠れているだろう。
That child can count to twenty.	あの子は２０まで数えられる。
How high is that mountain?	あの山はどれくらいの高さがありますか。
I want you to meet my parents.	あなたを私の両親に紹介したい。
You are not in the least happy.	あなたは少しも幸せではない。
What on earth are you doing?	あなたは一体何をしているんですか。
You have changed quite a lot.	あなたはずいぶん変わりましたね。
Is your mother at home now?	あなたのお母さんは、今御在宅ですか。
I can't thank you enough.	あなたには感謝してもしきれないくらいだ。
I really enjoyed your company.	あなたと一緒にいて楽しかった。
What happened to you last night?	あなた、昨晩何があったの？
We can see his house over there.	あそこに彼の家が見えます。
Oh, just fill out this form.	あぁ、この用紙に書き込むだけです。
Are both of you ready to go?	２人とも行く用意はできていますか。
Two is the fourth root of sixteen.	２は１６の４乗根です。
He stayed there a couple of days.	２、３日そこに滞在した。
I'll be back in an hour or so.	１時間かそこらで帰ってきます。
I'd like seats on the first floor.	１階席が欲しいのです。
The ship is at sea for India.	その船はインドに向けて航海中だ。
Beauty is but skin deep.	綺麗だってことは皮膚の深さ分のことだけだ。
He forced his way into the room.	彼は無理やり部屋に入った。
A third are based on real stories.	１／３が実話を基にします
I'm not interested in sports.	スポーツにまったく興味が有りません
I couldn't perform well at all.	全然自分のプレーが出来なかった
Works are protected by copyright.	作品が著作権の保護を受ける
He is in his own little world.	彼は完全に自分の世界に入っている
Everyone knew X for the first time.	Xを初めて誰もが知った
X seems cool to people.	Xはかっこいいというイメージを周りの人に与える
X actually happens in front of me.	Xが現実に目の前に起こる
He shot a video of the children.	彼が子供たちのビデオを撮った
He enjoys the music with me/them.	彼が一緒に音楽を楽しみます
He kept running in the mountains.	彼がひたすら山の中を走った
I'm really looking forward to X.	Xを心から楽しみにしています
His home phone rang at that time.	その時彼の家の電話が鳴った
Everyone is really happy about X.	Xを誰もが心から喜んでいる
The results of analysis suggest X.	Xを分析結果が示唆します
He covers his face with his hands.	彼が両手で自分の顔を覆う
I wish something nice would happen.	何かいいことないかな。
That man's monstrously strong.	あの人は化け物のような力持ちだ。
I had a good time during the trip.	旅行中楽しい思いをした。
He told me that the trip was off.	旅行はやめにすると言った。
Are you all set for the trip?	旅行の準備はすべて終わりましたか。
The schedule must be maintained.	予定は守らなければならない。
The budget passed the Upper House.	予算案は上院を通過した。
In the evening, I walk with my dog.	夕方私は犬と散歩する。
Drop by my office this evening.	夕方会社にお立ち寄りください。
I feel like dancing in the fields.	野原で踊りたい気分です。
At night he goes out for a drink.	夜、彼は外に出て一杯やる。
Can you walk with your eyes closed?	目を閉じて歩けますか。
We looked, but saw nothing.	目を向けてみたが何も目に入らなかった。
