Duck!	頭を下げろ！
Whales are similar to fishes in shape.	鯨は魚と形が似ている。
The police set a dog on the scent.	警察は犬にその臭いをかがせた。
A crowd soon gathered around him.	群衆がすぐに彼の周りに集まった。
Are you angry at what I said?	君は僕が言ったことに腹を立てているのか。
You must not be absent from school.	君は学校を休んではいけない。
You'd better consult the doctor.	君は医者にみてもらったほうがよい。
Have you done all your homework?	君はもう宿題をみな済ませましたか。
You needn't have taken a taxi.	君はタクシーに乗る必要はなかったのに。
You ought not to have done that.	君はそれをすべきではなかったのに。
You are deeply involved with this.	君はこのことに深い関係がある。
Your comic books are on the shelf.	君の漫画の本は棚の上にあるよ。
Thanks to your help, I could succeed.	君のおかげで成功できた。
The bear began tearing at the tent.	熊はテントを引っかき始めた。
In the end, he landed in jail.	挙げ句の果てに彼は刑務所行きになった。
Urgent business has called him away.	急用で彼は出かけています。
The monument was set up in the park.	記念碑が公園に建てられた。
I'll be only too glad to go with you.	喜んでお受けしましょう。
Don't be afraid of making mistakes.	間違いを恐れてはいけません。
The sea looks calm and smooth.	海は穏やかに、そしてなめらかに見える。
We advanced under cover of darkness.	我々は夜陰に乗じて進んだ。
We have no choice but to compromise.	我々は妥協せざるをえない。
We enjoyed ourselves to the fullest.	我々は心ゆくまで楽しんだ。
We are in the era of atomic energy.	我々は今や原子力時代にある。
We were landed on a lonely island.	我々はさびしい島におろされた。
We were nearly frozen to death.	我々はあやうく凍死するところだった。
The label is attached to the trunk.	荷札がトランクについている。
I'll be there by eight somehow.	何とかして８時までにそこへ参ります。
There is no telling what will happen.	何が起こるか分からない。
The prince bowed down to Snow White.	王子様は白雪姫に会釈した。
Send my greetings to your wife.	奥様にどうかよろしくお伝えください。
He should have bought some pencils.	鉛筆を買っておけばよかった。
I got a taxi in front of the station.	駅前でタクシーを拾った。
I'll be there rain or shine.	雨が降ろうが槍が降ろうが、必ず行きますよ。
Gravity binds the planets to the sun.	引力が惑星を引きつける。
Out of the frying pan and into the fire.	一難去って又一難。
There was a ship sailing on the sea.	一隻の船が海を走っていた。
In a word, I think he's a fool.	一言で言えば、彼は馬鹿だと思います。
I don't like being made a fool of.	人をばかにしないでもらいたい。
One good turn deserves another.	一つの善行はもう一つの善行に値する。
I intended to have been a doctor.	医者になるつもりだったのですが。
The bad weather marred the ceremony.	悪天候が式を台無しにした。
We hold that he is not guilty.	われわれは彼が無罪であると考えている。
Don't mention our plan to anybody.	われわれの計画を誰にも言うな。
Five gallons of regular, please.	レギュラーを５ガロンお願いします。
The apples are not quite ripe.	リンゴはまだ完全には熟してはいません。
A smell of lilies filled the room.	ユリの香りが部屋に満ちていた。
You should have been more careful.	もっと注意すればよかったのに。
Mary beamed her happiness.	メリーのにこやかな顔は彼女の幸せを表していた。
Mary gave me an American doll.	メアリーは私にアメリカの人形をくれた。
I haven't finished my homework yet.	まだ宿題が終わらないんだよ。
We still have plenty of time left.	まだ時間はたくさん残っている。
Masaru claims that he is innocent.	マサルは潔白であると主張した。
Well, I have a suggestion to make.	ぼくには一つ提案があるのです。
That's the way the ball bounces.	ボールはそういうふうにはねるもの。
Ms. Brown seems to be an actress.	ブラウンさんは女優であるらしい。
Bill is nervous about the exam.	ビルは試験のことでいらいらしている。
Do you like powder-snow skiing?	パウダースノー・スキーは好きですか。
Will you have another slice of pie?	パイをもう一ついかがですか。
Yes, I am. Are you Mr Nakano?	はい、そうです。あなたは中野さんですか。
Why are you looking so sad?	なぜ君はそんなに悲しそうな顔をしているのか。
Nashi are tinned in this factory.	なしはこの工場で缶詰にされます。
Stay calm whatever happens.	どんなことが起ころうとも落ち着いていなさい。
It is wrong to cheat at cards.	トランプでごまかすのはよくないことだ。
I lost my travelers checks.	トラベラーズチェックをなくしてしまいました。
I'll pay with travelers' checks.	トラベラーズチェックで支払います。
Tom tried to climb the tall tree.	トムはその高い木に登ろうとした。
Tom tried climbing the tall tree.	トムはそのたかい木に登ってみた。
Everywhere seems to be crowded.	どこもかしこも人が混んでいるようだ。
Please knock before you come in.	どうぞ入る前にノックしてください。
Please get a lot of pencils.	どうぞ、鉛筆をたくさん持ってきてください。
The bicycle by the door is mine.	ドアのそばにある自転車は私のです。
Can you get the door to shut?	ドアが閉まるようにすることができますか。
"Let's play tennis." "Yes let's."	「テニスをしましょうか」「ええ」
Dennis doesn't have rough manners.	デニスには粗暴なところがない。
Ted loves his wife Elizabeth.	テッドは奥さんのエリザベスを愛している。
Is there much sugar in the jar?	つぼにたくさん砂糖が入っていますか。
Can you spare me a few minutes?	ちょっと時間をさいてくださいますか。
There is a slight chill on the party.	ちょっと座が白けている。
Which way is the cheese shelf?	チーズの棚はどちらの方向にありますか。
Somebody, open this door, please.	だれかこのドアを開けてください。
It's okay to take it easy sometimes.	たまには気楽にしていいよ。
Smoking does much harm but no good.	たばこは百害あって一利なし。
There is a heavy tax on tobacco.	タバコには重い税金がかかっている。
Taking a taxi is a luxury for me.	タクシーに乗るのは私には贅沢だ。
Not that I have any objection.	だからといって異議があるわけではない。
She must be a fool to say so.	そんな事を言うとは彼女が馬鹿に違いない。
If you bite at it, you're a fool.	そんなものに飛びつくのはばかだ。
You ought not to smoke so much.	そんなにたばこをすってはいけません。
You ought not to say such a thing.	そんなことを言うべきではない。
You ought not to say such a thing.	そんなことは言うべきではない。
It is concerned with air pollution.	それは大気汚染と関係がある。
That requires careful consideration.	それは慎重な考慮を要する。
He knows hardly anything about it.	それについてほとんど知らない。
The story brought tears to her eyes.	その話は彼女の涙を誘った。
Does the medicine act on the stomach?	その薬は胃にききますか。
The problem is as good as settled.	その問題は解決したも同然です。
The issue divided the senators.	その問題で上院議員の意見が分かれた。
The blind men walked slowly.	その目の見えない男の人はゆっくりと歩いた。
The fields yielded a good harvest.	その畑からはよい収穫があった。
What was the cause of the explosion?	その爆発の原因は何ですか。
It hardly ever rains in the area.	その地域はめったに雨が降らない。
I'm very glad to hear the news.	その知らせを聞いてたいへんうれしい。
The ship is at anchor in the harbor.	その船は港に停泊している。
The popular singer committed suicide.	その人気歌手は自殺した。
The ice is thick enough to walk on.	その上を歩けるほど氷は厚い。
The boy was admitted to the school.	その少年は入学を許可された。
The boy took a fancy to the dog.	その少年はその犬が大好きになった。
The little girl burst into tears.	その少女は急にわっと泣き出した。
The girl is smelling the flowers.	その少女は花の香りをかいでいる。
The letter was correctly addressed.	その手紙の宛名は正しかった。
Will you take part in the ceremony?	その式に参加してくれますか。
The fact is known to everybody.	その事実はすべての人に知られている。
Who is the victim of the accident?	その事故の犠牲者はだれですか。
The duke holds a lot of land.	その公爵はたくさんの土地を所有している。
The old house was burned to ashes.	その古い家は焼けて灰になった。
The play was adapted from a novel.	その劇は小説を改作したものだ。
We divided the money between us.	その金は我々の間で分けてしまった。
The conference takes place annually.	その会議は毎年開催される。
Everybody was bright at the party.	その会ではみんなが陽気だった。
The flower is alive with bees.	その花には蜜蜂がいっぱいたかっている。
The fire reduced the house to ashes.	その火事で家は灰になった。
The boat anchored near the shore.	そのボートは岸辺に碇を降ろした。
Nobody got zero in that test.	そのテストではだれも零点をとらなかった。
Is there much water in the dam?	そのダムには水がたくさんありますか。
The curtain wants cleaning.	そのカーテンはクリーニングをする必要がある。
Excuse me, but I'm tied up now.	すまないが今僕、手がいっぱいなのだ。
Everybody is equal before the law.	すべての人は法の前に平等です。
At once the birds left their nests.	すぐに鳥達は巣を飛び去った。
Eat your soup while it is hot.	スープは熱いうちに召し上がって下さい。
The soup is bubbling in the pot.	スープがなべでぐつぐつ煮えている。
Jack played a dirty trick on me.	ジャックは私に汚いいたずらをした。
Did anybody other than Jim see her?	ジム以外に誰か彼女を見たか。
Jane is absent from school today.	ジェーンは今日学校を休んでいる。
A shark snapped the man's leg off.	サメがその男の足を噛み切った。
Cherries are ripe in June or July.	さくらんぼは六月か七月に熟す。
I am only too glad to be with you.	ご一緒できとてもうれしいです。
These coins are of little value.	これらの硬貨はほとんど価値がない。
I got these old coins from her.	これらの古いコインは彼女にもらった。
This is a great invention in a way.	これはある意味偉大な発明だ。
This is the surest way to succeed.	これが最も確実な成功への道だ。
This train is bound for New York.	この列車はニューヨーク行きです。
This medicine will cure your cold.	この薬で君の風邪は治るだろう。
This problem deserves considering.	この問題は考慮する価値がある。
This miso soup is too hot to drink.	この味噌汁は熱くて飲めない。
This book ought to be a good seller.	この本はよく売れるはずだ。
Stamps are not sold in this store.	この店で切手は売られていない。
This ship is bound for Vancouver.	この船はバンクーバー行きである。
This river is dangerous to swim in.	この川は泳ぐのに危険である。
It's dangerous to swim in this river.	この川で泳ぐのは危険だ。
Did you make this doll by yourself?	この人形は君一人で作ったの？
This doll costs only sixty cents.	この人形はたった６０セントです。
I'd like to have this fabric dyed.	この織物を染めて欲しいのです。
Will you stamp this letter for me?	この手紙に切手を貼って下さい。
This grass is too wet to sit on.	この芝生は座れないほどぬれている。
This bicycle belongs to my brother.	この自転車は私の弟のものだ。
This mountain is difficult to climb.	この山は登るのが困難だよ。
The climate is mild in this country.	この国は、気候が穏やかだ。
This park is a paradise for children.	この公園は子供の楽園だ。
The park is open to everybody.	この公園はすべての人に公開されている。
This machine is driven by electricity.	この機械は電気で動く。
This painting will pass for genuine.	この絵は本物で通るだろう。
This flower has a scent all its own.	この花は独特の香りがする。
It's dangerous to swim in this river.	この河で泳ぐのは危ない。
I lost my key somewhere around here.	このあたりで鍵を落とした。
Don't talk in a loud voice here.	ここでは大声で話してはいけません。
A cup of coffee refreshed me.	コーヒーを１杯飲んで私は元気を回復した。
Divide the cake between you two.	ケーキをあなた方２人で分けなさい。
Carol visited Boston last month.	キャロルは先月ボストンを訪問した。
Carol often watches horror movies.	キャロルはよく恐怖映画を見る。
Japanese beef was on sale yesterday.	きのうは和牛が特売だった。
Who is hiding behind the curtain?	カーテンの陰に隠れているのは誰？
Thank you very much for your hospitality.	お邪魔しました。
What's their approximate worth?	およそどれくらいの価値がありますか。
My uncle has a deep interest in art.	おじは芸術への関心が高い。
I did nothing out of the ordinary.	おかしなことは何もしなかった。
Our family consists of five members.	うちの家族は五人から成る。
A rabbit is running in the garden.	ウサギが庭の中をかけています。
The ink stain will not wash out.	インクの染みが洗濯しても落ちない。
The absent are always in the wrong.	いない者がいつも悪者になる。
Anne will not accomplish anything.	アンは何も成し遂げないだろう。
Don't think little of the ants' lives.	アリの命を軽視するな。
Do they sell bread at that store?	あの店ではパンを売っていますか。
Keep away from that pond, please.	あの池には近づかないでください。
You remind me of your brother.	あなたを見るとお兄さんを思い出します。
You must speak in a loud voice.	あなたは大声で話さなければならない。
Have you ever climbed Mt. Fuji?	今までに富士山に登ったことってある？
You must show your passport.	あなたはパスポートを見せなければならない。
Do you know how to play chess?	あなたはチェスの仕方を知っていますか。
You don't have to talk so loud.	あなたはそんな大声で話す必要はない。
Did you accomplish your purpose?	あなたは、目的を成し遂げましたか。
You could be right, I suppose.	あなたの言うことは正しいかもしれない。
I would like to be your pen pal.	あなたのペンパルになりたいのです。
Have your roses come out yet?	あなたのところのバラはもう咲きましたか。
He is the black sheep of the family.	あいつは一家のつらよごし。
A cup of hot soup relaxed me.	１杯の熱いスープで私は気分がくつろいだ。
An ugly man knocked on my door.	１人の醜い男が私の家の戸をたたいた。
I can afford one, but not both.	１つは買う余裕があるが、両方はない。
I have a previous engagement at ten.	１０時には先約があります。
One, three, and five are odd numbers.	１、３、５は奇数である。
Write an essay on "Friendship".	「友情」という題で作文を書きなさい。
It is safe to skate on this lake.	この湖でスケートをしても安全だ。
Bill took his brother to the zoo.	ビルは弟を動物園へ連れていった。
The taxi picked up two passengers.	タクシーは二人の乗客を乗せた。
Did you read that thick book?	あなたは、あの分厚い本を読んだのですか。
It seems to me that he is honest.	私には彼が正直なように思われる。
This is a bow for a strong person.	これは力の強い人が使う弓です。
This is a bow for a strong person.	これは力の強い人向けの弓です。
There is no telling who did this.	誰がこれをしたのかはわからない。
Recently I've been feeling a bit down.	最近気分が萎え気味だ。
X was supposed to be above everything else.	Xを第一とした
He bundles three kinds into one set.	彼が３種類をセットにしました
Yamada suddenly looked at his watch.	ふと、山田が自分の時計を見た
I had that kind of impression.	私がそういうふうに一つの感想を持ちました
He writes X just as it is in a poem.	彼がXをそのまま詩に書きます
My roommate returned to Japan today.	同居人が今日日本に帰りました
The door to the room opened slowly.	ゆっくりと、部屋のドアが開いた
I'm desperate to keep myself balanced.	必死に体のバランスをとる
He gets angry with X all of the time.	彼がXにいちいち腹を立てる
It somehow looks different from usual.	どうもいつもと様子が違う
The problem hasn't been resolved yet.	まだ問題の解決には至らない
He suddenly stopped what he was doing.	彼がふと作業の手を止めた
Somehow, it disagrees with my skin.	それがどうも自分の肌に合わない
The day to say good-bye finally came.	ついに別れの日がやってきた
He propped himself up with his hands.	彼が両手で自分の体を支えた
He smoked a cigarette in the dream.	彼が夢の中でタバコを１本吸った
The male digs a hole under the stone.	オスが石の下に穴を掘ります
More and more people are dying in fog.	霧の中で人がどんどん死ぬ
I slowly warmed up in the hot spring.	温泉でゆっくり体を温めます
He pastes the image on his page.	彼が画像を自分のページに張り付けます
Everyone in the country is afraid of X.	Xを国中の誰もが恐れる
It inserts a needle into each arm.	それが左右の腕に１本ずつ針を刺す
It will be mainly divided into three.	それが主に３つに分けられる
A sudden smile flashes on his face.	彼の顔に、思わず笑みがこぼれる
I'm not getting involved in this.	俺この件に関してノータッチなんで。
Have you finished writing your thesis?	論文を書き終えましたか。
The old man gave the child shelter.	老人はその子を保護してやった。
There is no fool like an old fool.	老人のばかほどばかなものはない。
To love our neighbors is our duty.	隣人を愛するのは我々のつとめだ。
The hunters aimed at the elephant.	猟師たちは銃でその象をねらった。
The two countries negotiated a treaty.	両国は条約を取り決めた。
May I pay with a travelers' check?	旅行小切手で払ってもいいですか。
The storm did great harm to the crop.	嵐は作物に大損害を与えた。
Nothing is so valuable as friendship.	友情ほど貴重なものはない。
None but the brave deserve the fair.	勇者にあらずんば美女を得ず。
I must remind you of your promise.	約束したことを思い出して下さい。
The arrow indicates the way to Tokyo.	矢印は東京へ行く道を示す。
Just shut up and get on with your work!	黙って仕事をしなさい。
The bicycle under the tree is mine.	木の下にある自転車は私のです。
I'm afraid it's going to rain tomorrow.	明日は雨になりそうだ。
Someone is obviously telling a lie.	明らかに誰かが嘘をついている。
Mahjong tiles are very beautiful.	麻雀牌はとってもきれいなものです。
They were really cut from the same cloth.	本当に瓜二つだわ。
The books were tied up in a bundle.	本はひとまとめに束ねてあった。
I am interested in chess these days.	僕は最近チェスに興味がある。
I will never violate a law again.	僕は決して法律を破ることはしない。
I was being taught to cheat.	僕はインチキをすることを教えられていたのだ。
My girlfriend has gone to Canada.	僕の彼女はカナダへいってしまった。
His mother is in attendance on him.	母親が、彼の看護にあたってる。
My mother gave me a pearl necklace.	母は真珠のネックレスをくれた。
Could you wrap this separately, please?	別々に包んでください。
The soldiers were guarding the bridge.	兵隊が橋を見張っていた。
The soldier aimed his gun at the man.	兵士はその男に銃を向けた。
All the soldiers stood side by side.	兵士が全員並んで立っていた。
One must draw the line somewhere.	物事には（がまんにも）限界がある。
The wind blows wherever it pleases.	風はその思いのままに吹きます。
The room was as still as the grave.	部屋は墓場のように静かだった。
There was a fine scent in the room.	部屋の中は良い香りがしていた。
Father gave an angry look at me.	父は怒った顔をして私をちらっと見た。
My father allowed me to go swimming.	父は私泳ぎに行くのを許した。
My father rarely goes to extremes.	父はめったに極端なことはしない。
Dad extended his legs on the sofa.	父はソファーの上で足を伸ばした。
Cut your coat according to your cloth.	布に応じて服を裁断せよ。
Wealth may be a factor of happiness.	富は幸福の一要因ではあろう。
The marvel is that he knew it.	不思議なのは彼がそれを知っていたことだ。
Poverty is not a bar to happiness.	貧困は幸福への障害とはならない。
The patient moved his lips slightly.	病人は唇をかすかに動かした。
A fine view burst upon our sight.	美しい景色が突然眼前にあらわれた。
Mr. Sato safely boarded the plane.	佐藤さんは無事に飛行機に乗った。
Don't be so sensitive to criticism.	批評にそんなに神経質になるな。
Don't feel sad or ill at ease.	悲しい気持ちや不安になってはいけません。
Sad to say, her son died young.	悲しいことに、彼女の息子は若死にした。
Both of them are very brilliant.	彼等二人はとても才能のある人である。
She was at once frank and honest.	彼女は率直でもあり素直でもあった。
She was absent from the club activities.	彼女は部活を休んだ。
She has legally divorced her husband.	彼女は夫と正式に離婚した。
She admits knowing the secret.	彼女は秘密を知っていることを認めている。
She engaged him as a programmer.	彼女は彼をプログラマーとして雇った。
She refused to accept his proposal.	彼女は彼のプロポーズを断った。
She got a false impression of him.	彼女は彼に間違った印象を抱いた。
She saw a young man at the entrance.	彼女は入り口で若い男を見た。
She seeded vegetables in her garden.	彼女は庭に野菜の種をまいた。
She wore a long, loose coat.	彼女は長くてゆったりとしたコートを着ていた。
She recovered from her long illness.	彼女は長い病気から回復した。
She was careful opening the drawer.	彼女は注意して引出しをあけた。
She withdrew her head from a window.	彼女は窓から頭を引っ込めた。
She readily agreed to my proposal.	彼女は進んで私の提案に賛成した。
She is not only kind but honest.	彼女は親切なばかりでなく正直である。
She glanced briefly at the newspaper.	彼女は新聞をちらっと見た。
She is always out to make a buck.	彼女は常に金儲けを目指しています。
She felt herself torn apart.	彼女は自分自身が引き裂かれるような気がした。
She prides herself on her talent.	彼女は自分の才能を誇りにしている。
She admitted that she was wrong.	彼女は自分が誤っていることを認めた。
She did the dishes of her own accord.	彼女は自発的に皿洗いした。
She found her purse under the desk.	彼女は机の下で財布を見つけた。
She enjoyed herself at the concert.	彼女は音楽会で楽しく過ごした。
She answered with hardly a smile.	彼女はろくに微笑みをみせず答えた。
She beat the cream for dessert.	彼女はデザート用にクリームを泡立てた。
She is well spoken of by everybody.	彼女はだれからもよく言われる。
She has made herself master of typing.	彼女はタイプに熟達した。
She succeeded in opening the box.	彼女はその箱を開けることができた。
She looked terrible at that time.	彼女はその時恐ろしい顔をしていた。
She has remained abroad ever since.	彼女はその後ずっと外国にいる。
She was busy with her knitting.	彼女はせっせと編み物に精を出していた。
She serves as the club treasurer.	彼女はクラブの会計係をしています。
She is what is called a learned fool.	彼女はいわゆる学者馬鹿だ。
He is not coming, according to her.	彼女の話では彼は来ないそうだ。
I remember meeting her somewhere.	彼女には何処かで会った覚えがある。
She has a son everybody loves.	彼女にはみんなに愛されている息子がいる。
Why was it that she got angry?	彼女が腹を立てたのはいったいなぜだろう。
You are very silly to trust him.	彼を信頼するなんて君はなんて馬鹿だ。
Do they clip the sheep every year?	彼らは毎年羊の毛を刈るのですか。
They set out on an arctic expedition.	彼らは北極探検に出かけた。
They are rowing a boat on the pond.	彼らは池でボートを漕いでいる。
They chased the man to arrest him.	彼らは男を逮捕すべく追いかけた。
They have plenty of grain in store.	彼らは大量の穀物を蓄えている。
They could barely make ends meet.	彼らは生きていくのがやっとだった。
I gather that they'll agree with us.	彼らは私達と同意見だと思う。
They acted according to my advice.	彼らは私の忠告に従って行動した。
They required me to keep silent.	彼らは私に黙っているように要求した。
They arrived here safely yesterday.	彼らは昨日無事に当地に着いた。
They sought shelter from the rain.	彼らは雨宿りをする場所を捜した。
They had a lovely time together.	彼らはともに素晴らしい時を過ごした。
They succeeded in getting that job.	彼らはうまくその仕事に就いた。
They sent up an advertising balloon.	彼らはアドバルーンをあげた。
He is not only brave but wise.	彼は勇気があるばかりでなく賢明でもある。
He looked at the cows in the fields.	彼は野原にいる牛を見ました。
It is believed that he was innocent.	彼は無実だと信じられている。
He sent me a letter of appreciation.	彼は僕に礼状を送ってくれた。
He placed the ladder against the fence.	彼は塀に梯子を掛けた。
He is afraid of becoming sick.	彼は病気になるのではないかと恐れている。
He was killed in an airplane accident.	彼は飛行機事故で死んだ。
He laid bare his secret feelings.	彼は秘めていた感情をあらわにした。
He is very sensitive to criticism.	彼は批評に対してたいへん敏感だ。
He proposed asking her to lunch.	彼は彼女を昼食に誘おうと言い出した。
He shouted to her to be careful.	彼は彼女に気をつけろと大声で言った。
He did not accept their invitation.	彼は彼らの招待に応じなかった。
He will come into a large fortune.	彼は莫大な財産を相続するだろう。
He is possessed of a great fortune.	彼は莫大な財産を所有している。
He was tying his horse to the fence.	彼は馬をさくにつないでいた。
He sipped the hot coffee slowly.	彼は熱いコーヒーをゆっくりすすった。
He cut up the meat and weighed it.	彼は肉を切り刻んで重さを量った。
He was tied to the tree with a rope.	彼は縄で木に縛り付けられた。
He is bright, but he is not honest.	彼は頭がいいが、正直ではない。
He could not control his anger.	彼は怒りを抑制することができなかった。
He ate up his fortune by gambling.	彼は賭け事で財産を食いつぶした。
He knows a lot about butterflies.	彼は蝶のことをたくさん知っている。
He did not appear until about noon.	彼は昼頃まで姿を見せなかった。
He called me from across the pond.	彼は池の向こう側から私を呼んだ。
He was very friendly to everybody.	彼は誰にでも愛想よく振る舞った。
He did not walk into the gym.	彼は体育館に歩いて入って行きませんでした。
He settled his property on his sons.	彼は息子達に財産を分与した。
He left a large fortune to his son.	彼は息子に莫大な財産を残した。
He remained silent like a stone.	彼は石のように黙り込んだままだった。
He is too honest to tell a lie.	彼は正直なのでうそをつくことはしない。
He is going to buy a new bicycle.	彼は新しい自転車を買うつもりです。
He is absent on business in Osaka.	彼は商用で大阪に出かけて留守だ。
He must finish his homework today.	彼は宿題を今日終えねばならない。
He tore the photographs into pieces.	彼は写真を散り散りに破いた。
He asserted that he was innocent.	彼は自分が無実であること断言した。
He maintained that he was innocent.	彼は自分が潔白だと言い張った。
He gave a good shine to my shoes.	彼は私の靴をきれいに磨いてくれた。
He taught me how to write a poem.	彼は私に詩の書き方を教えてくれた。
He showed me his photograph album.	彼は私にアルバムを見せてくれた。
He suspects me of telling a lie.	彼は私が嘘をついていると疑っている。
His wealth has not made him happy.	彼は財産があっても幸福ではない。
His deeds didn't agree with his words.	彼は言行不一致であった。
He is at once strict and tender.	彼は厳しくもあり同時に優しくもある。
He is anything but a gentleman.	彼は決して紳士などというものではない。
He is a cut above his neighbors.	彼は近所の人々より社会的に一段上だ。
He exchanged his cow for two horses.	彼は牛を２頭の馬と交換した。
He resolved to turn over a new leaf.	彼は改心することを決心した。
He advised us against doing it.	彼は我々にそれをしないように忠告した。
He weighs a lot more than before.	彼は以前より随分体重が増えている。
I wonder if he dares try again.	彼はもう一度やる勇気があるのだろうか。
He makes everybody feel at ease.	彼はみんなの気分を楽にしてくれます。
He sat smoking on the bench.	彼はベンチでタバコを吸いながらすわっていた。
He was poisoned by the globefish he ate.	彼はフグにあたった。
He waited for his son with anxiety.	彼ははらはらして息子を待った。
He has a very surprising fancy.	彼はとても驚くべき想像力を持っている。
He need not have called a taxi.	彼はタクシーを呼ぶ必要はなかったのに。
He cast a vote for the proposition.	彼はその提案に賛成票を投じた。
He was merely sitting in the place.	彼はその場所でただ座っていた。
He performed the trick with ease.	彼はその手品を難無くやって見せた。
He took part in the athletic meeting.	彼はその競技会に参加した。
He took a great fancy to that house.	彼はその家が大好きになった。
He dashed the glass to the floor.	彼はそのグラスを床にたたきつけた。
He will soon be allowed to swim.	彼はすぐに泳いでもよくなるでしょう。
He often thinks with his eyes shut.	彼はしばしば目を閉じて考える。
He is burning to make a fortune.	彼はしきりと一財産作りたがっている。
He's biased against Christianity.	彼はキリスト教に偏見を抱いている。
He once sailed up the Thames.	彼はかつてテムズ川を船で上ったことがある。
He has money enough and to spare.	彼はお金を有り余るほど持っている。
He denied having stolen the money.	彼はお金を盗んだことを否定した。
He is taken care of by his uncle.	彼はおじさんの世話になっています。
He is always upset by her words.	彼はいつも彼女の言葉で気分を害する。
He always spends his money freely.	彼はいつも惜しげもなく金を使う。
He told me when to say yes.	彼はいつ「はい」というべきか私に教えてくれた。
Did he propose marriage to you?	彼はあなたに結婚を申し込んだのですか。
He is as great a poet as ever lived.	彼は、古今無双の詩人である。
His story thrilled me with horror.	彼の話は私を恐怖でぞっとさせた。
His paper is far from satisfactory.	彼の論文に決して満足できない。
His illness is one of my anxieties.	彼の病気は私の心配事の１つだ。
His secret will be disclosed soon.	彼の秘密は近々あばかれるだろう。
I wish you could have seen him pitch.	彼の投球を見せたかったよ。
How do you feel about his suggestion?	彼の提案をどう思いますか。
His life spanned nearly a century.	彼の生涯はほぼ１世紀にわたった。
His behavior is beneath criticism.	彼の振る舞いは批判にも値しない。
Calcium is absent from his diet.	彼の食事にはカルシウムが欠けている。
Place a coin in the palm of his hand.	彼の手のひらに硬貨を置く。
His last word let everybody down.	彼の最後の言葉は全員を失望させた。
His behavior allows of no criticism.	彼の行動は非難の余地が無い。
His conduct is open to criticism.	彼の行動は人から非難を受けやすい。
His conduct is open to criticism.	彼の行為は他から非難を受けやすい。
His conduct is open to criticism.	彼の行為は人から批判を受けやすい。
He was confident of his antibodies.	彼の抗体はかつて彼が確信した。
His conduct is open to criticism.	彼の好意は人から批判を受けやすい。
His words carry little conviction.	彼の言葉にはあまり説得力がない。
No attention was paid to his warning.	彼の警告に注意しなかった。
His work merits the highest praise.	彼の業績は最高の賞賛に値する。
His argument was most convincing.	彼の議論にはとても説得力があった。
I undertook responsibility for him.	彼に代わって私が責任を負った。
It is on his father that he depends.	彼が頼りにしているのは父だ。
His death was partly my fault.	彼が亡くなった責任の一端は私に有ります。
It is true that he stole the pearl.	彼が真珠を盗んだのは本当です。
It was a miracle that he recovered.	彼が健康を回復したのは奇跡だ。
He has good reason to get very angry.	彼がひどく怒るのも当然だ。
I stepped aside for him to pass.	彼が通れるように、私はわきに寄った。
She resolved not to pay the fine.	罰金など払うまいと彼女は決心した。
Where is the entrance to the museum?	博物館の入り口はどこですか。
The waves swallowed up the boat.	波がそのボートを飲み込んでしまった。
A thick fog delayed our flight.	濃い霧のために私たちの飛行機は遅れた。
There's no fool like an old fool.	年をとった馬鹿ほど大馬鹿はいない。
Japanese gardens usually have ponds.	日本の庭にはふつう池がある。
Two detectives followed the suspect.	二人の刑事が容疑者をつけた。
Can I borrow one for about two weeks?	二週間ほど借りられるかい。
All at once it began to rain heavily.	突然雨が激しく降り出した。
Suddenly, Hiroko burst into tears.	突然にヒロコはわっと泣き出した。
Suddenly, he heard a strange sound.	突然、彼は奇妙な音を耳にした。
As well be hanged for a sheep as a lamb.	毒を食らわば皿まで。
It was his bicycle that was stolen.	盗まれたのは彼の自転車だった。
There is no telling about the weather.	天気のことはわからない。
The ceiling measures ten feet high.	天井は高さが１０フィートある。
There's a big fly on the ceiling.	天井に大きなはえがとまっています。
I'll give you a painkilling injection.	痛み止めの注射をします。
We may be able to see birds' nests.	鳥の巣が見られるかもしれない。
The audience were mostly adolescents.	聴衆はほとんど若者だった。
The sun on the horizon is wonderful.	地平線上の太陽は素晴らしい。
A map helps us study geography.	地図は私たちが地理学を学ぶ助けになる。
Clean the ashes out of the fireplace.	暖炉の灰を掃除して下さい。
Nobody would listen to me.	誰一人僕の言うことに耳を貸そうとしなかったんだ。
Whose bicycle did you want to borrow?	誰の自転車を借りたいのか。
Can you reach the box on that shelf?	棚の上の箱に手が届きますか。
This is what they call a lucky break.	棚からぼた餅とはこのこと。
A big wave turned over his canoe.	大波を受けて彼のカヌーは転覆した。
A big animal ran away from the zoo.	大きな動物が動物園から逃げた。
The king left a large fortune behind.	王様が大きな財産を残した。
The bag was bursting with corn.	袋はとうもろこしではちきれそうだった。
The sun is shining above our heads.	太陽が私達の頭上に輝いている。
We must examine the various aspects.	多角的に見なければならない。
A card was attached to the gift.	贈り物にはカードが添えられてあった。
What was the outcome of the election?	選挙の結果はどうでしたか。
We had terrible times during the war.	戦争中は大変な時代だった。
I attempted to swim across the river.	川を泳いで渡ろうと試みた。
We set up the tent next to the river.	川の近くにテントを張った。
He was caught in the act of stealing.	窃盗の現場を押さえられた。
I lost interest in collecting stamps.	切手集めには興味を失った。
A baby is sleeping in the cradle.	赤ん坊がゆりかごの中で眠っている。
