Die!	死ね！
Her story can't be true.	彼女の物語が真実のはずがない。
Her hope didn't come true.	彼女の願いは届かなかった。
She has no one to turn to.	彼女には頼れる人がいない。
They did not give up hope.	彼らは望みを捨てなかった。
They let him tell the story.	彼らは彼に話をさせた。
They work as hard as ever.	彼らは相変わらずよく働く。
They were very kind to me.	彼らは私に大変親切だった。
They are people of a kind.	彼らは皆同じような連中だ。
They held the meeting here.	彼らはここで会を開いた。
They talked to each other.	彼らはお互いに話し合った。
They smiled at one another.	彼らはお互いに微笑んだ。
They have twelve children.	彼らは１２人の子持ちです。
He is a really good worker.	彼は本当によく働く人だ。
He left cost out of account.	彼は費用を度外視した。
He provided them with food.	彼は彼らに食料を与えた。
He was very kind to them.	彼は彼らにとても親切だった。
He has to study hard.	彼は熱心に勉強しなければなりません。
He left Tokyo for Osaka.	彼は大阪に向けて東京を発った。
He looks as young as ever.	彼は相変わらず若く見える。
He thought up a new idea.	彼は新しい考えを思いついた。
He is free to go there.	彼は自由にそこに行く事ができる。
He made himself known to me.	彼は私に名を名乗った。
He is on the point of death.	彼は死にかかっている。
He himself was not the light.	彼は光ではなかった。
People say he never dies.	彼は決して死なないそうです。
He can't speak English.	彼は英語を話すことができません。
He started to speak English.	彼は英語を話し始めた。
He speaks English a little.	彼は英語を少し話します。
He thought of a good idea.	彼はよい考えを思いついた。
He never stops to think.	彼はゆっくり考えることしない。
He is no longer in business.	彼はもはや仕事がない。
He is nothing but a child.	彼はほんの子供に過ぎない。
How well he played!	彼はなんとうまくプレーしたことでしょう。
He's much younger than Tom.	彼はトムよりずっと若い。
He took over the business.	彼はその商売を引き継いだ。
He turned away the question.	彼はその質問を避けた。
He knew it all along.	彼はそのことを初めから分かっていた。
He often calls her names.	彼はしばしば彼女をののしる。
He gave me this in return.	彼はお返しにこれをくれた。
When did he come of age?	彼はいつ成年に達したのですか。
He's always short of money.	彼はいつもお金が乏しい。
Will he ever come back?	彼はいつかは帰ってくるだろうか。
He doesn't read many books.	彼はあまり本を読まない。
He acted well in Hamlet.	彼は「ハムレット」で好演した。
He has a good art of talking.	彼は、話術が巧みだ。
He speaks Japanese well.	彼は、日本語を上手に話します。
He is a kind man at heart.	彼は、根は、親切な男です。
He is always talking big.	彼の大風呂敷はいつものこと。
Why don't you call him up?	彼に電話したらどうですか。
I was not able to see him.	彼に会う事ができなかった。
You'd better not tell him.	彼には話さない方がいいよ。
I haven't met him before.	彼には前に会ったことがない。
Did you ever talk to him?	彼と話したことがありますか。
I want to have a talk with him.	彼と話がしたい。
I am to meet him there.	彼とそこで会うことになっている。
We will start when he comes.	彼が来たら出発します。
He is certain to turn up.	彼が姿を見せることは確実だ。
I don't care what he does.	彼が何をしようと構わない。
Be kind to old people.	年をとった人たちに親切にしなさい。
Let's get together on Sunday.	日曜日に集合しよう。
Two men met face to face.	二人の男が面と向かい合った。
Would you tell me the way?	道を教えていただけますか。
I have few friends here.	当地にはほとんど友人はいない。
Tokyo is a very big city.	東京はとても大きな都市です。
I saw a kabuki play in Tokyo.	東京で歌舞伎を見た。
Why didn't you call me up?	電話くれればよかったのに。
Many businesses closed down.	多くの会社が休業した。
I believe in early rising.	早起きをよいと思っている。
I believe in rising early.	早起きはよいと信じている。
There is a little water left.	水は少し残っている。
People call him Dave.	人々は彼をいつもデーブと呼んでいる。
We have run short of food.	食べ物をきらしてしまった。
All the food was gone.	食べ物はすべてなくなってしまった。
When does the show start?	上映はいつから始まりますか。
We must provide for future.	将来に備えねばならない。
It's all up with my business.	商売は上がったりだ。
It is really time for us to go.	出発する時間だ。
Those present were so kind.	出席者はみな親切でした。
Will you drive me home?	車で家まで送ってもらえませんか？
Shall I come next Sunday?	次の日曜日に参りましょうか。
Get off at the next stop.	次の停留所で降りてください。
What are the measures of time?	時間の単位は何か。
I will do well on the test.	試験でうまくいくだろう。
We want to know the facts.	私達は真実が知りたいんだ。
We love our children.	私達は自分の子供たちを愛しています。
Don't leave me behind!	私を置き去りにしていかないでくれ。
I do not like him either.	私も彼のことが好きではない。
I worked far into the night.	私は夜遅くまで働いた。
I've worked out a good plan.	私は名案を考えついた。
I'm the youngest in the family.	私は末っ子です。
I almost never met her.	私は彼女とほとんど会わなかった。
I will make a friend of him.	私は彼を味方にしよう。
I go to school with him.	私は彼と一緒に学校にいきます。
I couldn't speak Japanese.	私は日本語を話せなかった。
I really like city life.	私は都会の生活が本当に好きだ。
I believe in early rising.	私は早起きはよいとおもう。
I speak a little Japanese.	私は少し日本語を話します。
I don't have any money.	私は少しもお金を持っていません。
I took your word for it.	私は君の言葉をそのまま信じた。
I want you to come at once.	私は君にすぐ来てほしい。
I have to leave school.	私は学校をやめなければならない。
I was on my way to school.	私は学校へ行く途中でした。
I have already done it.	私はもうそれをしてしまいました。
I don't have any money.	私ははまったくお金がありません。
I think that Tom is kind.	私はトムは親切だと思います。
I don't know either girl.	私はどちらの少女も知らない。
I don't have much money.	私はたいして金を持っていない。
I keep the book at hand.	私はその本を座右に置いている。
I put this question to him.	私はこの質問を彼にした。
I have a few friends here.	私はここに友達が数人いる。
I once lived in Rome.	私はかつてローマに住んだことがある。
I have no money with me.	私はお金を持ち合わせていない。
I have always kept my word.	私はいつも約束を守った。
I thought of a good idea.	いい考えを思い付いたんだよ。
I read it to my family.	私はそれを家族に読んで聞かせた。
My father is fifty years old.	私の父は５０歳です。
My answer will be all right.	私の答えで良いと思う。
She called while I was out.	私の外出中に彼女は来た。
You might have told me.	私に言ってくれてもよかったのに。
I have no time to read books.	本を読む時間がない。
I would see Mr White.	私だったらホワイト氏にあってみるね。
We speak English in class.	私たちは授業中英語を使う。
We played all together.	私たちはみんないっしょに遊んだ。
We will make it public.	私たちはそれを公にしようと思う。
We talked for some time.	私たちはしばらくの間話をした。
I want nothing but health.	私が欲しいのは健康だけだ。
I will explain it to her.	私が彼女にそれを説明します。
Note how I do it.	私がどんな風にそれをやるかよく見ていなさい。
You can go however you like.	思い通りに行けるのさ。
Even a child can do it.	子供でもそれをすることができる。
Business took him there.	仕事が彼をそこに連れていった。
What did you do last night?	昨晩君は何をしましたか。
Were you at home last night?	昨晩は家にいましたか。
It's my turn to drive next.	今度は私が運転する番よ。
I want to close my account.	口座を閉じたいのですが。
Put it back where it was.	元どおりにしまってください。
Ken was in Japan last year.	健は去年日本にいました。
The results were as follows.	結果は次の通りだった。
The decision rests with him.	決定は彼しだいである。
The day of decision is at hand.	決断の日は近い。
Art is long, life is short.	芸術は長く、人生は短い。
You have a way with women.	君は女性の扱い方がうまい。
You are to start at once.	君はすぐに出発すべきである。
You must read this book.	君はこの本を読まねばならない。
When will you leave here?	君はいつ当地を出発しますか。
Your answer is to the point.	君の答えは適切である。
What position do you hold?	君の守備位置はどこですか。
I will do anything for you.	君のためなら何でもする。
You must not give up hope.	希望を捨ててはいけないよ。
School starts next Monday.	学校は今度の月曜に始まる。
No one is too old to learn.	学ぶに遅すぎることなし。
I don't feel like going out.	外出をする気がしない。
Our work is almost over.	我々の仕事はほとんど終わった。
I'm the witchfinder general.	我こそ魔女がりの大将。
Take every possible means.	可能な限りの手段を講じろ。
What are you talking about?	何のことを言っているの？
Where's your better half?	奥さんはどこに行っちゃたの。
Where is English spoken?	英語はどこで話されていますか。
It is time to go to school.	もう学校に行く時間です。
It's about time to start.	もうそろそろ出発の時間です。
Has Father come home yet?	もうお父さんは帰ってきたの。
It will clear up by and by.	まもなく晴れるでしょう。
I know nothing but this.	ぼくはこれ以外は何も知らない。
My watch stopped working.	ぼくの時計はこわれています。
Helen is seventeen years old.	ヘレンは１７歳です。
That's a little out of focus.	ピントがズレている。
Do you mean you met her!?	ひょっとして彼女と会ったの？
Are you coming to the party?	パーティーに来ますか。
He was present at the party.	パーティーに出席した。
Doraemon often smiles.	ドラえモンがよくにっこり笑います。
No sound was to be heard.	なんの物音も聞こえなかった。
Why are you short with me?	なぜ君は僕に冷たいんだい？
Any child could do that.	どんな子供でもそれはできよう。
Tom and I are good friends.	トムと私はよい友達です。
Tony speaks English well.	トニー君は上手に英語を話す。
Why don't you ever say it?	どうして言ってくれないの？
I had no idea what to do.	どうしていいのか分からない。
You must not open the door.	ドアを開けてはならない。
Who left the door open?	ドアを開けたままにしたのは誰だ。
The door remained closed.	ドアは閉じられたままだった。
The door would not open.	ドアはどうしても開かなかった。
TV is not watched here.	テレビはここでは見られていない。
Debbie! Can you hear me?	デビー！私の声が聞こえるかい？
I'll help you if possible.	できるならお手伝いします。
I feel like taking a rest.	ちょっと休憩したい気分だ。
Not a word did he speak.	ただの一言も彼は喋らなかった。
We must act at once.	ただちに行動を起こさなければならない。
It's enough for five days.	それは５日間で大丈夫です。
Then, I'll be leaving you.	それじゃお先に失礼します。
Let's ask if it's true.	それが本当かどうか聞いてみよう。
Did you read the whole book?	その本全部読んだかい。
Is the play still running?	その劇はまだ上演中ですか。
I'm thinking of the plan.	私はその計画を考えています。
The plan has broken down.	そのプランは失敗に終わった。
I've heard all about it.	それについては全て伺いました。
I've been there already.	そこには前に行ったことがある。
I hope you'll soon get well.	すぐ良くなって欲しい。
You had better leave at once.	すぐに出た方が良い。
Stop speaking right now.	すぐにしゃべるのをやめなさい。
You'll be a good player soon.	すぐにうまくなるよ。
I'd like to speak to John.	ジョンは今お手すきですか。
Good day. See you soon.	じゃさよなら、また近いうちにね。
Shall we take a short rest?	しばらく休憩しませんか。
Are these books Kenji's?	これらの本は健二のものですか。
These facts are certain.	これらの事実は疑う余地はない。
What an old book this is!	これは何と古い本なのだろう。
This is a very small book.	これはとても小さい本です。
Is this your book, Mike?	これ、あなたの本なの、マイク？
Take this book back to him.	この本を彼に返しなさい。
This method is sure to work.	この方法でうまくいく。
Don't play in this room.	この部屋で遊んではいけないよ。
What does that word mean?	この単語は何を意味しますか。
This watch is made in Japan.	この時計は日本製です。
This material has no give.	この材質は弾力性に欠ける。
This word is still in use.	この語はまだ使われている。
The door will not open.	この戸がどうしても開かないんだ。
Put it there, not here.	ここではなくあそこに置きなさい。
Ken calls me every day.	ケンは毎日私に電話をかけてくる。
Christ was born in 4BC.	キリストは紀元前４年に生まれた。
Are you sure of your answer?	きみの答は確かですか。
I have something to tell you.	お話があるのですが。
When will Father be back?	お父さんはいつ帰ってくるの。
What does your father do?	お父さんの職業はなんですか。
Might I ask your age?	お年をお聞きしてよろしいでしょうか。
Money answers all things.	お金はすべてのものに答える。
I have run short of money.	お金がなくなってしまった。
Amy looked at me smiling.	エイミーは私を見て微笑んだ。
There's no stopping now.	いまやめろっていっても無理だ。
How are you getting along?	いかがお過ごしでしょうか。
Jesus answered them.	イエスは、彼らに答えて言われた・・・。
Sure. That's a good idea.	いいとも、それはいい考えだ。
Who will hear the case?	あの事件は誰が審理するのですか。
I was born to love you.	あなたを愛する為に私は生まれた。
Do you really want it?	あなたは本当にそれがほしいですか。
Do you have two books?	あなたは二冊の本を持っていますか。
Do you live in the city?	あなたは都市に住んでいますか。
Who do you want to talk to?	あなたは誰と話したいの？
Do you have any money?	あなたは少しお金を持っていますか。
You speak my language.	あなたは私の言葉をしゃべりますね。
Were you home last night?	あなたは昨日の夜、家にいた？
Your watch has been found.	あなたの時計はみつかった。
Where is your school?	あなたがたの学校はどこにありますか。
Just step right over there.	あそこに進んでください。
Have you ever seen a UFO?	ＵＦＯを見た事がありますか。
Twenty years is a long time.	２０年とは長い年月だ。
It's almost half past eleven.	１１時半近くですよ。
Ten years is a long time.	１０年といえば相当な時間だ。
They smiled at each other.	彼らは互いに微笑みあった。
It sounds like something fell.	何かが倒れる音がした
Children studied English.	子ども達が英語の勉強をしました
Many people acted together.	多くの人が行動をともにした
That has 2 new functions.	それには２つの新機能が有ります
He has a 6-year-old child.	彼は６歳のお子様を持っている
He didn't ask their name.	彼はその人の名前を聞かなかった
He spoke out X in that way.	彼がXをそのまま口に出した
X doesn't really bother me.	Xがあまり気にならなかった
I'm sure something will change.	きっと何かが変わる
All the leaves have fallen.	すっかり木の葉が落ちました
That doesn't sound right to me.	それが腑に落ちない
I got an answer right away.	すぐに答えが返ってきました
The research group found X.	Xを研究グループが発見した
I always keep X in mind.	私がXをいつも念頭においています
It's been left in the room.	それが部屋に放置されてます
I heard that he'd died.	彼が死んだことは言伝に知りました。
Tell me the meaning of life.	生きる意味を教えてくれ。
I'd like to change some money.	両替したいんですが。
The reasons are as follows.	理由は以下のとおりである。
I'll be seventeen next year.	来年で１７歳になるんだ。
I will be free next Saturday.	来週の土曜日は暇です。
My friend has a large family.	友人の家は大家族です。
Don't say it behind my back.	面と向かって言ってくれ。
This is too good to be true.	本当であるにはよすぎる。
Do you really love me?	本気で私のこと愛しているっていうの？
I don't like to run a risk.	僕は危険を冒すのは嫌いだ。
You are not to break the law.	法を犯してはならない。
Leave the room as it is.	部屋をそのままにしておきなさい。
My father may be at home now.	父は今家にいるだろう。
She lives next door to him.	彼女は彼の隣に住んでいる。
She brought up two children.	彼女は二人の子を育てた。
Who is she speaking to?	彼女は誰に話しかけているのですか。
She looks as young as ever.	彼女は相変わらず若々しい。
She worked on my account.	彼女は私のために働いてくれた。
She read the book all night.	彼女は一晩中本を読んだ。
She has not come here yet.	彼女はまだここに来ていない。
She called off the party.	彼女はパーティーを取りやめた。
She did not read the book.	彼女はその本を読まなかった。
She took care of the child.	彼女はその子の世話をした。
She is hard up for money.	彼女はお金にとても困っている。
She did not come until two.	彼女は２時まで来なかった。
Her friends call him Ned.	彼女の友達は彼をネッドと呼ぶ。
She talks too aloofly.	彼女の口振りはいかにもそらぞらしい。
Her words were as follows.	彼女の言葉は次の通りだった。
She has no money about her.	彼女には手持ちの金がない。
I know nothing about her.	彼女については何も知りません。
They have left school now.	彼女たちはたった今下校した。
Can any girl like him?	彼を好きになる女の子がいるだろうか。
They can think and speak.	彼らは話したり考えたりできる。
They are as strong as us.	彼らは僕たちと同じくらい強い。
They started a new business.	彼らは新規事業を始めた。
They are about the same age.	彼らは同じくらいの年だ。
They have nothing in common.	彼らは共通点が何も無い。
They had a rest for a while.	彼らはしばらく休憩した。
They close the door at five.	彼らは５時に戸を閉める。
He got paid under the table.	彼は裏金をもらいました。
He used to read at night.	彼は夜いつも読書をしたものだ。
He calls her up every night.	彼は毎晩彼女に電話する。
Does he have many books?	彼は本をたくさん持っていますか。
He is holding up her work.	彼は彼女の仕事を妨げている。
He never turned back again.	彼は二度ともどらなかった。
He left Tokyo for Kyoto.	彼は東京を離れて京都に向かった。
He left Tokyo for Osaka.	彼は東京を発って大阪へ向かった。
He is anything but that.	彼は断じて芸術家なんかではない。
He had taken care of himself.	彼は体に注意していた。
He is known to the public.	彼は世間に顔を知られている。
He is wanting in common sense.	彼は常識が足りない。
He played an important part.	彼は重要な役割を演じた。
He is six years older than I.	彼は私より６才年上だ。
He told me a long story.	彼は私に長い物語を話してくれた。
He asked me for some money.	彼は私に金をくれと言った。
He was given a book by me.	彼は私から本をもらいました。
He is leaving in three days.	彼は三日したら出発する。
He'll be here any moment.	彼は今にもここに来るでしょう。
He will be back in a second.	彼は今すぐ帰ってきます。
He lives next door to us.	彼は我々のとなりにすんでいる。
He lived there by himself.	彼は一人でそこに住んでいた。
He can speak Russian as well.	彼はロシア語も話せる。
He hasn't come of age yet.	彼はまだ成年に達していない。
He can speak French well.	彼はフランス語を上手に話せる。
He was enamored of the girl.	彼はその娘にほれこんだ。
He took part in the meeting.	彼はその会議に参加した。
He will get well very soon.	彼はすぐによくなるだろう。
He reads this book hard.	彼はこの本を一生懸命読んでいる。
He always studies hard.	彼はいつも一生懸命に勉強している。
Did he tell you anything?	彼はあなたに何か言いましたか。
What he said is a good idea.	彼の言ったことは名案だ。
He has a family to support.	彼には養うべき家族がいる。
He is giving me a hard time.	彼には困っているんです。
He played an important part.	彼が重要な役を果たした。
What he said is not true.	彼が言ったことは真実ではない。
Sunday is followed by Monday.	日曜の次に月曜が来る。
The same is true of Japan.	同じ事は日本にもあてはまる。
I haven't seen you for ages.	長いこと会わなかったね。
Night always follows day.	昼の後には必ず夜がやってくる。
A man is as old as he feels.	男の年齢は気持ち次第だ。
Who can speak English?	誰が英語を話すことが出来るのですか。
Who helps your mother?	誰がお母さんの手伝いをするのですか。
You'll get used to it soon.	大丈夫、じきに慣れますよ。
I believe in getting up early.	早起きは良いと思う。
I want to see him at all costs.	是非彼に会いたい。
There is little water left.	水はほとんど残っていない。
So many men, so many minds.	人はそれぞれ、意見が違う。
See the example given above.	上に上げた例を見なさい。
I've been learning to drive.	車の運転を習っています。
I really love my work.	自分の仕事にやりがいを感じています。
I feel like another person.	自分が別人になった感じだ。
I found my watch broken.	時計が壊れているのに気がついた。
We called on him last night.	私達は昨夜彼をたずねた。
We had a party last night.	私達は昨夜パーティーをした。
We are just going to leave.	私達は今でかけるところだ。
We must start at once.	私達はすぐに出発しなければならない。
I want to study history.	私は歴史を研究したいと思います。
I looked into the next room.	私は隣の部屋の中を見た。
I was calling my friend.	私は友達に電話をかけていました。
I was watching TV at night.	私は夜にテレビを見ていた。
I love my mother very much.	私は母を大変愛しています。
I asked for my father's help.	私は父の助けを求めた。
I told her what to do.	私は彼女になにをすべきか言いました。
I asked him to help me.	私は彼に助けてくれるように頼んだ。
We get together once a year.	私は年に１回集まります。
I felt like running away.	私は逃げ出したい気持ちだった。
I'm as strong as before.	私は前と同じようにじょうぶです。
I heard a call for help.	私は助けを求める呼び声を聞いた。
I met him for the first time.	私は初めて彼にあった。
I meet him from time to time.	私は時々彼にあいます。
I heard my name called.	自分の名前を呼ばれるのが聞こえた。
I work in the field of art.	私は芸術畑で働いています。
I can take a rest at last.	私はやっと休むことができる。
I looked it over once more.	私はもう一度それを調べた。
I booked through to Paris.	私はパリまでの切符を買った。
I am never free on Sundays.	私はどの日曜日も暇でない。
I really don't want to go.	私はどうしても行きたくない。
I have nothing to do with it.	私はそれと関係がない。
I was watching TV then.	私はその時、テレビを見ていました。
I took part in the party.	私はそのパーティーに参加した。
I called at Judy's house.	私はジュディさんの家を訪れた。
I couldn't believe this!	私はこのことが信じられなかった。
My father is away from home.	私の父は留守にしている。
It was her that told me.	私に言ってくれたのは彼女だった。
Let me say it once for all.	私に一回だけ言わせてくれ。
It doesn't make sense to me.	私には意味が分からない。
I can do it in half the time.	私なら半時間でやれる。
We go to the same school.	私たちは同じ学校に通っている。
We must leave early.	私たちは早めに出発しなければなりません。
We have to act now.	私たちは今、行動を起こさなければいけない。
We must go to school.	私たちは学校へ行かなければなりません。
We learn English at school.	私たちは学校で英語を学ぶ。
We go to school to learn.	私たちは学ぶために学校に行く。
Nothing remains but to die.	死ぬよりほかに方法がない。
Bring your children along.	子供さんを連れてきなさいよ。
Children are not allowed in.	子どもは入場お断りです。
It's time to leave off work.	仕事を辞めるべき時間だ。
No one believed me at first.	最初は誰も私を信じない。
Have you ever seen him?	今まで彼にあったことがありますか。
I have nothing to do now.	今は何もすることがないんだよ。
So you are acting high-handedly.	高飛車に出たね。
You can read between the lines.	行間を読みなさい。
I see your mind's made up.	考えがまとまったようですね。
I'd like to open an account.	口座を開きたいのですが。
Do you have a table for five?	五人の席はありますか。
Let me put off my decision.	決定を延ばさせてください。
You were kind to help me.	君は親切にも私を助けてくれた。
You should study harder.	君はもっと熱心に勉強すべきです。
You are not a child any more.	君はもう子供ではない。
What has brought you here?	君はどうしてここに来たのか。
I'll study your report.	君のレポートを読んでおきましょう。
I have something to tell you.	話したい事があるんだ。
You shall want for nothing.	君には何も不自由させない。
I do not mind what you do.	君が何をしてもかまわないよ。
I should have taken the money.	金を選ぶべきだった。
School will open on Monday.	学校は月曜日に始まります。
I hope you are all well.	皆さんがお元気でありますように。
The meeting will be put off.	会合は延期になるだろう。
The meeting broke up at four.	会議は４時に散会した。
The meeting broke up at eight.	会は八時に散会した。
The meeting broke up at eight.	会は八時に解散した。
Never too much of anything.	過ぎたるは及ばざるが如し。
I'd like to call my family.	家族に連絡したいのですが。
What was it I left behind?	何を置き忘れてきたのですか。
What are you talking about?	何の話をしているのですか。
What has brought you here?	何の用でここに来たのですか。
What are you talking about?	何のことを話しているのか。
Do you have anything in mind?	何か特にお考えですか。
If only I could speak English!	英語が話せたらなあ。
The image is out of focus.	映像はピントがあっていない。
I'll put you up for the night.	一晩泊めてあげよう。
I haven't met him even once.	一度も会ったことがない。
You have only to study hard.	一生懸命勉強すればよい。
What are you doing so hard?	一生懸命何をしてるんだい。
Shall I go together with you?	一緒にいきましょうか。
We've been friends ever since.	以来ずっと友人です。
We want further information.	より詳しい情報がほしい。
I have something to ask of you.	ものは相談だけど。
You can leave the room now.	もう部屋を出てもよろしい。
I have had more than enough.	もう十二分に頂きました。
Stop acting like a child.	子供みたいな真似はやめなさい。
Have you got any plans?	もう何か予定がはいっているのかい。
Mary looks like her mother.	メアリーは母親と似ている。
Mary has already set off.	メアリーはすでに出発していた。
I haven't made up my mind yet.	まだ決めていません。
Let's meet again soon.	また近いうちにお目にかかりましょう。
Soon the sound died away.	ほどなくその音は消えていった。
I have nothing to go by.	ぼくには行動のよりどころがない。
Helen did me a good turn.	ヘレンは私に親切にしてくれた。
How did the party go?	パーティーのすすみ具合はどうでしたか。
Come to the party, will you?	パーティーに来なさいね。
May I bother you for a moment?	ねえ、ちょっといい？
Why am I working hard?	なぜ私は一生懸命働いているのですか。
Why do you think that way?	なぜそのように思うのですか。
I love this book above all.	とりわけこの本が好きです。
How about going for a drive?	ドライブはいかがですか。
What subject are you good at?	どの教科が得意ですか。
I haven't read either book.	どちらの本も読んでいない。
I don't feel like anything.	どうも体の調子がよくない。
How come you say nothing?	どうして君は何も話さないのか。
Don't leave the door open.	ドアを開け放しにしておくな。
Don't leave the door open.	ドアを開けっぱなしにするな。
Mary likes watching TV.	メアリーはテレビを見るのが好きだ。
Work as hard as you can.	できるだけ一生懸命、働きなさい。
I'll come as soon as I can.	できるだけはやく参ります。
Put the tables end to end.	テーブルを一列に並べなさい。
I have something to tell you.	ちょっと話があります。
Who left the door open?	だれがドアを開けっ放しにしたのだ。
Don't be too hard on me.	そんな私をしからないでください。
You can have it for nothing.	それは無料でもらえます。
You can have it for nothing.	それは無給でもらえます。
That makes no sense at all.	それは全然意味をなさない。
It shows white from here.	それはここからでは白く見える。
It turned out to be true.	それが正しいことだとわかった。
A friend told me that story.	その話は友達から聞いた。
Didn't you read the book?	その本を読まなかったのですか。
The law is still in effect.	その法律はまだ有効である。
How long is that story?	その物語はそのくらいの長さですか。
The woman is taking notes.	その女性はメモを取っている。
The door would not open.	その戸はどうしても開かなかった。
How will the plan work out?	その計画はどうなるだろう？
The meeting was called off.	その会合は、中止になった。
The door opened of itself.	そのドアはひとりでに開いた。
Take my word for it.	そのことなら私のことばを信じてください。
Shall I have him call you?	そちらへ電話させましょうか。
I do hope you'll come again.	ぜひまたお越しください。
You had better leave at once.	すぐ出発した方がよい。
We have to start at once.	すぐに出発しなければならない。
You had better go at once.	すぐに行った方がいいですよ。
Hope you'll get better soon.	すぐによくなるといいね。
I hope you'll be well soon.	すぐによくなってください。
I'll call you back soon.	すぐにこちらから電話し直します。
Let it be done at once.	すぐそれが行われるようにしなさい。
John and Beth are of an age.	ジョンとベスは同い年だ。
Let me tell you something.	じゃあ、言わせてもらうけど。
May I leave this with you?	これを預かってもらえますか。
What old books these are!	これらは何と古い本なのだろう。
Learn these names by heart.	これらの名を暗記しなさい。
This book is of great use.	この本はたいへん有益である。
This city is hard to live in.	この町は暮らしにくい。
What does this word mean?	この単語はどういう意味ですか。
I'll leave this work to you.	この仕事は君に任せるよ。
What does this word mean?	この言葉はどういう意味ですか。
This place used to be a field.	ここは昔、畑だった。
How long do we stop here?	ここでどのくらい止まりますか。
Who do you want to speak to?	お話になる方のお名前は。
Might I ask your name?	お名前をお伺いしてもよろしいですか。
Is your father about yet?	お父さんはもう起きていますか。
I will hope for the best.	うまく行くといいなと思います。
Not really. What's up?	いやそれほどでもないよ。何か用かい？
I will call on you again.	いずれ改めてお伺いいたします。
May I ask some questions?	いくつか質問してもいいですか。
It was so hard, I tell you.	あれは本当につらかったよ。
I have not seen him since.	あの時以来彼に会っていない。
That plan came to nothing.	あの計画は立ち消えになった。
Will that idea come off?	あのアイデアは実現しそうですか。
You are not as short as I.	あなたは私ほど背が低くない。
You had better go at once.	あなたはすぐ行くほうがよい。
What are your strong points?	あなたの長所は何ですか。
How old is your father?	あなたのお父さんはおいくつですか。
Have you met each other?	あなたたち、前に会ったことある？
Long on A and short on B.	Ａは十分にあるがＢは足りない。
Ten years is a long time.	１０年というのは、長い年月だ。
Two from ten leaves eight.	１０から２を引くと、８残る。
Do you have any books to read?	読む本がありますか。
They are about the same age.	彼らはほぼ同じ年齢です。
I have so many ideas.	私にはとてもたくさんのアイデアがある。
Mr. Yamada asks Mr. Sato.	山田先生が、佐藤先生に質問をする
I have no idea what's going on.	もう訳が分かりません
It was already the next day.	既に日付が変わっていました
I believe it may be X.	Xではないだろうかと私にはそう思えます
X has been reported so far.	Xが現在までに報告されている
Take anything you want.	欲しいものは何でも持っていきなさい。
Yumi studies English hard.	由美は英語を一生懸命勉強する。
Yumi is one of my friends.	由美は、私の友達のひとりです。
Get your friend to help you.	友達に助けてもらいなさい。
Get your friend to help you.	友人に助けてもらいなさい。
The question is when to start.	問題はいつ始めるかだ。
You are not to break the law.	法律を犯してはいけない。
Mother told Father about me.	母は私のことを父に話した。
Hear and see and be still.	聞け、見よ、しかし黙っていよ。
The cost of living has gone down.	物価が下がった。
My father drives very well.	父は車の運転がとてもうまい。
My father helped me study.	父は私の勉強を手伝ってくれた。
They remained good friends.	彼等はずっとよい友達だった。
She has a rose in her hand.	彼女は薔薇を手に持っている。
She provided for her old age.	彼女は老後の備えをした。
She has two thousand books.	彼女は二千冊本を持っている。
She died before coming of age.	彼女は成人前に死んだ。
She may know the facts.	彼女は真実を知っているかもしれない。
She is particular about food.	彼女は食べ物にうるさい。
She looked at me and smiled.	彼女は私を見てほほえんだ。
She lived next door to us.	彼女は私の家の隣に住んでいた。
She is her old self again.	彼女はまたもとの自分に戻った。
She is nothing but a child.	彼女はほんの子供にすぎない。
She said so with a smile.	彼女はにっこり笑ってそういった。
She was present at the party.	彼女はその会に出席した。
She's always short with me.	彼女はいつも僕にそっけない。
She thought of a good plan.	彼女はいい計画を思いついた。
Her mother was a Kennedy.	彼女の母はケネディ家の出だった。
Her words gave me hope.	彼女の言葉が私に希望を与えてくれた。
She is certain to turn up.	彼女が姿を見せることは確実だ。
Ask her what she has done.	彼女が何をしたかを尋ねなさい。
They started at the same time.	彼らは同時に出発した。
They had only one child.	彼らには子供が一人しかいなかった。
He is a person with good sense.	彼は良識ある人です。
He keeps the room to himself.	彼は部屋を独占している。
He is hard to get along with.	彼は付き合いにくい男だ。
He never turned back again.	彼は二度と再び戻らなかった。
He showed me around the city.	彼は町を案内してくれた。
He's always been kind to me.	彼は昔から私には親切です。
He has set up a new business.	彼は新しい商売を始めた。
He is a hard man to approach.	彼は取っつきにくい人だ。
He is old enough to drive.	彼は車を運転できる年になった。
He got off at the next stop.	彼は次のバス停で降車した。
He took me for my mother.	彼は私を、私の母と思い違いした。
He is one of my best friends.	彼は私の親友の一人です。
He did what he had been told.	彼は言われたことをした。
He has to speak English.	彼は英語を話さなければなりません。
He works hard. So he does.	彼はよく働くね。まったくです。
He is no longer in business.	彼はもう商売をしていない。
He lived there by himself.	彼はひとりでそこに住んでいた。
He has nothing to do with it.	彼はそれとは関係がない。
He understands the problem.	彼はその問題を理解している。
He is at the head of the class.	彼はその組の首席だ。
He took hope from that fact.	彼はその事実でホッとした。
He didn't go for the idea.	彼はその考えに賛成しなかった。
He took over the business.	彼はそのビジネスを引き継いだ。
He always speaks well of her.	彼はいつも彼女を誉める。
He worked harder than ever.	彼はいつもより熱心に働いた。
