Wow!	すごい！
He went by the name of Johnny.	彼はジョニーという名で通っていた。
He lifted his elbow too often.	彼はしょっちゅう、飲み過ぎていた。
He has a prejudice against jazz.	彼はジャズに偏見を持っている。
He often suffered from toothache.	彼はしばしば歯痛で苦しんだ。
He looked into the matter further.	彼はさらに問題を調査した。
He is noted as a soccer player.	彼はサッカーの選手として有名だ。
He's a member of the golf club.	彼はゴルフクラブのメンバーです。
He was buried in this graveyard.	彼はこの墓地に埋葬されている。
He is a trailblazer in this field.	彼はこの分野では草分けだ。
He ate every bit of his dinner.	彼はごちそうをすっかり平らげた。
He's just a diehard company man.	彼はコチコチの会社人間だから。
He works hardest in his class.	彼はクラスの中で一番よく勉強する。
He narrowly escaped the disaster.	彼はかろうじて災難を免れた。
He brought back several souvenirs.	彼はお土産をもって帰った。
He killed the goose, foolishly.	彼はおろかにもがちょうを殺した。
He hid his toys under the bed.	彼はおもちゃをベッドの下に隠した。
He rescued a boy from drowning.	彼はおぼれている少年を救助した。
He cut down the tree with an ax.	彼はおのでその木を切り倒した。
He read physics at Oxford.	彼はオクスフォード大学で物理学を専攻した。
He's a liar, and you're another.	彼はうそつきだが、おまえもだ。
He went to see her reluctantly.	彼はいやいや彼女に会いに行った。
He did the work against his will.	彼はいやいやその仕事をした。
He always keeps his room clean.	彼はいつも部屋を清潔にしておく。
He is always harassed with debts.	彼はいつも借金で困っている。
He went to bed at ten as usual.	彼はいつものように１０時に寝た。
He tried to get rid of the ants.	彼はありを退治しようと思った。
He is not a poet but a novelist.	彼は、詩人ではなくて小説家だ。
His story was simplicity itself.	彼の話は単純そのものであった。
His story amused us very much.	彼の話は私達を非常にたのしませた。
You should discount his story.	彼の話は割引して聞いたほうがいい。
His speech got awfully boring.	彼の話が恐ろしく退屈になってきた。
His paper is superior to mine.	彼の論文は私の論文より優れている。
His theories were put into effect.	彼の理論は実行に移された。
He is reasonable in his demands.	彼の要求は無理な要求ではない。
His bravery is above all praise.	彼の勇敢さは賞賛の言葉もない。
His eyes shone with excitement.	彼の目は興奮してきらきら輝いた。
Do you happen to know his name?	彼の名前を偶然知っていませんか。
His name is known to everyone.	彼の名前はみんなに知られています。
I can't put up with his insolence.	彼の無礼には耐えられない。
His answer depends on his mood.	彼の返事は彼の気分に左右される。
His clothes are always out of style.	彼の服装いつもださい。
I had to swallow his insult.	彼の侮辱を黙って受けねばならなかった。
His father approved of his plan.	彼の父親は彼の計画に賛成した。
His father always comes home late.	彼の父はいつも帰宅が遅い。
His condition changed for the better.	彼の病状は好転した。
His hair got thinner and thinner.	彼の髪はますます薄くなった。
His remark gave rise to trouble.	彼の発言がゴタゴタを起こした。
His farm is remote from any town.	彼の農場はどの町からも遠い。
His sudden death was a tragedy.	彼の突然の死は悲劇的事件だった。
His answer is far from right.	彼の答えは正確にというにはほど遠い。
His efforts led to good results.	彼の努力が好成績に結びついた。
His advice didn't help much.	彼の忠告は、ほとんど役に立たなかった。
His advice touched me to the quick.	彼の忠告が骨身に染みた。
What do you think of his attitude?	彼の態度をどう思いますか。
His son wants to be a lawyer.	彼の息子は弁護士になりたがっている。
His explanation is unconvincing.	彼の説明は説得力に欠けている。
His statement admits of no doubt.	彼の声明は疑いの余地がない。
I have access to his library.	彼の図書室への出入が許可されている。
I'm satisfied with his progress.	彼の進歩ぶりに満足しています。
His new film is worth seeing.	彼の新作映画は見るだけの価値がある。
His new novel is worth reading.	彼の新しい小説は読む価値がある。
His behavior is worthy of praise.	彼の振る舞いは賞賛に値する。
His car collided with a train.	彼の乗った自動車が電車に衝突した。
His very servants despised him.	彼の召使いでさえも彼を軽蔑した。
You can't count on his help.	彼の助けを頼りにすることはできないよ。
His letter doesn't make any sense.	彼の手紙は意味をなさない。
What does he say in his letter?	彼の手紙にはなんて書いてあるの。
His doctor came with all speed.	彼の主治医は全速力でやって来た。
His car was blue; hers was red.	彼の車は青で、彼女のは赤だった。
His picture was in the newspaper.	彼の写真が新聞に載っていた。
His failure is out of the question.	彼の失敗は考えられない。
His business is growing rapidly.	彼の事業はどんどん伸びている。
His passion for me doesn't cool.	彼の私に対する情熱はさめない。
This is the best among his works.	彼の作品の中でこれが最高だ。
His wife comes from California.	彼の妻はカリフォルニアの出身だ。
His conduct admits of no excuse.	彼の行動には弁解の余地がない。
His conduct deserves to be praised.	彼の行いは賞賛に値する。
At his words her color paled.	彼の言葉を聞いて彼女の顔は青ざめた。
His brother passed away last month.	彼の兄は先月亡くなった。
His paintings seem strange to me.	彼の絵は私には奇妙に思える。
His company is under his control.	彼の会社は彼が支配している。
His family had been wheat farmers.	彼の家族は小麦農家だった。
His family members are all tall.	彼の家族の者たちは皆背が高い。
His house is somewhere about here.	彼の家はどこかこの辺りだ。
His speech made no sense to me.	彼の演説の意味がわからなかった。
His help has been invaluable.	彼の援助は非常に貴重なものであった。
His help is indispensable to us.	彼の援助は我々に絶対必要です。
His knowledge of English is poor.	彼の英語の知識は貧弱である。
His opinion is always of no use.	彼の意見はいつも役に立たない。
His opinion is free from prejudice.	彼の意見には偏見がない。
His ideas carry a lot of weight.	彼の意見には強い影響力がある。
Nothing replaced his love.	彼の愛と取り替えられるものは何もなかった。
I don't go for men of his type.	彼のようなタイプの男性は嫌いだ。
His behavior is always honorable.	彼のふるまいはいつも立派だ。
His knowledge of French is poor.	彼のフランス語の知識は未熟だ。
His excellent work stands out.	彼のすばらしい作品は際だっている。
He is far above me in skiing.	彼のスキーの腕は私よりはるかに上だ。
There is no end to his complaining.	彼のぐちにはきりがない。
His mother is an English teacher.	彼のお母さんは英語の先生だ。
His uncle died five years ago.	彼のおじさんは五年前になくなった。
How old might his grandfather be?	彼のおじいさんは何歳かしら。
He has no basis for his opposition.	彼に反対する根拠がない。
Ask him to sketch out his plan.	彼に計画の概略を述べてもらおう。
He openly confessed his faults.	彼は過ちをあからさまに白状した。
I cannot thank him enough.	彼にはいくら感謝してもしきれない気持ちだ。
I am no more diligent than he is.	彼と同様に私も勤勉ではない。
He batted three runners home.	彼が打ってランナーを３人生還させた。
He went into the water before me.	彼が私より先に水中に入った。
What he said cannot be true.	彼が言ったことは本当であるはずが無い。
What he said cannot be true.	彼が言ったことが真実であるはずがない。
Let's start after he comes home.	彼が帰ってきてから出発しよう。
Do you know where he went?	彼がどこへ行ったかあなたは知っていますか。
I'm afraid you have the wrong number.	番号が違っています。
Waves were battering the shore.	波が海岸に激しく打ち寄せていた。
They are Japanese sumo wrestlers.	彼らは日本のお相撲さんだよ。
The meat was crawling with maggots.	肉にはウジがわいていた。
The two tried one after the other.	二人はかわるがわる試みた。
Suddenly, he fell down on his back.	突然彼は仰向けに倒れた。
All at once, I heard a shrill cry.	突然鋭い叫び声が聞こえた。
All of a sudden, the lights went out.	突然ライトが消えた。
Hoist your sail when the wind is fair.	得手に帆を揚げる。
Is it possible to rent equipment?	道具を借りる事が出来ますか。
The road is icy, so take care.	道が凍っているから気を付けなさい。
Never confuse pity with love.	同情と愛情を決して混同しないように。
Birds of a feather flock together.	同じ羽の鳥は一緒に集まる。
Every bullet has its billet.	鉄砲玉に当たるも当たらぬもみな運命だ。
Robbers prowl around at midnight.	泥棒は真夜中にうろつき回る。
The thief was arrested red-handed.	泥棒は、現行犯で捕まった。
I entered the bookstore on the way.	通りがけに本屋によった。
Birds are natural enemies of insects.	鳥は昆虫の天敵です。
Birds are pecking at the grounds.	鳥たちが地面をつついている。
I'd like you to have an ultrasound.	超音波検査をしましょう。
China is rich in natural resources.	中国は天然資源が豊富だ。
We use cloth to make clothes.	着るものを作るのに我々は、布を使う。
The men are having a barbecue.	男性たちはバーベキューをしている。
The men went hunting for lions.	男たちはライオン狩りに出かけた。
The fireplace was burning brightly.	暖炉が赤々と燃えていた。
Now they're frightened of leaving it.	誰もみんな恐れてる。
No one should desert his friends.	友人を見捨てるべきではない。
A big wave turned the ferry over.	大波がフェリーを転覆させた。
Algebra is a branch of mathematics.	代数は数学の１部門です。
Retire a batter on his third strike.	打者を三振に打ち取る。
The sun furnishes heat and light.	太陽は光と熱を与えてくれる。
It may be that he likes his job.	多分彼はこの仕事が好きだろう。
Don't blame another for his faults.	他の人の過失を責めるな！
My son took a candy from the box.	息子は箱から飴を一つ取った。
My son is tired of hamburgers.	息子はハンバーガーにあきています。
You have to have a full denture.	総入れ歯にする必要があります。
Those are nice gloves you have on.	素敵な手袋をしていますね。
You can afford to speak frankly.	素直にお話なっても大丈夫です。
Sailing a boat makes us happy.	船を帆走させると私達は楽しくなる。
The ship made for the Pacific Ocean.	船は太平洋に向かった。
The ship was sailing at full speed.	船は全速力で走っていた。
The ship is sailing at three.	船は３時に出航することになっている。
I went to Europe before the war.	戦前、ヨーロッパへ行きました。
The war went against the country.	戦いはその国に不利に進んだ。
I went shopping last Saturday.	先週の土曜日は買い物に行ったんだ。
The number of tickets was limited.	切符の数は限定されていた。
The baby held out his tiny hand.	赤ん坊は小さな手を差し出した。
The baby was shaking the rattle.	赤ん坊はガラガラを振っていた。
The baby clamored to be fed.	赤ん坊がミルクを欲しがって泣き叫んだ。
The shipment has reached us safely.	積み荷は無事届きました。
The tax agent allowed the deduction.	税務署は控除を認めた。
The young man was disappointed in love.	青年は失恋した。
I have to tighten my belt.	生活をきりつめなくちゃと思っているのです。
I have once seen a live whale.	生きているクジラを見たことがある。
Honesty will pay in the long run.	正直は結局そんにはならない。
Stars cannot be seen in the daytime.	星は昼間見られません。
People were filled with fright.	人々の心は恐怖でいっぱいだった。
A new oil tanker was launched.	新しいオイル・タンカーが進水した。
The umpire called the batter out.	審判は打者にアウトを宣した。
Juvenile delinquency is increasing.	少年犯罪は増しつつある。
A few hours nap will do you good.	少し仮眠をとるといいですよ。
We should abolish the death penalty.	処刑を廃止するべきだ。
The turnover was 500 million shares.	出来高は５億株だった。
The autumn sky is clear and serene.	秋の空は澄み渡っている。
The prisoner was given his freedom.	囚人は自由を与えられた。
As you sow, so will you reap.	種をまくように刈り入れることになる。
The car clapped along very slowly.	車は非常にゆっくり進んだ。
Exhaust gases of a car are noxious.	車の排ガスは有毒である。
Actually, it was just a rumour.	実はそれはただのうわさだったよ。
Time lost cannot be recalled.	失われた時を取り返すことはできない。
He will try to have his own way.	自分の思い通りにしようとする。
I was asked to fix the bicycle.	自転車を直して欲しいと頼まれた。
Something is the matter with my watch.	時計の調子が悪い。
Something is the matter with my watch.	時計の具合が悪い。
Time tames the strongest grief.	時はどんな悲しみも癒してくれる。
Please excuse my bad handwriting.	字の汚いのをお許しください。
He went blind from the accident.	事故で彼は目が見えなくなった。
The paper was blotted with ink.	紙にはインクのしみがついていた。
We entered the room after him.	私達は彼のあとから部屋にはいった。
We took a walk along the riverbank.	私達は川沿いを散歩した。
We went to the mountain to ski.	私達は山へスキーしに行きました。
We went on a picnic at the lake.	私達は湖へピクニックに行った。
We enjoyed ourselves at the seaside.	私達は海辺で楽しんだ。
We were astonished at the news.	私達はその知らせにびっくりした。
We are apt to forget this fact.	私達はこのことを忘れがちである。
I was taken aback by a thunderclap.	私は雷鳴にぎょっとした。
I like to roam about the fields.	私は野原を歩き回るのが好きだ。
I prefer soccer to baseball.	私は野球よりもサッカーのほうが好きだ。
I played tennis after I studied.	私は勉強した後でテニスをした。
I helped my father wash his car.	私は父が洗車するのを手伝った。
I couldn't restrain a smile.	私は微笑みを抑えることができなかった。
I've never flown in an airplane.	私は飛行機に乗ったことがない。
I was deceived by her appearance.	私は彼女の様子にだまされた。
I was fascinated by her beauty.	私は彼女の美しさにうっとりした。
I heard her singing a song.	私は彼女が歌を歌っているところを聞いた。
I was much impressed by his story.	私は彼の話に大変感動した。
I doubt the truth of his story.	私は彼の話が本当ではないと思う。
I was convinced by his explanation.	私は彼の説明で納得した。
I can't understand his psychology.	私は彼の心理が分からない。
I trust his executive ability.	私は彼の実行的能力を信頼している。
I followed him into his room.	私は彼の後について彼の部屋に入った。
I don't approve of his decision.	私は彼の決定をよいと思わない。
I envied him his good fortune.	私は彼の運の良さを羨ましく思った。
I told him to keep his promise.	私は彼に約束を守るようにいった。
I want him to play the guitar.	私は彼にギターを弾いてもらいたい。
I cannot get in touch with him.	私は彼と連絡を取る事ができない。
I soon noticed his absence.	私は彼が欠席しているのにすぐ気がついた。
I know he likes jazz music.	私は彼がジャズが好きなことを知っている。
I went to the scene of the crime.	私は犯罪の現場に行ってみた。
I went up to my bedroom on tiptoe.	私は忍び足で寝室にいった。
I took his part in the discussion.	私は討論で彼の方を持った。
I live on the outskirts of Tokyo.	私は東京の郊外に住んでいる。
I cannot afford a long vacation.	私は長い休暇を取る余裕がない。
I felt my heart beat violently.	私は心臓が激しく打つのを感じた。
I went to sleep during the lesson.	私は授業中に寝てしまった。
I sometimes play tennis with her.	私は時々彼女とテニスをする。
I put down his address on paper.	私は紙に彼の住所を書き留めた。
I've got to do my homework now.	私は今宿題をしなければならない。
I like my old brass tea pot.	私は古い真鍮のティーポットが好きです。
I go to the barber's once a month.	私は月に１度理髪店へ行く。
I am not so diligent as my brother.	私は兄ほど勤勉ではない。
I almost went crazy with fear.	私は恐怖で気も狂わんばかりだった。
I went camping with my family.	私は家族と一緒にキャンプに行った。
I grow orchids in my greenhouse.	私は温室でランを栽培している。
I went out in spite of the rain.	私は雨にもかかわらず出かけた。
I was revived by a glass of water.	私は一杯の水で生き返った。
I am accustomed to living alone.	私は一人暮らしには慣れている。
I used to go skiing in winter.	私はよく冬にスキーにいったものだ。
I sharpened a pencil with a knife.	私はナイフで鉛筆を削った。
I watched a tennis match on TV.	私はテレビでテニスの試合を見た。
I can't afford to play tennis.	私はテニスをする余裕がありません。
I was absent-minded momentarily.	私はちょっとうっかりしていた。
I have finished my homework.	私はちょうど宿題をしおえたところです。
I'll write it on the blackboard.	私はそれを黒板に書きましょう。
I am unconcerned with the problem.	私はその問題に興味がない。
I am acquainted with the author.	私はその著者と知り合いである。
I bought the girl a sweater.	私はその少女にセーターを買ってあげた。
The fact has come home to my bosom.	私はその事実を痛感した。
I explained the matter to him.	私はその事件について彼に説明した。
I was ill for weeks after.	私はその後何週間も体調をくずしていました。
I was disappointed at the result.	私はその結果にがっかりした。
I cannot bear such an insult.	私はそのような侮辱には耐えられない。
I often played tennis with her.	私はしばしば彼女とテニスをした。
I went through a lot of trouble.	私はさまざまな困難を経験した。
I still bear his name in mind.	私はいつまでも彼の名を覚えている。
I want to go to America someday.	私はいつかアメリカへ行きたい。
I cannot help laughing at you.	私はあなたを笑わずにはいられない。
I congratulate you on your success.	私はあなたの合格を祝う。
I have only five thousand yen.	私は５千円だけしか持っていません。
I went to Obihiro two years ago.	私は２年前に帯広にいきました。
I play tennis all the year around.	私は１年中テニスをします。
I washed the dishes after supper.	私は、夕食後、お皿を洗った。
I received a telegram from her.	私は、彼女から電報を受け取った。
My hobby is collecting insects.	私の趣味は昆虫を集めることです。
My hobby is playing the guitar.	私の趣味はギターを弾くことです。
To my mind, it was his mistake.	私の考えでは、それは彼の誤りだ。
Repeat each sentence after me.	私の後について各文を復唱しなさい。
I can't find my duffel bag.	私のダッフルバッグがみつからないのです。
He and I are kindred spirits.	私と彼とはすっかり意気投合している。
We went sightseeing in Hokkaido.	私たちは北海道に観光に行った。
We felt the ground trembling.	私たちは地面が揺れているのを感じた。
We should worship our ancestors.	私たちは祖先をうやまうべきだ。
We went to the play yesterday.	私たちは昨日芝居を見に行きました。
We ate lunch in a coffee lounge.	私たちは喫茶店で昼食を食べた。
We ate lunch in a coffee lounge.	私たちは喫茶店で昼食をとった。
We all long for our graduation.	私たちは皆卒業を待ち望んでいる。
We sang in chorus to the piano.	私たちはピアノに合わせて歌った。
We stood on the brink of a cliff.	私たちはがけのふちに立った。
We appointed Mr Wood chairman.	私たちはウッド氏を議長に任命した。
We are awaiting your answer.	私たちはあなたのご返事を待っています。
Are you agreeable to our plan?	私たちの計画に賛成してくれますか。
Our bus collided with a truck.	私たちのバスがトラックと衝突した。
My baby has a hereditary disease.	子供は遺伝病を持っています。
Children should grow up carefree.	子どもはのびのび育つべきだ。
History is not his major subject.	史学は彼の専攻科目ではない。
Having done his work, he went out.	仕事をしたあとで外出した。
The cherry blossoms are at their best.	桜の木が見頃です。
The cherry blossoms are in full bloom.	桜の花は満開です。
The cherry trees are in full blossom.	桜の花が満開である。
The cherry blossoms are at their best.	桜の花が見所です。
We had a heavy rainfall last night.	昨夜は激しい雨が降った。
Yesterday I had my bicycle stolen.	昨日私は自転車を盗まれた。
The judge condemned him to death.	裁判官は彼に死刑を宣告した。
First, he finished his thesis.	最初に、彼は学位論文を完成させた。
How about playing chess tonight?	今晩チェスをしてはどうですか。
The rice crop was scanty this year.	今年は米作は不作だった。
His behavior is very odd today.	今日の彼の振る舞いはとても変だ。
We had a heavy frost this morning.	今朝は霜がたくさん降りた。
It is his favor to be alive now.	今生きているのは彼のおかげだ。
All my effort went for nothing.	骨折り損のくたびれもうけだった。
The Diet rose for summer recess.	国会は閉会して夏休みに入った。
The Diet session convened at 2pm.	国会は午後２時に開催された。
Mr Takahashi gave us some homework.	高橋先生が宿題を出した。
I heard you're raking in the money.	荒稼ぎしているらしいね。
Fortunately, he was free of debt.	幸運にも彼は借金がなかった。
Once a beggar, always a beggar.	乞食は三日もやれば止められない。
They had a dent in the rear door.	後ろのドアにへこみができた。
Old traditions are crumbling away.	古い伝統が消滅しつつある。
Words cannot convey my feelings.	言葉では気持ちを伝えられない。
The dog sniffed at the stranger.	犬は見知らぬ人の匂いをかいだ。
The dog snarled at the salesman.	犬はセールスマンに噛み付いた。
Dogs' faithfulness impresses us.	犬の忠実さには感心させられる。
Thrift is alien to my nature.	倹約なんて私の性質上できないことだ。
The day turned out fine after all.	結局その日は天気になった。
I love him despite his faults.	欠点があるけどやはり彼が好きです。
The policeman arrested the thief.	警察官がその泥棒を逮捕した。
The police accused him of murder.	警察は彼を殺人罪で告発した。
The police are after the murderer.	警察は殺人犯を追っている。
Police can't be trigger happy.	警察は簡単に銃を使ってはいけない。
Police shouldn't take bribes.	警察はわいろを受け取ってはいけない。
The police accused him of murder.	警官は彼を殺人罪で告発した。
The troops maintained their ground.	軍隊はその地歩を保った。
The crowd acclaimed the new king.	群集は新王を歓呼して迎えた。
The crowd yelled with delight.	群集は嬉しさのあまり歓声を上げた。
The crowd acclaimed the new king.	群衆は新王を歓呼して迎えた。
Check your answers with his.	君の答えを彼の答えと合わせてみなさい。
Your opinion is very constructive.	君の意見はとても建設的だ。
I'd jump through hoops for you.	君のためならたとえ火の中水の中。
I'm adamant that you should go.	君に行ってもらわねば承知しない。
I was chagrined at missing you.	君に会い損ねて地団駄を踏んだよ。
There are fashions for socks as well.	靴下にも流行がある。
The sky was ablaze with fireworks.	空は花火で光り輝いていた。
He may be rich, but he is stingy.	金持ちかもしれないがけちだ。
I hope to see his picture soon.	近いうちに彼の絵を見たいと思う。
His diligence earned him success.	勤勉におかげで彼は成功した。
The classroom was full of pupils.	教室は生徒でいっぱいだった。
His legs were trembling from fear.	恐怖で彼の足が震えていた。
The robber bashed her head in.	強盗は彼女の頭をめった打ちにした。
We had frequent snowfalls last year.	去年はよく雪が降った。
I have an urgent matter to attend to.	急いでする事がある。
He is lively during recess.	休み時間になると彼は生き生きとしている。
After a long absence he came back.	久しぶりに彼は帰ってきた。
Her face was animated by joy.	喜びで彼女の顔はぱっと明るくなった。
I want to get a sightseeing visa.	観光ピザを取りたいのですが。
His home run excited the crowd.	観客は彼のホームランに興奮した。
The students chose her chairman.	学生たちは彼女を議長に選んだ。
The school gymnasium was enlarged.	学校の体育館が拡張された。
I'm going to make enlarged copies.	拡大コピーを撮ってくるよ。
Don't judge a man by his appearance.	外見で人を判断するな。
Look at the blackboard, everyone.	皆さん、黒板をみてください。
It is never too late to mend.	改めるのに遅すぎるということはない。
We were attacked by swarms of bees.	我々は蜂の群れにあった。
We went to New York by plane.	我々は飛行機でニューヨークへ行った。
We need to nourish our spirit.	我々は精神を養わなければならない。
A wreath was bound around his head.	花環が彼の頭に巻かれた。
Bees are flying among the flowers.	花々の間を蜂が飛んでいる。
In case of fire, use the stairs.	火事の場合、階段を使いなさい。
The fire deprived us of our property.	火事で財産を失った。
We cannot sleep well on summer nights.	夏の夜は寝苦しい。
Everything points to his guilt.	何もかも彼の有罪をしめしている。
I managed to find his office.	何とか彼の会社を見つける事ができた。
Do you subscribe to any magazines?	何か雑誌を取っていますか。
Attached is the tentative agenda.	仮の議事内容を送付しました。
Correct the underlined words.	下線を引いた語を正しい形にしなさい。
The thermometer stood at 15 degrees.	温度計は１５度だった。
His bread is buttered on both sides.	牡丹餅で腰打つ。「諺」
The timid man trembled with fear.	臆病なその男は恐怖に震えた。
There's ample room in the attic.	屋根裏には十分広い余地がある。
Rain was pattering on the roof.	屋根には雨がぱらぱら落ちていた。
The chimney began to give out smoke.	煙突は煙を出し始めた。
It's a cinch to learn to swim.	泳ぎを身につけるのは簡単なことだ。
I ache all over after the exercises.	運動の後は体中が痛い。
The driver tipped his cap.	運転手は帽子をちょっとあげてあいさつした。
The driver ignored the stoplight.	運転者は停止信号を無視した。
Adversity strengthens the foundations.	雨降って地固まる。
The doctor cured him of his cancer.	医者は彼の癌を治療した。
The doctor rushed to his patient.	医者は患者のところへ急いだ。
Aoi is a very good dancer.	葵さんはなんて優れたダンサーなのでしょう。
We live in a civilized society.	われわれは文明社会に生きている。
I have to get some new clothes.	わたし、新しい服を買わなくちゃ。
I am looking for a house to rent.	わたしは貸家をさがしている。
Lincoln was a great statesman.	リンカーンは偉大な政治家であった。
I have a lot of homework to do.	やるべき宿題がたくさんあります。
I was compelled to leave school.	やむなく学校を辞めさせられた。
After all that, the pain went away.	やっと苦痛がなくなった。
What is done cannot be undone.	やってしまったことは元に戻らない。
Would you care for more cookies?	もっとクッキーはいかがですか。
Meg found a four leaf clover.	メグは四つ葉のクローバーを見つけた。
Mary is a very sociable person.	メアリーはとても社交的な人です。
Mary swims as fast as Jack.	メアリーはジャックと同じくらい速く泳ぐ。
Read after me all together.	みんな一緒に私のあとについて読みなさい。
Everyone went there, didn't they?	みんなそこに行ったのですね。
A Mr. Miller wants to see you.	ミラーさんとかいう人がご面会です。
Mayuko goes to school by bicycle.	マユコは自転車で学校にいく。
Mummy and I moved into the hall.	ママと私はホールに逃げたのよ。
Mommy, where's my booger?	ママー、私の鼻クソはどこに行っちゃったの？？
Let's play chess another time.	また別のときにチェスをしましょう。
First of all, he went to the station.	まず彼は駅へ行った。
Mike went to Kyoto last summer.	マイクはこの前の夏京都へ行った。
Bob waved to whomever he saw.	ボブは会う人には誰にでも手を振った。
I found a kindred spirit in Bob.	ボブとはすっかり意気投合した。
We won't start till Bob comes.	ボブが来るまで私たちは始めません。
Boxers need quick reflexes.	ボクサーにはすばやい身のこなしが必要だ。
Paul is punctual like a clock.	ポールは時計のように時間に正確だ。
The ball bounced over the wall.	ボールははずんで塀を飛び越えた。
Hawking went back to his studies.	ホーキングは研究にもどった。
Freud originated psychoanalysis.	フロイトは精神分析を考案した。
The brandy is getting to my head.	ブランデーがまわってきたぞ。
Bill often breaks his promises.	ビルは約束を守らないことが多い。
Bill was crazy for a motorbike.	ビルはバイクをとても欲しがった。
Bill is on his way to New York.	ビルはニューヨークへ行く途中だ。
I lather my face before shaving.	ひげをそる前に石けんをつける。
Please slice a loaf of bread for me.	パンは切ってください。
The fish swam up for crumbs.	パンくずを食べに魚が浮き上がってきた。
The roses sometimes grow wild.	バラは時として自生することがある。
The smell of roses hung in the air.	バラの香りが漂っている。
Two vanilla ice creams please.	バニラアイスクリームを二つ下さい。
Frankly speaking, he is wrong.	はっきり言って、彼は間違っている。
I ran into Mr Lynch on the bus.	バスの中でリンチ氏に出くわした。
Pasta is Fernando's province.	パスタならフェルナンドのお得意だよ。
He is allergic to house dust.	ハウスダストにアレルギーがあります。
The party went on for three hours.	パーティーは三時間続いた。
The party ended up with a chorus.	パーティーは合唱で終わった。
The party went on for three hours.	パーティーは３時間続いた。
What is done cannot be undone.	なされたことは元通りにはならない。
You can't be too diligent.	どんなに勤勉でも勤勉するということはない。
The thief was bound hand and foot.	どろぼうは手足を縛られた。
Wear what clothes you please.	どれでも気に入っている服を着なさい。
Take whichever you like best.	どれでも一番好きなものを取りなさい。
Will you try to play the trumpet?	トランペットを吹いてみるか。
Do you take travelers' checks?	トラベラーズチェックは使えますか。
Tom did well considering his age.	トムは年の割にはよくやった。
Tom attached the string to the kite.	トムは凧に糸を付けた。
Tom fed his leftovers to his dog.	トムは食べ残しを犬にやった。
"Hello," said Tom, smiling.	トムは笑いながら「こんにちは」と言った。
Tom got a grip on his emotions.	トムは自分の感情をぐっと抑えた。
Tom is playing the violin now.	トムは今、バイオリンを弾いている。
Tom is a very good tennis player.	トムはテニスがとても上手い。
Tom's anger blazed out suddenly.	トムの怒りは突如燃え上がった。
Tom liked his job very much.	トムは自分の仕事がたいへん好きでした。
Choose whichever you want.	どちらでもあなたのほしいものを選びなさい。
We could not open the box anyhow.	どうしても箱が開かなかった。
I can't recollect how to do it.	どうしてもやり方が思い出せない。
Germany adjoins the Netherlands.	ドイツはオランダと接している。
The demonstrators marched in order.	デモ隊は整然と行進した。
Playing tennis is a lot of fun.	テニスをするのはたいへん楽しい。
What would you like for dessert?	デザートに何がよろしいですか。
Don't waste time on trifles.	つまらないことに時間を無駄に過ごすな。
Don't trouble him with trifles.	つまらないことで彼を困らせるな。
Don't make a fuss about trifles.	つまらないことで騒ぎ立てるな。
I just wanna nose around a bit.	ちょっと調べてることがあるから。
I wandered around for a while.	ちょっとその辺をブラブラしました。
What do you say to a game of chess?	チェスを一番どうですか。
A tanker is a ship carrying oil.	タンカーは石油を運ぶ船である。
Taro, go and brush your teeth.	タロー君、歯を磨いていらっしゃい。
Everyone was bustling about.	だれもかれも、せわしく動き回っていた。
You can just call me Taro.	ただ太郎と呼んでもらってもかまいませんよ。
Many yachts are in the harbor.	たくさんのヨットが港にはいってる。
It's folly to eat so much.	そんなにたくさん食べるのはばかげたことだ。
You had better leave it unsaid.	それは言わないでおいた方がよい。
Let's leave that matter for later.	その問題は後回しにしよう。
It is worthwhile to read the book.	その本は、読む価値がある。
The cottage was clean and tidy.	その別荘は清潔で整然としていた。
The room had a nice cozy feel.	その部屋は居心地の良い感じがした。
The expense is chargeable on him.	その費用は彼が負担すべきだ。
The actor has a large yacht.	その俳優は大きなヨットを所有している。
The animal made a squeaking sound.	その動物はキーキー鳴いた。
The crane was standing on one leg.	その鶴は片足で立っていた。
His heart beat fast at the news.	その知らせで彼はどきんとした。
The man robbed her of her bag.	その男は彼女のかばんを奪い取った。
The man blew out his own brains.	その男は自分の脳を撃ち抜いた。
Out rushed the man and his wife.	その男と妻は飛び出して行った。
The parcel was tied with string.	その小包はひもで結んであった。
The goods were advertised on TV.	その商品はテレビで広告された。
The actress murdered her lines.	その女優はせりふを台なしにした。
The automobile runs on electricity.	その自動車は電気で動く。
The matter weighs on her mind.	その事実が彼女の心を苦しめている。
The child was almost drowned.	その子は危うく溺れるところであった。
I never spoke to him after that.	その後二度と彼と口を利かない。
There followed a prolonged silence.	その後長い沈黙が続いた。
The dog was sleeping on the mat.	その犬はマットの上で寝ていた。
The matter is now under consideration.	その件は検討中だ。
The troops had plenty of arms.	その軍隊は十分な武器を持っていた。
The express arrives at 6:30 p.m.	その急行は午後六時三十分着だ。
The picture is hung upside down.	その絵は逆さまにかかっている。
The house looked very dismal.	その家は見かけがたいへん陰気だった。
The sound roused her from sleep.	その音で彼女は眠りから覚めた。
The rumor spread all over the town.	その噂は町中に広がった。
The rumor became common property.	その噂はみんなに知れ渡った。
The yacht sailed round a buoy.	そのヨットはブイを回って航行した。
The shabby flat is vacant.	そのみすぼらしいアパートは空き家のようだ。
Divide the pizza among you three.	そのピザを三人で分けなさい。
