I try.	頑張ってみる。
These days people visit here.	このごろ人がここを訪れる。
Let's not stay here long.	ここには長くいないでおきましょう。
Here is a letter for you.	ここにあなたへの手紙が来ています。
This is how it happened.	こうゆうわけでそれは起こったのです。
Father lay watching TV.	お父さんは横になってテレビを見ていた。
What do you say to staying?	お泊りになってはいかがですか。
How long do you plan to stay?	いつまでの滞在予定ですか。
How long will you stay here?	いつまでここに滞在しますか。
Did you ever visit Italy?	イタリアを訪れたことはありますか。
What price will you give for this?	いくらで買うか。
Any amount of money will do.	いかほどの金額でも結構です。
Don't you sleep well at night?	夜よく眠れないのですか？
Can you stand on your hands?	あなたは逆立ちができますか。
You are Simon, son of John.	あなたはヨハネの子シモンです。
Which way did you choose?	あなたはどちらの道を選びましたか。
I want you to stay with me.	あなたに私と一緒にいてほしい。
He is a jack-of-all-trades.	あいつの多芸は無芸のたぐいだ。
You can visit NHK any time.	ＮＨＫはいつでも見学できます。
Five years is too long to wait.	５年待つには長すぎる。
We must begin before five.	５時前の始めなければなりません。
He stayed there for three days.	３日間そこに滞在した。
I soon made a lot of friends.	すぐに多くの友達が出来ました
I remember little of X itself.	X自体が記憶にほとんど無い
My father always stayed at home.	ずっと父が家にいました
I am still concerned about that.	それがやはり気にかかる
The results are shown in the figure.	結果を図に示す
One of the major reasons is X.	主な理由の一つは、Xによる
I have to change myself at first.	私がまず自分を変える
Should I stay up all night or not?	夜を徹するか否か。
Taeko, come on from stage left.	妙子は上手から登場して。
The story begins far in the past.	話は遠い昔に始まる。
I'm still waiting for my order.	頼んだ物がまだ来ません。
I'll see you a week from today.	来週の今日お会いします。
What are you serving today?	本日のランチの内容はなんですか。
Don't eat while reading.	本を読みながら食事をしてはいけません。
Do you know my brother Masao?	僕の兄の正夫を知ってるかい。
I talked to my heart's content.	私は心ゆくまで話をした。
Prices are going up every day.	物価は毎日アップしている。
Prices will continue to go up.	物価は上がり続けるだろう。
Father goes in for the game of Go.	父は碁をやります。
She gets up early every morning.	彼女は毎朝早く起きる。
She usually goes to bed at nine.	彼女は普通９時に寝る。
She needs someone to talk to.	彼女は誰か話し相手が必要だ。
She is not quite content.	彼女は全く満足しているとは限らない。
What did she actually say?	彼女は実際になんと言ったのですか。
She is never late for school.	彼女は決して学校に遅れない。
She is used to living alone.	彼女は一人暮らしになれている。
She has already left the office.	彼女はもう会社を出た。
She'll try it once more.	彼女はもう一度それをやってみるだろう。
She lived there by herself.	彼女はひとりでそこに住んでいた。
She was accepted at Harvard.	彼女はハーバード大に入学した。
She shouldn't go by herself.	彼女は１人で行かない方がよい。
She had long hair last year.	彼女は去年、長い髪をしていた。
Her story was not interesting.	彼女の話は面白くなかった。
Her car is two years old.	彼女の車は買ってから二年たっている。
She has no one to wait on her.	彼女に付き添う人がいない。
I challenged her for evidence.	彼女に証拠を示せと迫った。
They came walking arm in arm.	彼らは腕をくんで歩いてきた。
They slept a little in the room.	彼らは部屋で少し寝た。
I think that they will be late.	彼らは遅れると思います。
They aren't such a bad lot.	彼らはそんなに悪い連中ではない。
They have a ten-year-old son.	彼らには１０歳の息子がいる。
He will be remembered always.	彼は末永く記憶に残るだろう。
He is said to be very poor.	彼は非常に貧乏だと言われている。
He is too old to walk quickly.	彼は年なので速く歩けない。
He'll never amount to much.	彼は大した人物にはなれないわね。
He slept with the window open.	彼は窓を開けたままで寝た。
He was among those chosen.	彼は選ばれた人々の中に入っていた。
He is easy to get on with.	彼は折り合っていきやすいひとです。
He's giving himself up to drink.	彼は酒におぼれている。
He has made me what I am today.	彼は私を現在の私にした。
He is our teacher of English.	彼は私たちの英語の先生です。
He is also returning late today.	彼は今日も帰りが遅い。
He is a man with no standards.	彼は基準を持たない男だよ。
They began to run all at once.	彼らは皆同時に走り始めた。
He is quite at home in English.	彼は英語に精通している。
He often comes late to school.	彼はよく学校に遅れてくる。
He has quite a little money.	彼はたくさんの金を持っている。
He has quite a little money.	彼はたくさんお金を持っている。
He wants to eat both of them.	彼はそれらの両方を食べたい。
He continued reading the book.	彼はその本を読みつづけた。
He has quite a little money.	彼はかなりのお金を持っている。
He will be waiting for you.	彼はあなたを待っているでしょう。
He is seeking a new position.	彼は、新しい職を捜している。
He is a good man for the job.	彼は、その仕事に適した男だ。
I wish I knew where he was!	彼の居場所が分かっていればなあ。
Try to keep up with him.	彼に遅れずに付いて行くようにしなさい。
I demanded that he should pay.	彼に金の支払いを要求した。
He has a lot of things to do.	彼にはする事がたくさんある。
It was dark when he came in.	彼が入ってきた時真っ暗だった。
Have you got a letter from him?	彼から手紙がきましたか。
A lot of my hair has fallen out.	抜け毛がひどいのです。
I'd like you to cut my hair.	髪を切ってもらいたいんですが。
The old must be respected.	年寄りは大事にしなければならない。
Fall in and out of love quickly.	熱しやすく冷めやすい。
What's the purpose of your visit?	入国目的は何ですか。
All my efforts came to nothing.	努力をしたが無駄だった。
Have I kept you waiting long?	長いことお待たせしましたか。
We shall die sooner or later.	遅かれ早かれ私達は必ず死ぬ。
We all die sooner or later.	遅かれ早かれ私たちは皆死ぬのだ。
We shall die sooner or later.	遅かれ早かれ我々は必ず死ぬ。
Someone is calling for help.	誰かが大声で助けを求めている。
I'd like a table by the window.	窓際の席をお願いします。
Don't leave the windows open.	窓を開けっ放しにしておくな。
The war made the country poor.	戦争はその国を貧乏にした。
The teacher talked on and on.	先生はどんどん話しつづけた。
There are teachers and teachers.	先生にもいろいろある。
Tell the teacher your name.	先生にあなたの名前を言いなさい。
You have to get enough sleep.	睡眠を十分にとってください。
The truth will clear soon.	真相は間もなく明らかになるだろう。
The truth will come out one day.	真実はいつか現われる。
A boy came running towards me.	少年が私の方へ駆けて来た。
If you give at all, give quickly.	出す以上は早くだせ。
Ten to one he will be chosen.	十中八九彼が選ばれるだろう。
I talk in my sleep very often.	就寝中、寝言が多いのです。
I have left my car keys behind.	車の鍵を置き忘れてきた。
I have a problem with my car.	車のことで困ってるんだよね。
How long does it take by car?	車でどれくらいかかりますか。
I acted up to my principles.	自分の主義に基づいて行動した。
Which game shall we play next?	次はどんな遊びをしようか。
What time does the game start?	試合は何時に始まりますか。
We waited for him to turn up.	私達は彼が現れるのを待った。
We stand against free trade.	私達は自由貿易には反対である。
We should've stayed at home.	私達は家にいるべきだったのに。
We eat many kinds of food.	私達はいろいろな食べ物を食べます。
I tried to change the subject.	私は話題を変えようとした。
I will be seventeen next week.	私は来週１７歳になります。
I was forced to sign my name.	私は無理矢理署名させられた。
I go to work by car every day.	私は毎日車で通勤している。
I look up to him as my teacher.	私は彼を師と仰いでいる。
I don't want him to touch me.	私は彼にさわってほしくない。
I know how to drive a car.	私は車の運転の仕方を知っています。
I suggested going for a walk.	私は散歩に行こうと提案した。
I called him this morning.	私は今朝彼に電話をして話しました。
I never try to go to there.	私は決してそこへ行こうとしない。
I slept soon when I came home.	私は帰宅するとすぐに寝た。
I presented myself at the meeting.	私は会に出席した。
I don't feel like eating anything.	何も食べたくない。
I feel like eating something.	何か食べたいような気がする。
I have something else to do.	私は他にすることがあるんです。
I am at a loss what to do.	私はどうしたらよいのか困っている。
I saw a little boy running.	私は小さな男の子が走るのを見た。
I can't pay for the car.	私はその車の代金を払うことが出来ない。
I stayed there for three days.	私はそこに３日間滞在した。
I must leave here today.	私はきょうここを去らなければならない。
I was an outsider, so to speak.	私はいわば部外者だった。
I have tried every way.	私はありとあらゆる方法をやってみました。
I was on close terms with him.	私はあの男と仲がよかった。
I know that running boy.	私はあの走っている少年を知っています。
My old car brought me $100.	私の中古車は１００ドルで売れた。
We visited Nikko the next day.	私たちは翌日日光を訪れた。
We gave way to their demands.	私たちは彼らの要求に屈した。
We usually talked in English.	私たちはいつも英語で話した。
Our teacher is well spoken of.	私たちの先生の評判がよい。
Children like playing outside.	子供は外で遊ぶのが好きだ。
A good beginning makes a good ending.	始めが肝心。
You had better have your hair cut.	散髪した方がよい。
First come, first served.	最初に来た者が最初に食物を供される。
First come, first served.	最初に着いた者が最初に接待を受ける。
Try it again from the first.	最初からもう一度やってごらん。
The car is not available today.	今日は車が利用できない。
You should stay at home today.	今日は家にいた方が良いよ。
We have an English class today.	今日は英語の授業がある。
Were you on time for work today?	今日、会社間に合った？
It's too late to turn back now.	今引き返すには遅すぎる。
You may go or stay at will.	行くも留まるもあなたの自由です。
I called him this morning.	午前中彼に電話をしてはなしました。
I'll be at home in the morning.	午前中は在宅の予定です。
The key was left in the room.	鍵を部屋のなかに置いてきた。
You don't have to stand over me.	見てなくたっていいよ。
Experience is the best teacher.	経験は最良の教師である。
Who is your English teacher?	君達の英語の先生はだれですか。
You should tell him the truth.	君は彼に真実を話すべきだ。
You may as well begin at once.	君はすぐに始めた方がよい。
Bring your brother with you.	君の弟を一緒に連れてきなさい。
Your questions were too direct.	君の質問は直接的すぎた。
I don't quite follow you.	君の言っていることはよくわからない。
What you say is usually true.	君の言うことはいつも正しい。
Was the money actually paid?	金は実際に支払われたのですか。
Is there a McDonald's near here?	近くにマクドナルドは？
I'll get in touch with you soon.	近いうちに連絡します。
Look out! There's a car coming.	気を付けろ！車が来るぞ。
It's as deep as it is wide.	間口も広いが奥行きも同様に深い。
The talks continued for two days.	会談は２日間続いた。
We took turns driving the car.	我々は交替で車を運転した。
Everything comes to those who wait.	果報は寝て待て。
How long are you going to stay?	何日滞在する予定ですか。
Do you have anything to eat?	何か食べる物を持っていますか。
Bring me something to eat.	何か食べるものを持ってきて欲しい。
Lie down and rest for a while.	横になって少し休みなさい。
To speak English is not easy.	英語を話すことは簡単でない。
I think my right arm is broken.	右腕を骨折したようです。
It is too dark to play outside.	暗すぎて外では遊べない。
It's too dark to play outside.	暗すぎて、外では遊べない。
We should respect the old.	われわれは老人を尊敬すべきである。
Have you ever visited Rome?	ローマを訪れたことがありますか。
Linda came home late at night.	リンダは夜遅く帰ってきた。
Her name wasn't on the list.	リストに彼女の名前がなかった。
Our car broke down last night.	ゆうべうちの車が故障した。
Do you have a smaller size?	もっと小さいサイズがありますか。
I'd better go to bed now.	もうベッドにつかなくてはなりません。
Do you want to stay any longer?	もうちょっといませんか。
It is time for you to go to bed.	もうお前は寝る時間だ。
She looks as if she were drunk.	まるで酔っているようだ。
Mayuko has not slept enough.	マユコは十分ねむってはいない。
Bob usually goes to bed at ten.	ボブは普通１０時に寝る。
Who else came to the party?	ほかにだれがパーティーに来たか。
I've no idea what's happening.	なんだか見当がつきません。
Why leave me standing here?	なぜぼくをここに立たせておくの？
Why is your mouth so big?	なぜ、あなたの口はそんなに大きいの？
Tom is not able to drive a car.	トムは車を運転できない。
Tom is on good terms with John.	トムはジョンと仲がよい。
How do you want your hair cut?	どのようにカットしますか。
I had no choice but to stay.	とどまるより他に仕方なかった。
Where did you find the key?	どこでその鍵を見つけたのですか。
I'll do everything I can.	できる限りの事はさせていただきます。
At last he found out the truth.	ついに彼は真実をしった。
At last he found out the truth.	ついに彼は真理を知った。
Probably he will come soon.	たぶん彼はまもなく来るでしょう。
We can but wait for the results.	ただ結果を待つのみだ。
A lot of trees were cut down.	たくさんの木が切り倒された。
It's too difficult for me.	それは私にとってむずかしすぎます。
It may occur at any moment.	それは今にも起こるかもしれない。
It made my hair stand on end.	それで私の髪の毛は逆立った。
The leaves turn red in the fall.	その葉は秋に赤くなる。
I met her late in the evening.	その夜遅くに彼女に会った。
Don't cut down those trees.	その木を切り倒さないでください。
I remember reading the book.	その本を読んだ事を覚えている。
The price of the book was $5.	その本の値段は５ドルでした。
The boy has got out of hand.	その少年は手に負えなくなった。
The boy was helped by me.	その少年は私によって助けられました。
That question is easy to answer.	その質問は答えやすい。
The game resulted in a draw.	その試合は引き分けに終わった。
He couldn't get the job.	彼はその仕事をやらせてもらえなかった。
The work was very difficult.	その仕事はたいへん難しかった。
The house stands among trees.	その家は木立に囲まれている。
The idea was brought into shape.	その案は具体化された。
It'll cost me my job.	そのために仕事を失うことになるかもしれない。
Everything is going very well.	すべてが順調にいっている。
John is as old as my brother.	ジョンは私の弟と同じ年です。
Is Mr Jones in the office?	ジョーンズさんは事務所にいますか。
Choose one from among these.	これらの中から１つ選びなさい。
This is a car for young people.	これは若者向きの車です。
This one is similar to that one.	これはあれに似ている。
This theory is true of Japan.	この理論は日本にあてはまる。
Let's begin with this problem.	この問題から始めましょう。
This book is really interesting.	この本はとても面白い。
Who is the author of this book?	この本の著者は誰ですか。
These goods are in great demand.	この商品の需要は多い。
This letter is addressed to you.	この手紙は君宛てです。
This letter is addressed to you.	この手紙はあなた宛だ。
This car is used by my father.	この車は父が使っています。
This car is going to break down.	この車は故障しそうだ。
I wish this job was over.	この仕事が終わってくれたらいいんだ。
She has had to stay here.	ここにずっといなければならなかった。
Who put this paper here?	ここにこの新聞を置いたのは誰でしたか。
Kate is majoring in German.	ケイトはドイツ語を専攻している。
It's all over with poor Tom.	かわいそうにトムはもうだめだ。
I will tell you if you wish.	お望みなら教えてあげましょう。
Oh, you are early this morning.	おや、今朝は早いですね。
Those are our teachers' cars.	あれらは私達の先生の車です。
What sign were you born under?	あなたは何座生まれですか。
What are you interested in?	あなたは何に関心が有るのですか。
Do you have a lot of time?	あなたはたくさん時間がありますか。
Do you walk hand in hand?	あなたたちは手をつないで歩きますか。
I know what your game is.	あなたが何を企んでいるかお見通しだ。
Never tell me a lie again.	２度と私にうそをついてはいけない。
The first term starts in April.	１学期は４月から始まる。
Do you have some paper or something?	紙か何かある？
There are a lot of X among them.	Xがなかには多々有ります
My teacher always say, I'm 〜.	私は〜といつも先生に言われます
He makes high-quality products.	彼が高品質の製品を作ります
He told people everything about X.	彼がXを人に全部話す
I will address the two issues.	私は二つの課題に取り組みます
X leads to improved access.	Xが今後のアクセス向上に繋がります
I'm already looking forward to X.	Xがもう今から楽しみだ
I just want someone to talk to.	話し相手が欲しいだけです。
The old man was run over by a car.	老人が車にひかれた。
Those standing were all men.	立っているのは、みんな男だった。
The question is which to choose.	問題はどっちを選ぶかだ。
I got up while it was still dark.	僕は暗いうちに起きた。
Two boys stood in front of me.	僕の前に二人の少年が立った。
Try to see things as they are.	物事をありのままに見なさい。
Father ran through the paper.	父は新聞にざっと目をとおした。
She walked side by side with me.	彼女は僕と並んで歩いた。
She is very cross with him.	彼女は彼のことをとても怒っている。
She is doing her hair simply.	彼女は髪を無造作に束ねている。
She was told off for being late.	彼女は遅刻して怒られた。
She took to her new teacher.	彼女は新しい先生が好きになった。
She need not go there herself.	彼女は自分で行く必要はない。
She broke the window on purpose.	彼女は故意に窓を壊した。
She felt very bad that day.	彼女はその日とても気分が悪かった。
She is at the top of her class.	彼女はクラスでトップです。
She has seen a lot of life.	彼女はかなり人生経験をつんでいる。
She visits us every other day.	彼女は１日おきに訪ねてくる。
The woman's hair is quite short.	彼女の髪の毛は結構短い。
Her efforts were to good purpose.	彼女の努力は報われた。
She has a lot of work to do.	彼女にはやる仕事がたくさんある。
She saw red at that moment.	彼女その瞬間にカッとなったんだね。
Do you remember what she said?	彼女が言ったことを覚えてる？
All we can do is wait for him.	彼を待つよりほか仕方がない。
They kept on feeling their way.	彼らは手探りで進み続けた。
They made me go there alone.	彼らは私を一人でそこへいかした。
They began to run all at once.	彼らはみな同時に走り出した。
They live from hand to mouth.	彼らはその日暮らしをしている。
They are breaking down the wall.	彼らは、壁を壊している。
He's not talking theory.	彼は理屈を言っているのではありませんね。
He came home late in the evening.	彼は夕方遅く帰宅した。
He was sleeping under the tree.	彼は木の下で寝ていました。
He reads the paper every morning.	彼は毎朝、新聞を読む。
He walked up and down the room.	彼は部屋をあちこち歩いた。
He had a good look at the papers.	彼は入念に書類を見た。
He took on the difficult work.	彼は難しい仕事を引き受けた。
He kept standing all the way.	彼は途中ずっと立ち続けだった。
He made a long stay in London.	彼は長くロンドンに滞在した。
He didn't meet the standards.	彼は水準を満たしていなかった。
He asked for a drink of water.	彼は水を１杯くれとたのんだ。
He is seeking a new position.	彼は新しい職を探し求めている。
He tried many different methods.	彼は種々の方法を試みた。
He made a sign to me to go out.	彼は私に出てけと合図した。
He is a teacher at our school.	彼は私たちの学校の先生です。
He has just set out toward town.	彼は今し方町へ出かけた。
He left the office just now.	彼は今し方事務所を出たところだ。
He's a teacher and so am I.	彼は教師だ。そして私もそうである。
He didn't do it on purpose.	彼はわざとそうしたのではなかった。
He often stays up late at night.	彼はよく夜更かしをする。
When he heard it, he saw red.	彼はそれを聞いてカッとなった。
He got interested in the story.	彼はその話に興味を持った。
He had access to the papers.	彼はその書類を見る地位にあった。
He is concerned with the case.	彼はその事件に関係している。
He stayed there all the time.	彼はその間中ずっとそこにいた。
He walked on for some time.	彼はしばらくの間歩きつづけました。
He stood there for a while.	彼はしばらくの間そこに立っていた。
He puts up with these terms.	彼はこの条件でがまんしています。
He hasn't had much education.	彼はあまり教育を受けていない。
He is in a poor state of health.	彼の健康状態はよくない。
Do not take any notice of him.	彼のことは無視していなさい。
What he said is still dark.	彼のいった事がまだよく分からない。
Ask if he wants another drink.	彼にもう一杯いかがかと問う。
He has as many as five brothers.	彼には五人も兄弟がいる。
Could you get in touch with him?	彼と連絡がとれましたか。
He is just the man for the job.	彼こそ適材適所という者だ。
He is the very man for the job.	彼こそその仕事の適任者だ。
It is this window that he broke.	彼が壊したのはこの窓だ。
He was a great influence on me.	彼から大きな影響を受けた。
What's the purpose of your visit?	入国の目的は何ですか。
Is this your first visit to Japan?	日本は初めてですか。
What is the population of Japan?	日本の人口は何人ですか。
Never be late for school again.	二度と学校に遅刻するなよ。
I saw a girl with long hair.	長い髪をした女の子に会いました。
Have I kept you waiting long?	長いことお待たせいたしました。
The whole town knows about it.	町中だれもそれを知っている。
I had a feeling this might happen.	虫の知らせがあった。
I felt like talking to someone.	誰かと話したい気分だった。
To begin with, she is too young.	第一に、彼女は若すぎる。
What is the purpose of your visit?	滞在目的は何ですか？
What's the purpose of your visit?	滞在の目的は何ですか。
Don't say bad things about others.	他人の悪口を言うな。
You'll have to ask someone else.	他の誰かに聞いて下さい。
It's dark, so watch your step.	暗いから、足下に気をつけて。
My son has got into bad company.	息子が悪友仲間に入った。
Do you want me to open the window?	窓を開けましょうか。
Do you mind opening the window?	窓を開けて下さいませんか。
Do you mind opening the window?	窓を開けていただけますか。
They are all my personal belongings.	全部所持品です。
I remember seeing him before.	前に彼にあったのを覚えている。
The teacher let the boy go home.	先生は少年を帰宅させた。
Sleep is necessary to good health.	睡眠は健康に必要だ。
The truth will come out one day.	真実はいつか現れるもの。
You had better not eat too much.	食べ過ぎない方がいいよ。
I don't remember what happened.	状況をよく覚えていません。
The boy ran away when he saw me.	少年は私を見ると逃げた。
A boy came running toward me.	少年が私に向かって駆けてきた。
A woman asked me for directions.	女の人が私に道を尋ねた。
I would sooner stay than go.	出かけるよりもじっとしていたい。
I don't have the address with me.	住所は今持っていない。
Try to live within your means.	収入相応の暮らしをしなさい。
School begins at half past eight.	授業は８時半に始まる。
You are free to use this car.	自由にこの車を使ってください。
You have to appear in person.	自分でいかなきゃいけませんよ。
We are in a difficult situation.	私達は困難な立場にある。
I wish I had a room of my own.	私自身の部屋があったらなあ。
I have to walk to school.	私は歩いて学校に行かなければならない。
I can't remember her address.	私は彼女の住所を思い出せない。
I demanded that she should go.	私は彼女に行くよう要求した。
I want to get in touch with him.	私は彼と連絡を取りたい。
I am on good terms with my brother.	私は弟と仲がよい。
I was seen to break the window.	私は窓を割るのを見られた。
I paid him the money last week.	私は先週彼にお金を払った。
I did not sleep well last night.	昨夜はよく眠れなかった。
I slept little last night.	私は昨夜はほとんど眠りませんでした。
I stayed up late last night.	私は昨日夜おそくまで起きていた。
I don't feel like working today.	私は今日働く気がしない。
I have nothing more to do today.	私は今日はもう用がない。
I was at a loss what to do.	私は何をしたらよいか途方にくれた。
I can't bear living alone.	私は一人で暮らすことに耐えられない。
I have been here for a week.	私は一週間ここに滞在しています。
I'd like to visit London.	私はロンドンに行きたいと思っています。
What size do you think I take?	私はどのサイズが合いますか。
I was at a loss what to do.	私はどうしたらいいか途方に暮れた。
I usually go to bed before ten.	私はたいてい１０時に寝る。
I gave it to the little boy.	私はそれを小さな男の子にあげた。
I found the book interesting.	私はその本が面白いとわかった。
I can't accept this theory.	私はこの説を信じることは出来ない。
My hair is as long as Jane's.	私の髪はジェーンと同じ長さだ。
Don't wait on my account.	私のためにお待ちにならないでください。
I have a lot of work to do.	私にはするべき仕事がたくさんある。
We stood face to face with death.	私たちは死に直面した。
We were made to stand in line.	私たちは一列にならばされた。
The people whom I meet are kind.	私が出会う人々は親切だ。
Must I open the window?	私がその窓を開けなければならないのですか。
You don't need to study today.	今日は勉強しなくてよろしい。
Today is the best day of my life.	今日は人生最良の日だ。
Have you practiced any today?	今日は少しでも練習しましたか。
I don't feel like working today.	今日は仕事をしたくない。
Do you feel any better today?	今日は気分がよくなりましたか。
Let's call it a day today.	今日は、この辺でやめておきましょう。
You can come and get it today.	今日取りにいらしてください。
When did you get up this morning?	今朝は何時に起きたの？
Why were you late this morning?	今朝なぜ遅刻したのですか。
It's a do-or-die situation.	今は生きるか死ぬかのせとぎわです。
I can't remember for the moment.	今のところ思い出せない。
Don't speak with your mouth full.	口を一杯にして話すな。
Don't speak with your mouth full.	口に物を入れて話すな。
Let me call you back later, OK?	後で、折り返し電話するわ。
Health means everything to me.	健康が私にとってすべてです。
You only have to try hard.	君は一生懸命に努力しさえすればよい。
Which bed do you want to use?	君はどっちのベッドを使いたい？
What have you done with your car?	君の車どうしたんだい？
You may act however you wish.	君の好きなように振舞って良い。
I find it difficult to believe.	君の言うことは信じがたい。
I wish you were close to me.	君が俺のそばにいてくれたらなあ。
Not being well, she stayed home.	気分が悪いので家にいた。
It is never too late to learn.	学ぶのに遅すぎることはない。
Could we have a table outside?	外のテーブルがいいのですが。
We talked late into the night.	我々は夜更けまで語り合った。
It became dark before I knew it.	何時の間にか暗くなった。
A Mr. So and So came today.	何とかさんという人が今日来ました。
May I have something to drink?	何か飲み物をいただけますか。
Would you like to drink something?	何か飲み物はいかが？
Would you like anything to eat?	何か食べ物が欲しいですか？
The performance was almost over.	演奏は終わりかけていた。
Speaking English is not easy.	英語を話すことは容易ではない。
English is difficult to learn.	英語を身につけるのは難しい。
He was among those chosen.	運ばれた人たちの中に彼は入っていた。
I will continue with my efforts.	引き続き努力いたします。
He's my most interesting friend.	一番面白い友達は彼です。
The party fought their way up.	一行は苦労して登っていった。
Don't you think it a bad thing?	悪いことだと思わないのか。
I have a lot of work to do.	わたしにはする仕事がたくさんある。
Have you ever visited Rome?	ローマを訪問したことがありますか。
Well do I remember the day.	よく覚えているともその日のことは。
I think it better not to try.	やってみないほうがよいと思う。
Never be this late again.	もう二度とこんなに遅れてはいけません。
Have you done with the paper?	もう新聞を読み終わりましたか。
I've had enough of this program.	もうこの番組には飽きた。
All are interested in Japan.	みんなが日本に興味をもっている。
To speak French is difficult.	フランス語を話すことは難しい。
What was served at the party?	パーティーでは何が出されたの？
I'm looking forward to the party.	パーティーが楽しみだ。
Oh, no! My house is on fire!	なんてことだ！うちが燃えている！
That sounds really interesting.	なかなかおもしろそうです。
There is a time for everything.	どんなものにも潮時がある。
Need Tom stay home today?	トムは今日家にいなければいけませんか。
Every boy and girl knows him.	どの少年少女も彼を知っている。
I would rather stay at home.	どちらかと言えば私は家にいたい。
Where are you planning to stay?	どこに滞在する予定ですか。
Where did you get your hair cut?	どこで髪の毛を切ったの。
I am at a loss what to do.	どうしたらいいのか途方に暮れている。
I was at a loss for words.	どういったらいいのか分からなかった。
At last he found out the truth.	ついに彼は真実を発見した。
At last, my wish has come true.	ついに私の望みはかなった。
Look, someone is calling you.	ちょっと誰か君を呼んでいるよ。
Who left the window open?	だれが窓を開けっ放しにしておいたんだ？
Let's eat out for a change.	たまには気分を変えて外食をしよう。
They'll probably come by car.	たぶん彼らは車で来るでしょう。
Most boys like TV games.	たいていの男の子はテレビゲームが好きだ。
Do you think it likely?	そんなことが有りそうなことだと思いますか。
Don't let that happen again!	そんなことが２度とないようにな。
It was too difficult for me.	それは僕にはあまりに難しかった。
It is beginning to tell on him.	それは彼の身に応えだした。
It is really quite a good story.	それは実に全くよい話だ。
That runs against my principles.	それは私の主義に反する。
It has become quite common.	それは今では当たり前になっている。
What an easy problem it is!	それは何と易しい問題なのでしょう。
Then she began to walk again.	それから彼女はまた歩き始めた。
The theory is not accepted.	その理論は一般に認められていない。
The problem is outside my field.	その問題は私の専門外だ。
The problem is far from easy.	その問題は決して容易ではない。
No one happened to be there.	その場には誰も居合わせなかった。
Let's begin with that question.	その質問から始めましょう。
The town was full of activity.	その街は活気にあふれていた。
Give us the sign to go soon.	すぐにゴーの合図をしてください。
These days John drinks too much.	ジョンは近頃のみ過ぎだ。
I'll try to meet your wishes.	ご希望に沿うように努力します。
This is what I was waiting for.	これを待ち望んでいました。
Do I take choice among these?	これらの中から選ぶわけですか。
This is a kind of love letter.	これは一種のラブレターだよ。
This book is quite above me.	この本は私にはとてもわからない。
This book is very interesting.	この本はたいへんおもしろい。
This work is difficult for us.	この仕事は私たちには難しい。
There is no future in this job.	この仕事には将来性がない。
What else could I have done?	こうするほかに手はなかったんだ。
Clara is doing quite a job.	クララはなかなかの仕事をしている。
We tried all means possible.	あらゆる可能な手段を選びました。
Africa has a lot of nature.	アフリカにはたくさんの自然がある。
Look at the top of that tree.	あの木のてっぺんを見てごらん。
It was rather easy for them.	あの人たちにはやさしすぎました。
That boy is speaking English.	あの少年は英語を話しています。
Those children use bad words.	あの子供たちは言葉使いが悪い。
Look at that good-looking boy.	あのハンサムな男の子を見て。
Don't you sleep well at night?	あなたは夜よく寝れませんか。
You don't have to work today.	あなたは今日は働かなくてよい。
What would you like to do today?	今日は何をしたいですか。
You don't have to stay home.	あなたは家にいなくてもよろしい。
Would you like a single room?	あなたは一人部屋が好きですか。
What papers do you take in?	あなたはどの新聞をとっていますか。
Can you open the window?	あなたはその窓を開けることが出来ますか。
Do you have a part time job?	あなたはアルバイトをしているの。
Shall I come to your office?	あなたの事務所に行きましょうか。
I'd rather you stayed at home.	あなたに家にいてもらいたい。
What do you figure on this?	あなたなら、これをどう考えますか。
A form appeared from over there.	あそこから人影が見えた。
The war began three years later.	３年後に戦争が始まった。
I also heard a similar story.	私も似た話を聞いたことがある。
I read a book while eating.	私は食事をしながら本を読みました。
Have both of you already eaten?	二人とももうご飯食べたの？
Come to my office any time.	いつでも事務所にいらしてください。
Someone said something like that.	そんな事を誰かが口にした
He actually sees a lot of things.	彼が実際に多くの物を見る
He turned on the TV quickly.	彼がすぐ、テレビのスイッチを入れた
I'm still can't figure out men.	自分がまだ、男の人に慣れない
She addresses her concerns to him.	彼女が不安を彼に伝える
He will create a good environment.	彼が良い環境を整備する
I'm at a loss to understand X. 	Xがまったく理解に苦しみます
He turned red at her words.	彼が彼女の言葉に、思わず顔を赤らめた
Years of effort came to nothing.	長年の努力が烏有に帰した。
I'd like to see you again next week.	来週また会いたい。
Don't call me so late at night.	夜遅く電話しないでください。
Leaves begin to fall in October.	木の葉は十月に落ち始める。
Put out the light and go to bed.	明かりを消して、寝なさい。
I don't feel like eating at all.	僕は全然食べる気がしない。
You may use my car at any time.	僕の車いつでも使っていいよ。
I must remember to see her.	忘れずに彼女に会わなければならない。
My father's car is made in Italy.	父の車はイタリア製です。
Don't look down on the poor.	貧乏な人たちを見下してはいけない。
I will go with you if necessary.	必要なら君と一緒に行こう。
We'd better leave her alone.	彼女を一人にしておいたほうがいい。
It isn't likely that she will come.	彼女は来そうにない。
She was left alone in the room.	彼女は部屋にひとりにされた。
She will make him a good wife.	彼女は彼の良い妻になるだろう。
She remained single all her life.	彼女は生涯独身であった。
She reached out for my arm.	彼女は手を伸ばして私の腕をつかんだ。
She is quite at home in English.	彼女は英語に精通している。
She did it all by herself.	彼女はまったく自分ひとりでそれをした。
