Birds fly.	鳥は飛ぶ。
You had to come yesterday.	あなたは昨日来なければならなかったんですよ。
What a charming girl you are!	あなたはなんて魅力的な女の子でしょう。
What sport do you like best?	あなたはどんなスポーツが一番好きですか。
How many apples do you want?	あなたはいくつのりんごが欲しいのですか。
Give me three ice creams, please.	アイスクリームを３つください。
You have to be home by nine o'clock.	９時までに帰宅しなさい。
Six o'clock will suit me very well.	６時ならとても都合がいい。
He'll be back by five o'clock.	５時までには彼は帰ってくるでしょう。
Forty miles is a good distance.	４０マイルといえばかなりの距離だ。
Come and see me at eleven o'clock.	１１時に会いに来てください。
Please move to the rear of the bus.	バスの中へお詰め願います。
She set about writing the essay.	彼女はそのエッセイを書き始めた。
My heavens, what an enormous box!	おやまあ、なんて大きな箱なの。
Next Monday and Tuesday are holidays.	来週の月火と連休です。
He briefly introduces the products.	彼が簡単に商品の紹介をします
Everyone has a weapon in their hands.	それぞれが手に武器を持つ
I've got a plenty of breathing room.	かなり心に余裕が出来ました
X seems to be a popular circuit.	Xが庶民的サーキットの印象を受ける
All images are shown by default.	省略時にはすべての画像を表示します
I got up at 9 o'clock without fail.	ちゃんと９時頃には起きました
The lenses contain plenty of fluids.	レンズが水分をたっぷり含む
He was absent from office yesterday.	彼が会社を昨日、休みました
Routine operations management is easy.	日常の運転管理が容易だ
Wooden buildings catch fire easily.	木造建築物は火がつきやすい。
Kiddo! Two medium-size drafts here.	兄ちゃん、こっち生中二つー。
It wasn't as expensive as I expected.	思ったより安くあがった。
A man away from home need feel no shame.	旅の恥はかきすて。
How do you like your eggs done?	卵はどのように調理いたしましょうか。
Aunt Yoko is too weak to work.	洋子の叔母さんは体が弱すぎて働けない。
Don't lean on your friends for help.	友達の援助を当てにするな。
My friends invited me to dinner.	友人達は私を夕食に招待してくれた。
The arrow indicates the way to go.	矢印が進むべき方向を指示する。
Watching wild birds is great fun.	野鳥を観察するのはとても面白い。
My sister bought five yards of cloth.	妹は布を５ヤール買った。
Tom can hang tough, I am sure.	僕には分かっているトムはがんばれるさ。
Nothing ventured, nothing gained.	冒険をしなければ何も得られない。
Nothing ventured, nothing gained.	冒険をしなければ何も始まらない。
Mother made me clean the bathroom.	母は私に風呂場の掃除をさせた。
Mother cut the cheese with a knife.	母はナイフでチーズを切った。
You're wearing an odd cap, aren't you?	変な帽子かぶってるな。
The paint was coming off the wall.	壁からペンキが剥げ始めていた。
Rice will find a ready market there.	米はそこならすぐさばける。
Soldiers barred the way to the city.	兵隊が町への道を封鎖した。
My father has never been abroad.	父は一度も外国へ行ったことがない。
Mika is no less charming than Keiko.	美香は恵子と同様魅力的だ。
They wore identical dresses.	彼女らはどこを見ても同じドレスを着ていた。
She has a job with good prospects.	彼女は有望な仕事に就いている。
She had the courage to say it.	彼女は勇敢にもその事をはっきり言った。
She knows her husband's psychology.	彼女は夫の心理を心得ている。
She was quite eager in her studies.	彼女は非常に研究熱心だった。
She was trained to be a secretary.	彼女は秘書となる訓練を受けた。
She killed herself by taking poison.	彼女は毒を飲んで自殺した。
She hung a curtain over the window.	彼女は窓にカーテンをつけた。
She wants a new dress badly.	彼女は新しいドレスをひどく欲しがっている。
She insisted that it was my fault.	彼女は私の誤りだと言い張った。
She was slightly better yesterday.	彼女は昨日少し具合がよかった。
She was occupied with household work.	彼女は家事で忙しかった。
What is she so curious about?	彼女は何をそんなに知りたがっているのか。
She has a great faculty for music.	彼女は音楽に優れた才能がある。
She drives everybody up the wall.	彼女はみんなをうんざりさせます。
She has an absent look on her face.	彼女はぼんやり顔をしている。
She poured the milk into a bowl.	彼女はボールの中にミルクを注いだ。
She acquired a knowledge of French.	彼女はフランス語を習得した。
She bought two pounds of butter.	彼女はバターを２ポンド買いました。
She is eager to go to France.	彼女はとてもフランスに行きたがっている。
She got the ticket for nothing.	彼女はただでその切符を手に入れ得た。
She spent the weekend by herself.	彼女はその週末を一人で過ごした。
She is not concerned in the affair.	彼女はその事とは関係がない。
She softly stole out of the room.	彼女はそっと部屋から抜け出した。
She is unable to cope with stress.	彼女はストレスに対処できない。
I don't doubt but she will recover.	彼女はきっと回復するだろう。
She was raised by her grandmother.	彼女はおばあさんに育てられた。
She stared at a UFO in silence.	彼女はＵＦＯを黙ってじっと見ていた。
She declared that she was right.	彼女は、自分は正しいと言い切った。
She is, indeed, a lovely girl.	彼女は、ほんとうにかわいらしい少女だ。
Her eyes expressed her sympathy.	彼女の目には同情の色が表れていた。
Her charm is beyond description.	彼女の魅力は言葉では表現できない。
Her hands are raw from the cold.	彼女の手は寒さでひび割れしている。
Her excuse resulted in nothing.	彼女のいいわけは全く意味をなさない。
They will organize a labor union.	彼らは労働組合を組織するだろう。
They visited their parents yesterday.	彼らは昨日両親を訪れた。
They are anxious for your help.	彼らは貴方の援助を切望していますよ。
They have fixed to go to London.	彼らはロンドンへ行くことに決めた。
They resolved to work harder.	彼らはもっと一生懸命に働こうと決心した。
They were badly in need of water.	彼らはひどく水を欲しがっていた。
They are anxious for your help.	彼らはあなたの教授を切望しています。
He was in time for the appointment.	彼は約束の時間に間に合った。
He's inviting nothing but trouble.	彼は問題を起こしてばかりいる。
I believe that he is innocent.	彼は無実だということを私は信じている。
He likes sports as well as study.	彼は勉強だけでなく運動も好きだ。
He survived the plane crash.	彼は飛行機墜落事故にあったが死ななかった。
He was cowed by her intelligence.	彼は彼女の聡明さに恐れをなした。
He invested a lot of money in stocks.	彼は大金を株に投資した。
He won't go on to graduate school.	彼は大学院に進学しないだろう。
He is two hundred pounds in weight.	彼は体重が２００ポンドある。
It is in the cards that he will succeed.	彼は成功しそうだ。
He is a man with profound learning.	彼は深遠な学識を備えた人だ。
He is working for social welfare.	彼は社会福祉のために働いている。
He asserted that he was innocent.	彼は自分が無実であると断言した。
He is sure that he will succeed.	彼は自分が成功すると確信している。
He telephoned me again and again.	彼は私に、再三電話をかけてきた。
He attended the party yesterday.	彼は昨日そのパーティーに出席した。
He is busy with the final draft.	彼は最終稿に忙しく取り組んでいる。
He painted the door over white.	彼は戸を白のペンキでくまなく塗った。
He knows a lot about foreign affairs.	彼は海外の事情に詳しい。
He looked down at the valley below.	彼は下の方の谷を見下ろした。
He is a man of moderate opinions.	彼は穏健な考えをもった人である。
He had the luck to catch the train.	彼は運よく列車に間に合った。
He gave me a lecture on drinking.	彼は飲酒について私にお説教した。
He often absents himself from meetings.	彼はよく会合を休む。
He kicked the ball into the goal.	彼はボールをゴールに蹴り入れた。
He behaves in a very strange fashion.	彼はとても奇妙に振舞う。
He undertook a great deal of work.	彼はたくさんの仕事に着手した。
He knocked at the closed door.	彼はその閉まっているドアをノックした。
He shot an arrow at the soldier.	彼はその兵士をねらって矢を放った。
He was in favor of the proposition.	彼はその提案に賛成していた。
He served as the pilot of the ship.	彼はその船の水先人を勤めた。
He proposed to the young woman.	彼はその若い婦人に結婚を申し込んだ。
He is not very strict about it.	彼はその事にはあまりやかましくない。
He played a minor part in the play.	彼はその劇でわき役を演じた。
He was charmed against all evil.	彼はすべての悪から魔力で守られた。
He will make a good team captain.	彼はいいキャプテンになりますよ。
He'll be here around four o'clock.	彼は４時頃には戻ると思います。
He asserts that she is innocent.	彼は、彼女が無実だと主張している。
He has an air of mystery about him.	彼には神秘的なところがある。
He can't tell fact from fiction.	彼には事実と虚構の区別がつかない。
It is certain that he will succeed.	彼が成功することは確実です。
It's natural for him to get mad.	彼がかんかんになるのも無理はない。
There are six apples in the box.	箱の中にはりんごが６個入っている。
Japan and South Korea are neighbors.	日本と韓国は、隣国同士だ。
Winter's reign was nearing its end.	冬の支配が終わりに近づいた。
Your effort will surely bear fruit.	努力は必ず実を結ぶでしょう。
Hang up and wait a moment, please.	電話を切って少々お待ち下さい。
I wish I could fly like a bird.	鳥のように空を飛べたらいいのになあ。
Birds came flying by twos and threes.	鳥が２羽３羽飛んできた。
The audience roared with laughter.	聴衆はどっと声をあげて笑った。
May I be excused from Chinese?	中国語の授業を休んでもよろしいですか。
Please forgive me for being late.	遅刻したことをゆるしてください。
All the man could do was obey them.	男は彼らに従うしかなかった。
Nobody is to blame for the accident.	誰もその事故に責任がない。
I don't know who to consult with.	誰と相談していいのかわからない。
Somebody's elbow touched my back.	誰かのひじが私の背中に当たった。
A river runs down through the valley.	谷の間を川が流れている。
Can I reserve a flight to Osaka?	大阪行きの便を予約したいのですが。
Chase the cat out of the kitchen.	台所からその猫を追い出してくれ。
I'm going crazy from too much noise.	騒音で頭が変になりそうだ。
Mutual understanding promotes peace.	相互理解は平和を促進する。
Mutual understanding makes for peace.	相互理解は平和に役立つ。
My grandmother lives in the country.	祖母は田舎に住んでいます。
My grandmother became sick last week.	祖母は先週病気になった。
My grandfather was wounded in the war.	祖父は戦争で負傷した。
The ship was at the mercy of the waves.	船は翻弄されていた。
The coal was glowing in the fire.	石炭が火の中で赤々と燃えていた。
This is a rough world we are living in.	世知辛い世の中だね。
You have to have a new crown.	新しいクラウンをかぶせる必要があります。
Psychology is the science of the mind.	心理学は心の科学です。
Don't drink beer before going to bed.	寝る前にビールを飲むな。
Have you ever had food poisoning?	食中毒に罹ったことはありますか。
All was silent throughout the castle.	城中が静まり返っていた。
The passengers sat four aside.	乗客はどちらの側にも４人すわっていた。
Passengers poured out to the road.	乗客たちは道路にどっと降りた。
Our boss turned down our proposal.	上司は私たちの提案を拒否した。
It is a great honor to be invited.	招待された事は大変な名誉です。
There was nothing for it but to obey.	従うよりしかたなかった。
Make sure you get plenty of rest.	十分に休息を取るようにしなさい。
Fall is the best season for sports.	秋はスポーツに最良の季節だ。
To put it briefly it's your fault.	手短に言うと、君が悪いんだよ。
Young people are eager to go abroad.	若者は、外国に行きたがる。
Would you mind lending me your car?	車を貸していただけませんか。
The boss gave us all a day off.	社長は僕たち全員に一日休みをくれた。
The fact is we were not invited.	実のところ我々は招待されなかった。
Please help yourself to the cakes.	自由にケーキを取ってください。
He fancies himself somebody.	自分ではひとかどの人間だとうぬぼれている。
The meetings were held at intervals.	時折打ち合わせがもたれた。
Clocks used to be wound every day.	時計は毎日巻かれたものだった。
We listened to the bell ring.	私達はベルが鳴るのを耳を澄まして聞いた。
I intend to study abroad next year.	私は来年留学するつもりです。
I spent the weekend with my friends.	私は友達と週末を過ごした。
I usually get home by six o'clock.	私は普通六時までには帰宅する。
I usually get home by six o'clock.	私は普通６時までには帰宅する。
I'm fed up with her complaints.	私は彼女の愚痴にはうんざりしている。
I informed her of my departure.	私は彼女に私の出発のことを知らせた。
I informed him of her arrival.	私は彼女が到着したことを彼に知らせた。
I had to lend to him money.	私は彼にお金を貸さなければなりませんでした。
I am sure that he will succeed.	私は彼が成功することを確信している。
I prefer relaxing to working.	私は働くよりものんびりするほうが好きだ。
I stayed with my uncle last week.	私は先週おじの家に泊まりました。
I thrust my way through the crowd.	私は人込みを押し分けて進んだ。
I came across my aunt in Europe.	私は叔母にヨーロッパで偶然会った。
I was given a camera by my uncle.	私は叔父にカメラをもらいました。
I was out of town on an assignment.	私は仕事で出かけていました。
I will stay here till three o'clock.	私は三時までここにいます。
I had no more than three pounds.	私は三ポンドしか持っていなかった。
I didn't have to study yesterday.	私は昨日勉強する必要は無かった。
I have not been busy since yesterday.	私は昨日から忙しくない。
I'm on good terms with the neighbors.	私は近所の人と仲が良い。
I recommend you to go by train.	私は貴方が汽車で行くことを勧めます。
I intended to have been a doctor.	私は医者になるつもりだったのに。
I bought a pen, but I lost it.	私はペンを買ったが、なくしてしまった。
I telephoned my order for the book.	私はその本を電話で注文した。
I have no liking for such birds.	私はそのような鳥は全く好きでない。
I like music better than sports.	私はスポーツより音楽の方が好きだ。
I bought this printer yesterday.	私はきのうこのプリンターを買った。
I'm studying the American drama.	私はアメリカ演劇を勉強しています。
I am badly in need of your help.	私はあなたの助けがとても必要です。
I insist on your being present.	私はあなたにぜひ出席してもらいたい。
I have been here since five o'clock.	私は５時からここにいます。
I reached my destination in a week.	私は１週間で目的地についた。
I allowed a margin of ten minutes.	私は１０分の余裕を見ておいた。
I didn't like beer at that time.	私は、そのころビールが嫌いだった。
All my friends are invited here.	私の友達みんなが招待されています。
My mother is strict about manners.	私の母は行儀作法にやかましい。
My grandfather was part Indian.	私の祖父はインド人の血を引いていた。
My uncle gave him a present.	私のおじさんは、かれにプレゼントを与えた。
I can tell virtue and vice apart.	私には美徳と悪徳との区別がつく。
We believed him to be innocent.	私たちは彼が無実であると信じていた。
We cleaned our classroom yesterday.	私たちは昨日掃除をしました。
We sailed from Yokohama to Kobe.	私たちは横浜から神戸まで航行した。
We saw a funny program on TV.	私たちはテレビでおかしな番組を見ました。
Our diet is full of variety.	私たちの食生活はとても変化に富んでいます。
Our school encourages sports.	私たちの学校ではスポーツを奨励している。
You know that I don't like eggs.	私が卵を嫌いなのはご存じでしょう。
I had a pleasant dream last night.	昨夜、私は楽しい夢を見ました。
A sad accident took place yesterday.	昨日悲しい出来事があった。
Yesterday I met Mary on the street.	昨日通りでメアリーにあった。
My aunt dropped in on me yesterday.	昨日は叔母が私を訪ねてきた。
I missed you very much yesterday.	昨日は君がいないので寂しかった。
Yesterday morning I saw many birds.	昨日の朝たくさんの鳥を見た。
I will clean up yesterday's work.	昨日の仕事を片づけるつもりです。
Yesterday a truck hit this wall.	昨日トラックがこの塀にぶつかった。
I had some engine trouble yesterday.	昨日エンジンが故障してね。
The judge laughed in spite of himself.	裁判官は思わず笑った。
Sales should double this year.	今年の売り上げは倍増と見込んでいます。
It is not so hot today as yesterday.	今日は昨日ほど暑くはない。
I feel better today than yesterday.	今日は昨日よりは体調がいい。
It is as warm today as yesterday.	今日は、昨日と同じくらい暖かい。
An expensive car is a status symbol.	高級車は地位の象徴である。
Where can I pick up my ticket?	航空券はどこで受け取ればいいのですか。
They decided to shut down the factory.	工場の閉鎖が決まった。
I opened the box out of curiosity.	好奇心から私はその箱を開けた。
We should obey the traffic rules.	交通規制に従わなければならない。
We should obey the traffic rules.	交通規制には従わないといけない。
In the name of mercy, stop crying.	後生だから泣くのはやめてくれ。
The dog chased the cat up a tree.	犬はネコを木の上まで追い詰めた。
He has been absent from work for a week.	欠勤１週間になる。
The police set a dog on the scent.	警察は犬にその臭いをかがせた。
My brother took me to the museum.	兄は博物館へ連れていってくれた。
A crowd soon gathered around him.	群衆がすぐに彼の周りに集まった。
Both you and I are college graduates.	君も私も大学の卒業生だ。
You are supposed to obey the law.	君は法律に従わなければならない。
You must not be absent from school.	君は学校を休んではいけない。
You'd better consult the doctor.	君は医者にみてもらったほうがよい。
You may go anywhere you like.	君はどこへでも好きなところへ行っていい。
You are at liberty to leave any time.	君はいつ帰ってもいいよ。
Would you mind lending me your car?	君の車をかしてくれませんか。
Thanks to your help, I could succeed.	君のおかげで成功できた。
The bear began tearing at the tent.	熊はテントを引っかき始めた。
Rituals were performed in churches.	教会では儀式が執り行われた。
The patient was recovering daily.	患者は日に日によくなっていった。
The patient was discharged from hospital.	患者は退院した。
Altogether, things are going well.	概して事態はうまく進んでいる。
The picture hangs over the table.	絵がテーブルの上にかかっている。
Meetings are held every other week.	会議は一週間おきに行われる。
We invited him to the dinner party.	我々は彼を晩餐会に紹介した。
We have no choice but to compromise.	我々は妥協せざるをえない。
The prince bowed down to Snow White.	王子様は白雪姫に会釈した。
I intended to have been a doctor.	医者になるつもりだったのですが。
We hold that he is not guilty.	われわれは彼が無罪であると考えている。
I invited them to the party.	わたしはかれらをパーティーに招待しました。
By and by he forgot that affair.	やがて彼はその事件のことを忘れた。
They were all charmed by her song.	みんなは彼女の歌に聞きほれた。
You talk as if you were the boss.	まるでボスのような話し方をする。
But I'm not able to use the telephone.	まだ電話は使えません。
We still have plenty of time left.	まだ時間はたくさん残っている。
Masaru claims that he is innocent.	マサルは潔白であると主張した。
Put me through to the boss, please.	ボスに電話をつないで下さい。
My pen isn't as good as yours.	ぼくのペンは君のペンほど上等ではない。
Chickens were looking for food.	にわとりが食べ物をさがしていました。
Tom recommended the novel to them.	トムは彼らにその小説を薦めた。
Tom offered to lend me the money.	トムは私に金を貸そうと申し出た。
Tom is eager to buy a new car.	トムはしきりに新車を買いたがっている。
Please knock before you come in.	どうぞ入る前にノックしてください。
The door is locked at nine o'clock.	ドアは９時にロックされます。
Dennis doesn't have rough manners.	デニスには粗暴なところがない。
Can you spare me a few minutes?	ちょっと時間をさいてくださいますか。
There is a slight chill on the party.	ちょっと座が白けている。
The tickets sold out within a week.	チケットは一週間で完売した。
Somebody, open this door, please.	だれかこのドアを開けてください。
Most birds can see only by day.	たいていの鳥は昼間しか目が見えない。
Stop staring at me like that.	そんなふうにジロジロ見るのはやめてくれ。
It's easy to make and it's cheap.	それは作りやすいし、しかも安い。
It's easy to make and it's cheap.	それはつくりやすいししかも安い。
The train makes 20 miles an hour.	その列車は時速２０マイルで進む。
The train will arrive at ten o'clock.	その列車は１０時に着く。
The problem is as good as settled.	その問題は解決したも同然です。
The package was delivered yesterday.	その包みは昨日配達された。
The fields yielded a good harvest.	その畑からはよい収穫があった。
The land was converted into a park.	その土地は公園に変えられた。
The garden was filled with flowers.	その庭は花でいっぱいだった。
The ticket is valid to April 29.	その切符は４月２９日まで有効です。
The boy took a fancy to the dog.	その少年はその犬が大好きになった。
The girl is smelling the flowers.	その少女は花の香りをかいでいる。
Will you take part in the ceremony?	その式に参加してくれますか。
The fact is known to everybody.	その事実はすべての人に知られている。
He had some sympathy for the child.	その子供にいくらか同情した。
The old castle stands on the hill.	その古城は丘の上に建っている。
We divided the money between us.	その金は我々の間で分けてしまった。
Magnetic force drives the mechanism.	その機械は磁気の力で動く。
Take the battery off the machine.	その機械からバッテリーをはずせ。
The picture has a charm of its own.	その絵には独特の魅力がある。
Everybody was bright at the party.	その会ではみんなが陽気だった。
The flower died for want of water.	その花は水がなくて困っている。
The flower died for lack of water.	その花は水がないために枯れた。
The robot made its way toward him.	そのロボットは彼の方へ進んだ。
Nobody got zero in that test.	そのテストではだれも零点をとらなかった。
Is lunch included in the tour?	そのツアーには昼食は含まれていますか。
The curtain wants cleaning.	そのカーテンはクリーニングをする必要がある。
You need to wear a tie there.	そこではネクタイをつける必要があります。
It will kill two birds with one stone.	そうすれば一挙両得だ。
Excuse me, but I'm tied up now.	すまないが今僕、手がいっぱいなのだ。
Everybody is equal before the law.	すべての人は法の前に平等です。
John left for France yesterday.	ジョンは昨日フランスへ出発しました。
John laid claim to the painting.	ジョンはその絵の所有権を主張した。
John has been painting the door.	ジョンがドアにペンキを塗っていた。
Have you recovered from the shock?	ショックから立ち直りましたか。
I wish Jim would behave himself.	ジムが行儀よくしてくれたならなあ。
Jane is mature beyond her years.	ジェーンは年齢以上に大人びている。
Jane has been doing her assignment.	ジェーンは宿題をやっている。
Jane is absent from school today.	ジェーンは今日学校を休んでいる。
Please help yourself to the cake.	ご自由にケーキを取ってください。
I really appreciate your cooperation.	ご協力に深く感謝します。
All these eggs are not fresh.	これらの卵が全部新鮮というわけではない。
These coins are of little value.	これらの硬貨はほとんど価値がない。
I got these old coins from her.	これらの古いコインは彼女にもらった。
This is a picture painted by him.	これは彼によってかかれた画です。
This is really a very strange affair.	これは全く不思議な事だ。
This is a picture of my own painting.	これは私が描いた絵です。
This is a picture of my grandmother.	これが私の祖母の写真です。
This is the surest way to succeed.	これが最も確実な成功への道だ。
This is the bell called Big Ben.	これがビッグベンと呼ばれる鐘です。
This medicine will cure your cold.	この薬で君の風邪は治るだろう。
The report has yet to be confirmed.	この報道はまだ確かではない。
I would take this brown tie.	この茶色のネクタイをいただきたいのですが。
This river is 500 miles in length.	この川は長さ５００マイルです。
This ticket is good for three days.	この切符は三日間有効なんだ。
The park is open to everybody.	この公園はすべての人に公開されている。
This machine is driven by electricity.	この機械は電気で動く。
This painting will pass for genuine.	この絵は本物で通るだろう。
This flower has a scent all its own.	この花は独特の香りがする。
This song was written by Foster.	この歌はフォスターが作ったものだ。
This chair is made of plastic.	この椅子はプラスチックからできている。
The tie doesn't go with my suit.	このネクタイは僕の服には合わない。
The price of this tie is too high.	このネクタイの値段は高すぎる。
That dress seems to be very expensive.	このドレスは高そうだ。
This skirt is a little too tight.	このスカートは少しきつすぎます。
Is this jacket right for me?	このジャケットはわたしに合っているかしら？
Would you care for some more cake?	ケーキをもう少しいかがですか。
Divide the cake between you two.	ケーキをあなた方２人で分けなさい。
Where can I find a good gay club?	ゲイのクラブを推薦してください。
Kate knows how to make a cake.	ケイトはケーキの作り方を知っています。
Dr. Klein recommended you to me.	クライン医師から紹介を受けました。
The weather was perfect yesterday.	きのうの天気は申し分なかった。
My aunt dropped in on me yesterday.	きのう叔母が私を訪ねて来た。
Who is hiding behind the curtain?	カーテンの陰に隠れているのは誰？
Please help yourself to the cake.	お菓子をご自由にお取りください。
I'm aching to go to Australia.	オーストラリアに行きたくてたまらない。
He was the ruler of the Inca Empire.	インカ帝国の支配者でした。
It's no use trying to fix it now.	いまそれを直そうったって無駄だ。
The absent are always in the wrong.	いない者がいつも悪者になる。
I wish I could buy that house cheap.	あの家が安く買えたらなあ。
You bought the ticket for the train?	電車の切符は買いましたね？
I'm very grateful for your help.	あなたの援助に大変感謝しています。
He is the black sheep of the family.	あいつは一家のつらよごし。
I'll call you around five o'clock.	５時頃あなたに電話しましょう。
Write an essay on "Friendship".	「友情」という題で作文を書きなさい。
Many people think I'm crazy.	多くの人が私を頭がおかしいと思っています。
System engineers design the system.	ＳＥがシステムの設計を行います
He received approval from the governor.	彼が知事の登録を受けた
In fact, I've never pounded rice cake.	実は、杵つきの経験が無い
We use fresh, 47% milk fat cream.	当社は４７％の生クリームを使います
The guests put their hands in the bag.	客が袋の中に手を入れます
I'm going to the nearby park with them.	一緒に近くの公園に行く
The weather was bad the whole weekend.	ずっと週末天気が悪かった
All of them have a sensor function.	すべてにセンサー機能がつきます
I'm desperate to keep myself balanced.	必死に体のバランスをとる
The problem hasn't been resolved yet.	まだ問題の解決には至らない
Each plays their respective role.	それぞれがそれぞれの役割を担います
He smoked a cigarette in the dream.	彼が夢の中でタバコを１本吸った
He asks for a beer to start off with.	彼がとりあえずビールを頼む
The male digs a hole under the stone.	オスが石の下に穴を掘ります
It stimulates a child's curiosity.	それが子どもの好奇心を刺激します
It will be mainly divided into three.	それが主に３つに分けられる
The old man gave the child shelter.	老人はその子を保護してやった。
The workers were naked to the waist.	労働者たちは腰まで裸だった。
To love our neighbors is our duty.	隣人を愛するのは我々のつとめだ。
The two countries negotiated a treaty.	両国は条約を取り決めた。
The suspect began to confess at last.	容疑者はついに口を割った。
Evening was closing in on the valley.	夕暮れが谷間に迫っていた。
Nothing is so valuable as friendship.	友情ほど貴重なものはない。
None but the brave deserve the fair.	勇者にあらずんば美女を得ず。
Forgive me for breaking my promise.	約束を破った事を許して下さい。
The arrow indicates the way to Tokyo.	矢印は東京へ行く道を示す。
Thursday night is free beer night.	木曜の夜はビールが無料なのです。
I'll be back by 6 o'clock every day.	毎日、６時までには帰ります。
They were really cut from the same cloth.	本当に瓜二つだわ。
I visited my grandmother's house.	僕はおばあちゃんの家を訪ねたんだ。
My immediate boss is tough to please.	僕の直属の上司は気難しい。
Nothing ventured, nothing gained.	冒険をしなければ何も手に入らない。
To obey the law is everyone's duty.	法律に従うのはみんなの義務だ。
To obey the laws is everyone's duty.	法律に従うことは皆の義務だ。
Mother told me to behave myself.	母は私に行儀よくするようにと言った。
The price of rice is going up again.	米の値段が再び上がっている。
The soldiers were guarding the bridge.	兵隊が橋を見張っていた。
All the soldiers stood side by side.	兵士が全員並んで立っていた。
There was a fine scent in the room.	部屋の中は良い香りがしていた。
The plane crash was only last week.	飛行機事故はつい先週起こった。
No one survived the plane crash.	飛行機事故で生き残った者はなかった。
I had my secretary type the letter.	秘書にその手紙をタイプさせた。
She was beside herself with grief.	悲しみのあまり気が動転していた。
In her grief, she burst into tears.	悲しくて彼女は突然泣き出した。
Both of them are very brilliant.	彼等二人はとても才能のある人である。
She was absent from the club activities.	彼女は部活を休んだ。
She poured some milk from the bottle.	彼女は瓶から牛乳を空けた。
She was quite eager in her studies.	彼女は非常に研究に熱心だった。
She wore a long, loose coat.	彼女は長くてゆったりとしたコートを着ていた。
She recovered from her long illness.	彼女は長い病気から回復した。
She withdrew her head from a window.	彼女は窓から頭を引っ込めた。
She was brought up by her grandmother.	彼女は祖母に育てられた。
She readily agreed to my proposal.	彼女は進んで私の提案に賛成した。
She glanced briefly at the newspaper.	彼女は新聞をちらっと見た。
She prides herself on her talent.	彼女は自分の才能を誇りにしている。
She filled her bag with apples.	彼女は自分のバッグをりんごで満たした。
She held on to my hand tightly.	彼女は私の手にしっかりとしがみ付いた。
She found a nice tie for me.	彼女は私にすてきなネクタイをみつけてくれた。
She had nothing to do yesterday.	彼女は昨日、何もすることがなかった。
She was beside herself with rage.	彼女は激怒のあまり我を忘れていた。
She earns her living by teaching.	彼女は教師をして生計を立てている。
She earns her living by teaching.	彼女は教師として生計を立てている。
She was unconscious of her mistake.	彼女は間違いに気づかなかった。
She prayed to God on her knees.	彼女はひざまずいて神に祈りをささげた。
She won't agree to a divorce.	彼女はどうしても離婚に同意しようとしない。
She is well spoken of by everybody.	彼女はだれからもよく言われる。
She succeeded in opening the box.	彼女はその箱を開けることができた。
She bought this pen at that store.	彼女はその店でこのペンを買った。
She has remained abroad ever since.	彼女はその後ずっと外国にいる。
She was always telephoning me.	彼女はいつも私に電話をかけてばかりいた。
She gave birth to twins a week ago.	彼女は１週間前に双子を生んだ。
She has a son everybody loves.	彼女にはみんなに愛されている息子がいる。
They chased the man to arrest him.	彼らは男を逮捕すべく追いかけた。
They have plenty of grain in store.	彼らは大量の穀物を蓄えている。
I gather that they'll agree with us.	彼らは私達と同意見だと思う。
Were they in the library yesterday?	彼らは昨日図書館にいましたか。
They sought shelter from the rain.	彼らは雨宿りをする場所を捜した。
They made little of the pouring rain.	彼らは雨を何とも思わない。
They all longed for the holiday.	彼らはみんな休暇を待ち焦がれていた。
They all longed for the holidays.	彼らはみんなその休暇を待ちわびた。
They invited me to play cards.	彼らはトランプをしないかと誘ってくれた。
They had a lovely time together.	彼らはともに素晴らしい時を過ごした。
They often make fun of the boss.	彼らはしばしば上司を笑いものにする。
They succeeded in getting that job.	彼らはうまくその仕事に就いた。
He is to come here at six o'clock.	彼は六時にはここへくるはずです。
He has a faculty for making friends.	彼は友人をつくる才能がある。
He is not only brave but wise.	彼は勇気があるばかりでなく賢明でもある。
He looked at the cows in the fields.	彼は野原にいる牛を見ました。
It is believed that he was innocent.	彼は無実だと信じられている。
He proposed asking her to lunch.	彼は彼女を昼食に誘おうと言い出した。
He shouted to her to be careful.	彼は彼女に気をつけろと大声で言った。
He walked two miles in half an hour.	彼は半時間で２マイル歩いた。
He will come into a large fortune.	彼は莫大な財産を相続するだろう。
He is possessed of a great fortune.	彼は莫大な財産を所有している。
He asked me the way to the museum.	彼は博物館へ行く道を私に聞いた。
He was tied to the tree with a rope.	彼は縄で木に縛り付けられた。
He lives in the western part of town.	彼は町の西部に住んでいる。
He was very friendly to everybody.	彼は誰にでも愛想よく振る舞った。
He was covered all over with paint.	彼は全身ペンキだらけになった。
He was unconscious for several days.	彼は数日間意識不明であった。
He was kind enough to invite me.	彼は親切にもわたしを招待してくれた。
I believe that he is a reliable man.	彼は信頼できる人物だと思う。
He is absent on business in Osaka.	彼は商用で大阪に出かけて留守だ。
He handed the letter to the secretary.	彼は手紙を秘書に渡した。
He asserted that he was innocent.	彼は自分が無実であること断言した。
He maintained that he was innocent.	彼は自分が潔白だと言い張った。
He whispered the answer in my ear.	彼は私の耳元でその答えを囁いた。
He is anxious for our happiness.	彼は私たちの幸福を願ってくれている。
He suspects me of telling a lie.	彼は私が嘘をついていると疑っている。
The door is being painted by him.	彼は今、ドアにペンキを塗っている。
He is at once strict and tender.	彼は厳しくもあり同時に優しくもある。
