Is he right?	彼は正しいですか。
The party is over.	パーティーは終わった。
The party set out for Kobe.	一行は神戸へ向けて出発しました。
The party started for New York.	一行はニューヨークへ向かった。
The party was over at nine.	パーティーは９時に終わった。
The people are on the team.	その人たちは同じチームに所属している。
The people he is living with in London are coming to see me.	ロンドンで彼が一緒に住んでいる人が近く私に会いに来ます。
The people in the room all know one another.	その部屋の人々は、みんな互いに知り合いだった。
The people set up a new government.	国民は新しい政府を作った。
The people which were here have all gone.	ここにいた人々はみんな行ってしまった。
The people who live there are our friends.	そこに住んでいる人々は私たちの友人です。
The people who live there are our friends.	そこに住んでいる人々は私の友人です。
The place I live in is very good for your health.	私が住んでいる所は健康に良い。
The place just doesn't look as good as it used to.	その場は以前ほどはきれいになっていないようなのだ。
The play ran for six months.	その芝居は６ヶ月間上演された。
The play was not well acted.	その戯曲はうまく舞台にのらなかった。
The price does not include the box.	料金には箱代は含みません。
The price does not include the case.	価格には箱代は含まれていません。
The price is still high.	まだ価格が高い
The price of the stock of that company will not come down.	あの会社の株価は下がらないだろう。
The price will not come down.	値は下がらないでしょう。
The prices will come down.	物価が安くなるだろう。
The printer needs paper.	給紙トレーに紙が入ってないよ。
The problem before us today is not a new one.	現在我々が当面している問題は新しいものではない。
The problem has more to do with you than with me.	その問題は私よりも君の方と関係が深い。
The problem is not so much the cost as the time.	問題は費用よりむしろ時間だ。
The problem is not so much the cost as the time.	問題は費用よりもむしろ時間だ。
The problem is that our car will not be available on that day.	困ったことに、その日は車の都合がつかないのです。
The problem is what to do next.	問題は次に何をしたらよいのか。
The problem is what to do next.	問題は次に何をすべきかだということだ。
The problem is what we should do with this money.	問題は我々がこの金をどう処理すべきかだ。
The problem is which way I should take.	問題は自分がどちらの道を選ぶかだ
The program does not allow for changes at this point in time.	その計画は現在では全く変更の余地がない。
The quality of their products has gone down over the years.	ここ数年にわたって彼らの製品の質は落ちてきた。
The records are still right on hand.	記録が手元にしっかり残る
The report was sent within the same day.	その報告書はその日のうちに送られた。
The research group found X.	Xを研究グループが発見した
The right word for this does not come to me.	これを言いあらわす適当なことばが思いうかびません。
The room is full of people.	その部屋は人々でいっぱいだ。
The room was in good order.	部屋はきれいに整頓されていた。
The same can be said of many other persons.	同じ事がほかの多くの人についても言える。
The same may be said of other people.	同じことが他の人々についても言えるだろう。
The same to you.	ご同様に。
The server was down.	サーバーがダウンしていました。
The server was down.	サーバーが落ちていた。
The seventh day of the week is Saturday.	週の７番目の日は土曜日です。
The shop closes at seven.	店は７時に閉まる。
The shop did not want him.	商店も彼を欲しがりませんでした。
The shop is closed at nine every evening.	その店は毎晩９時に閉められる。
The shop is closed on Sunday.	その店は日曜日にはしまっている。
The shop is closed on Sundays.	その店は日曜日は閉まっている。
The shop is closed today.	その店は今日はしまっている。
The shop is open from Monday to Saturday.	その店は月曜から土曜まで開いている。
The site will open on the 20th!	いよいよサイトが２０日にオープンします
The six accounted for two thirds of the total.	それが６件で全体の２／３を占めた
The stars came out.	星が出てきた。
The store closed down for good.	店はたたまれ、それっきりだった。
The store closes at eleven.	その店は１１時に閉まる。
The store closes at seven.	その店は７時に閉店します。
The store is close to my house.	その店は私の家から目と鼻の先にある。
The store is closed Mondays.	その店は月曜日には休業です。
The store is not open today.	その店は今日は開いていない。
The store is open from nine to six.	店は９時から６時まで開いている。
The store is out of stock.	店にもう在庫が無い
The store opens at 9 a.m.	店は午前９時にあきます。
The store was not a big one, was it?	その店は大きくなかったですね。
The stories in the book are written for her.	この本の物語は彼女のために書かれている。
The story came home to her.	彼女にはその話がしみじみ感じられた。
The story has come down through many years.	その物語は昔から伝わってきた。
The story starts from X.	Xから、物語が始まる
The subject is closed.	その問題はこれで終わり。
The table doesn't take much room.	そのテーブルは場所を取らない。
The team is up for the game.	チームは試合に向けて気合いが入っている。
The time has come when we must part.	別れる時がやって来た。
The time is right.	時間がちょうど良い
The title of this play is "Othello".	この劇の題は「オセロ」です。
The total is one hundred.	合計は１００だ。
The two cars tried to make way for each other.	その２台の車は互いに道を譲ろうとしたのだ。
The two cars tried to make way for each other.	２台の車は互いに道をゆずろうとした。
The university paid my way to Japan.	日本行きの費用を大学が出してくれた。
The user selects all items.	ユーザーが全ての項目を選択します
The way I see it, he is right.	僕の見るところ彼は正しい。
The word is no longer in use.	その語は今はもう使われていない。
The work must be done by Tom.	その仕事はトムによってなさなければならない。
The year 1932 found him in Paris.	１９３２年には彼はパリにいた。
Their food was great last time.	この前に食べたときはとてもおいしかったよ。
Their sizes are much the same.	それらの大きさはほとんど同じです。
Their team's name is NWO.	彼らのチーム名はＮＷＯです。
Then, when you're making CG, how should you use light sources?	では、CGを作る場合はどのように光源を使用すればよいのであろうか。
There are 30 classes in our school.	私達の学校には３０学級ある。
There are 5 computers in the house, but 2 of them aren't any use.	家にはパソコンが５台あるが、内２台は役立っていない。
There are a great many books in this library.	この図書館にはたくさんの本があります。
There are a great many books in this library.	この図書館には非常にたくさんの本があります。
There are a great many people in the park.	公園にたいへん多くの人がいる。
There are a great many people trying buy houses.	家を買おうとしている人が非常に多くいる。
There are about 6 billion people in the world.	世界には約６０億の人々が暮らしている。
There are books and books on the subject.	その問題に関しては実にいろいろな本がある。
There are cases where the system doesn't go.	システムが作動しない場合がある。
There are eighty thousand items here.	ここには８万ものアイテムが揃う
There are four members in my family.	私の家族は４人います。
There are four people in my family.	私の家族は４人家族です。
There are many X.	Xが多い
There are many books in my room.	私の部屋には、たくさんの本があるんです。
There are many books, aren't there?	たくさん本がありますね。
There are many cities in this country.	この国には多くの市がある。
There are many jobs available in the computer industry.	コンピューター産業ではいろいろな働き口がある。
There are many people in Asia.	アジアにはたくさんの民族がいる。
There are many people in the park.	公園にはたくさんの人々がいます。
There are many places to see in Kyoto.	京都には見るべきところが多くある。
There are many places to visit in Kyoto.	京都には訪れる場所がたくさんあります。
There are many places to visit in Kyoto.	京都には訪問すべき都市が多い。
There are many stores in this area.	この地域は商店が多い。
There are more X.	Xのほうが、多い
There are no houses around here.	この辺りには人家がない。
There are no more than six persons here.	ここには６人しかいない。
There are no signs of X. 	Xが全く感じられません
There are other people who know about it.	他に御存じの方がいらっしゃいます
There are people called Incas in South America.	南アメリカにインカ族と呼ばれる人々がいる。
There are problems with X.	Xに問題が有る
There are seven days in a week.	一週間は七日です。
There are six people including him.	彼を入れて６人います。
There are so many people here in Tokyo.	ここ東京にはずいぶんたくさんの人がいるんですね。
There are ten people in this room.	この部屋に１０人いる。
There are two types of people.	人には二つタイプが有ります
There aren't very many places like that around here.	この周辺にはそういう場所が殆ど無い
There is a book on the table.	テーブルの上に本があります。
There is a community of thought between them.	彼らの思想には共通性がある。
There is a good market for these articles.	この品は販路が広い。
There is a library in our city.	私たちの町には図書館があります。
There is a post office close by.	すぐ近くに郵便局があるんだ。
There is an increase in X.	Xが多くなった
There is going to be a game between Waseda and Keio today.	今日早稲田対慶応の試合がある。
There is more money than is needed.	必要以上のお金がかかる。
There is more water than is needed.	必要以上の水がある。
There is much that is good in the world.	世の中にはよいものがたくさんある。
There is no TV in my room.	私の部屋にはテレビがない。
There is no contact between the three parties.	三者の間には何も連絡が無い
There is no information on the website.	サイトに情報が全く無い
There is no market for these goods in Japan.	この品物は日本では需要がない。
There is no more room for a TV set.	もうテレビを置く場所がない。
There is no need for him to work.	彼が働く必要はない。
There is no need for him to work.	彼は働く必要はない。
There is no one reading in the library.	図書館で読書している人は１人もいません。
There is no one who doesn't want to have good friends.	よい友達を得たいと思わない者はいません。
There is no paper to write on.	書く紙がない。
There is no person to do it.	それをしようとする人は誰もいない。
There is no place like home.	わが家にまさる所なし。
There is no place like home.	わが家にまさる所はない。
There is no place like home.	家程良いところはない。
There is no problem at all.	まったく問題が無い
There is no school during August.	８月には授業がない。
There is no school today.	今日は学校がない。
There is no such sign at all.	その気配がまったく無い
There is no time like the present.	現在にまさる時はない。
There is no water.	水が少しもない。
There is not one of us who does not want to help you.	私たちの中で１人としてあなたを助けたいと思わない者はありません。
There is still no reply.	まだ返事が無い
There isn't a table in the room.	部屋の中にテーブルはありません。
There isn't much money in this business.	この商売は儲かりません。
There lived an old man in the old house.	その古い家に一人の老人が住んでいた。
There must be a better person for both of us.	お互いもっと適した相手がいるはずだ。
There must be another way.	何か別の方法があるに決まってる。
There used to be a house here at one time.	かつて、ここに家がありました。
There used to be a large park here.	昔はここに広い公園があったものだ。
There used to be a store right here.	以前ちょうどここに商店があった。
There was little water in the well.	井戸にはほとんど水がなかった。
There was much food in the house.	家には食物がたくさんあった。
There was no one in the room.	部屋の中には誰もいませんでした。
There was no sign of life in the house.	その家には人の気配はなかった。
There was no water in the well.	井戸には少しの水も無かった。
There was room for one person in the car.	車には一人分の空きがあった。
There wasn't much in what he said.	彼の言ったことにはあまり内容がなかった。
There were as many as five hundred people present.	５００人もの出席者がいました。
There were at least a hundred people present.	少なくとも１００人の人が出席した。
There were fifty persons in all.	全部で５０人いた。
There were five classes in the first year.	第１学年には５つクラスがあった。
There were forty people present.	出席者は４０人だった。
There were hundreds of people there.	何百人もの人がそこにいた。
There were many people who helped me get there.	そこに至るまでには多くの方々の協力を得ました
There were no Japanese in this country.	この国には日本人は一人もいませんでした。
There were not many present.	その場に居合わせた人は多くはなかった。
There were so many people.	たいへん多くの人々がいた。
There were two hundred people in the room.	その部屋には２００人の人々がいた。
There will be no school a week from today.	来週の今日は学校は休みだ。
There! That wasn't long, was it?	ほらごらんなさい。長くなかったでしょ。
There're more than 100 people in the room.	部屋に１００人以上の人達がいます。
There's a big sign.	大きな看板があります。
There's a place called Kuchiwa in Hiroshima.	広島に口和というところがあります。
There's less to do in this job than the last one.	今度の仕事は前の仕事よりもやるべきことが少ない。
There's no place like home.	我が家ほどいいものはない。
There's no room to study here. If only I had a room of my own!	ここには、勉強する空間がない。自分の部屋があるといいのになあ。
There's not so much text in this book.	この本は本文の部分はそんなに多くない。
There's very little money coming in at present.	現在はほんのすこしの収入しか入らない。
These are all much the same.	これらはみな大同小異だ。
These are as good as those.	これらはあれらと同じくらい良い。
These are gifts for my friends.	これは友人への土産です。
These are sold in one's.	これらは一個売りします。
These are very old books.	これらは大変古い本です。
These books are used by him.	これらの本は彼が使っています。
These cars are big.	これらの車は大きい。
These days many people use computers.	このごろ、多くの人がコンピューターを使用している。
These days people visit here.	このごろ人がここを訪れる。
These messages have to be read between the lines.	その文章は言外の意味を読み取らねばならない。
These persons run this country.	こういう人たちが我が国を動かしている。
These products are of the same quality.	こちらの製品は同じ品質になります。
These products are of the same quality.	これらの製品は同じ品質です。
These two are very different from each other.	この２つはお互いに非常に異なっている。
These words came out of the book you have.	このことばは、君の持っている本から引用したのだ。
They acted on the information.	彼らはその知らせに基づいて行動した。
They allow parking here.	ここは駐車してもよい。
They are a party of six.	彼ら一行は６名です。
They are about the same age.	彼らはほぼ同じ年齢です。
They are about the same age.	彼らは同じくらいの年だ。
They are all my personal belongings.	全部所持品です。
They are all of a size.	それらはみな同じ大きさだ。
They are all of an age.	彼らはみな同い年です。
They are all the same.	みんな同じなのよ。
They are both good.	両方ともよい。
They are both in the room.	二人は部屋にいます。
They are free from care.	彼らには心配がない。
They are in class.	彼等は授業中だ。
They are in the same class.	彼らは同じクラスです。
They are longing for city life.	あの人達は都会の生活にあこがれている。
They are looking for a house to live in.	彼らは住む家を探している。
They are looking into the problem.	彼らはその事件のことを調査している。
They are looking into the problem.	彼らはその事件を調査している。
They are more or less the same size.	それらはだいたい同じくらいの大きさだ。
They are my friends.	彼らは私の友人だ。
They are out of hand.	あいつらは手に負えない。
They are paid by the day.	彼らは日給制です。
They are paid by the week.	彼らは週給をもらっている。
They are running in the park.	彼らは公園の中を走っています。
They are running now.	彼らは今走っています。
They are studying these days.	最近彼らは勉強しています。
They are the same age.	彼らは同い年だ。
They are the same age.	彼らは同じ年齢です。
They are trying to drive Japanese goods out of the market.	彼らは日本品を市場から駆逐しようとしている。
They are trying to keep costs down.	彼らはコストを押さえようとしている。
They are very big.	とても大きいね。
They are wanting in industry.	彼らには勤勉さが欠けている。
They ask the government for X.	彼らがXを政府に要求する
They asked for my help.	彼らは私に助けを求めてきた。
They asked him.	彼らは彼に聞きました。
They asked me what my name was, where I came from, and why I had come.	彼らは私に、名前は何と言うのか、どこの出身か、なぜやって来たのかと尋ねた。
They bought a box of cookies.	彼らはクッキーを１箱買った。
They call him Jim.	彼らは彼をジムと呼んでいます。
They called off their visit to London.	彼らはロンドン行きを中止した。
They came by two large cities on the country.	彼らはその国へ行く途中２つの大都市を通った。
They came into the house.	かれらが家にはいって来た。
They came to John and told him.	彼らはヨハネのところに来て言った。
They came to love each other.	彼らは愛し合うようになった。
They can't have gone out because the light's on.	明かりがついているのだから、彼らが外出したはずがない。
They care for each other.	お互いが相手を思い遣る
They closed the shop at five.	彼らは５時に店を閉めた。
They come from the south of France.	彼らはフランス南部の出身だ。
They compared the new car with the old one.	彼らは古い車と比べた。
They didn't tell me so.	彼らは私にそうはいわなかった。
They don't have to go to school today.	彼らは今日は学校へ行く必要がありません。
They don't know what they should do with the money.	彼らはそのお金をどう処理すべきかわからなかった。
They found that their families didn't like each other.	彼らはお互いの家族が憎み合っているとわかった。
They gave a big party for me.	彼らは私のために盛大なパーティーを開いてくれた。
They give presents to one another.	彼らはお互いに贈り物をする。
They had gone there two days before.	彼らは二日前にそこへ行っていた。
They had had to use what money they had.	彼らは有り金全部を使わざるをえなかった。
They had no food.	彼らには食べ物が無かった。
They had no house in which to live.	彼らには住む家がなかった。
They had no house to live in.	彼らは住むべき家がなかった。
They had to read the book many times.	彼らは何回もその本を読まなければならなかった。
They have a good store of food in the house.	彼らは家に十分食べ物を蓄えている。
They have a large house.	彼らは大きな家を持っている。
They have a large stock of information.	彼らは豊富な情報をもっている。
They have access to the library.	彼らは図書館を利用できる。
They have been here since 1989.	彼らは１９８９年以来、ここにいます。
They have lived here for a long time.	彼らは長い時間ここに住んでいる。
They have no house to live in at all.	彼らにはまったく住む家がない。
They have no house to live in.	彼らは住む家がない。
They have no house to live in.	彼等には住む家がありません。
They have orders to return home.	彼らは帰国命令を受けている。
They have the right to do so.	彼らにはそうする権利がある。
They like to look back on old times.	彼らの昔のことを回想するのが好きだ。
They like to look back on old times.	彼らは昔のことを回想するのが好きだ。
They liked large cars.	彼らは大型の車が好きだった。
They looked down on him.	彼等はわたしを軽蔑した。
They love each other.	彼らは愛し合っている。
They love to give parties all the time.	頻繁にパーティーを開くのが大好きだ。
They made him work.	彼らは彼を働かせた。
They made much of what they saw.	彼らはその光景を重大視した。
They made us work all day long.	彼らは私たちを一日中働かした。
They made us work all day long.	彼らは私たちを１日中働かせた。
They make good use of their rooms.	彼らは自分の部屋をうまく利用している。
They may be playing in the park.	彼らは公園で遊んでいるかもしれない。
They might pay me more if I could use a computer.	コンピューターが使えたらもっとお金をもらえるかもしれないのに。
They might pay me more if I could use a computer.	コンピューターを使えたらもっとお金を貰えるかもしれないのだが。
They must be Americans.	彼らはアメリカ人にちがいない。
They provide value for money.	費用に値するだけの価値を提供する。
They requested him to do the job.	彼らは彼にその仕事をするように要請した。
They say this is one of the best books, if not the best.	これは最良の本ではないにしても、そうした本の一冊だということです。
They sell good foods at that shop.	あの店では良質の食料品を売っている。
They sent him to North America.	彼らは彼を北米へ行かせた。
They started at the same time.	彼らは同時に出発した。
They started studying English last year.	彼らは去年英語の勉強を始めた。
They started to sell a new type of car in Tokyo.	東京で新型の車が売り出された。
They study industry.	彼らは、産業を勉強します。
They visit us from time to time.	彼らは時々私たちを訪れる。
They want to take part in the Olympic Games.	彼らはオリンピックにさんかしたがっている。
They want to take part in the Olympic Games.	彼らはオリンピック大会に参加したがっている。
They were all sold out.	それはすべて売り切れた。
They were in Joe's class last year.	彼らは去年ジョーのクラスにいました。
They will be taken good care of.	彼らはちゃんと面倒見てもらえるでしょう。
They will buy a record.	彼らは、レコードを買います。
They will take down the house in a day.	彼らはその家を１日で取り壊すでしょう。
They work for so much a week.	彼らは１週間いくらで働く。
They work in the fields.	彼らは畑で働いている。
They work only during the day.	彼らは昼間だけ働きます。
They worked to help people.	彼らは人々を助けるために働きました。
They're going to have a party next week.	彼らは来週パーティーを開く予定です。
This and that are two different stories.	それとこれとは話が別だよ。
This article comes with a free gift.	この商品にはおまけが付く。
This article is high quality.	この品物は品質がよい。
This book is as small as that one.	この本はあの本と同じくらい小さい。
This book is less large than that one.	この本はあの本ほど大きくない。
This book is not sold here.	この本はここでは売られていません。
This book is old.	この本は古い。
This book is older than that one.	この本の方があの本よりも古い。
This book is small.	この本は小さい。
This book is smaller than that one.	この本はあの本よりも小さい。
This book is smaller.	この本の方が小さい。
This book is sold here.	この本はここで売られています。
This book is still copyrighted.	この本はまだ版権が生きている。
This book is the smallest of all the books.	この本はすべての本の中で一番小さい。
This book is very small.	この本はとても小さい。
This book sells well.	この本はよく売れる。
This book sold well in Japan.	この本は日本でよく売れた。
This box is full of books.	この箱は本で一杯です。
This box is made of paper.	この箱は紙で出来ている。
This box is not as big as that one.	この箱はあの箱ほど大きくはない。
This box is three times as big as that one.	この箱はあの箱の３倍の大きさです。
This box was made by Tony.	この箱はトニー君によって作られました。
This car is as big as that car.	この車はあの車と同じくらい大きい。
This car is better as compared with that one.	この車はあれに比べればよい。
This car is bigger than that one.	この車はあの車より大きい。
This car must go.	この車を処分しなければならない。
This car sells well.	この車はよく売れる。
This car was selected the "car of the year".	この車は「年間最優秀車」に選ばれた。
This costs more than that.	こちらの方がこちらより値段が高い。
This department store is closed at seven.	このデパートは７時に閉められる。
This department store is closed at seven.	このデパートは７時に閉店する。
This department store is closed today.	このデパートは今日は閉まっている。
This experience will do you good in the long run.	この経験は長い目で見れば、あなたのためになりますよ。
This food called BLT; what's in it?	このＢＬＴという料理は、どんな材料なのですか。
This house has eleven rooms.	この家には１１部屋があります。
This house has six rooms.	この家には部屋が６つあります。
This house is about the same size as Peter's.	この家は、ピーターの家とだいたい同じくらい大きい。
This house is not for sale.	この家は売りもんではない。
This house is not very large.	この家はそう大きくはない。
This house is registered in my name.	この家は私の名前で登記してある。
This house is very good.	この家はとても良い。
This house must be done up.	この家は手入れをしなければならない。
This information checks out all right.	この情報は調べたところ間違いない。
This is Room 839.	８３９号室です。
This is a Christmas present from him.	これは彼からのクリスマスプレゼントです。
This is a book about stars.	これは星についての本です。
This is a book about stars.	これは星の本です。
This is a business section of Tokyo.	ここは東京のビジネス街だ。
This is a little gift for you.	これはお土産です。
This is a present for you.	これは君へのプレゼントだ。
This is a present for you.	プレゼントをどうぞ。
This is a problem of your own making.	これはあなたが自分でおこした問題です。
This is a small book.	これは小さい本です。
This is a small house, but it will do for us.	この家は小さいが我々には十分です。
This is a story about stars.	これは星についての話です。
This is a story written in English.	これは英語で書かれた物語です。
This is a very old book.	これは大変古い本です。
This is a very small book.	これはとても小さい本です。
This is all I have to say.	私の言い分はこれだけだ。
This is all that I know about him.	私が彼について知っているのはこれだけです。
This is all the money I have now.	これは今私が持っているすべてのお金です。
This is all the money I have.	手元にはこれだけしかお金がありません。
This is all the money that I have now.	私が今もっているお金はこれだけです。
This is also part of your work, as I told you before.	すでに言ってあるように、これもあなたの仕事のうちだ。
This is an old book.	これは古い本です。
This is as large as that.	これはあれと同じくらい大きい。
This is as long as that.	これとあれは同じ長さです。
This is going to take a long time, said Tony.	これは長い時間かかりそうだ。とトニーは言った。
This is just another day.	ありふれた一日。
This is just between you and me.	ここだけの話だよ。
This is just between you and me.	ここだけの話なんだけど。
This is just what I have been looking for so long.	これこそ私が大変長い間探していた物です。
This is life!	生きててよかった！
This is little different from what I want.	これは私の欲しいものとは少し違う。
This is much the best.	これが最高なんだ。
This is much the better of the two.	これが２つの中で断然良い。
This is my account book.	これは私の出納帳です。
This is my business address.	これが私の会社の宛名です。
This is my email address.	私のメールアドレスです。
This is one of the jobs I have to do every day.	これは私の毎日の決まった仕事の一つだ。
This is room No. 1025. Room service, please.	こちらは１０２５号室ですが、ルームサービスをお願いします。
This is smaller than that.	これはあれよりも小さい。
This is the American way of life.	これがアメリカ風の生活様式だ。
This is the biggest car in the world.	これは世界で一番大きい車です。
This is the biggest hotel in this city.	これがこの市で一番大きいホテルだ。
This is the book about which I told you.	これが君に話した本だ。
This is the book that I told you about.	これは、私があなたに話した本です。
This is the end of my story.	これで私の話は終わりです。
This is the first time I have visited England.	イングランドを訪れるのはこれが初めてです。
This is the house in which he lived.	これが彼の住んでいた家です。
This is the house in which he lives.	これは彼が住んでいる家だ。
This is the house in which she used to live.	ここは彼女がかつて住んでいた家です。
This is the house that he lives in.	これが彼が住んでいる家です。
This is the house where I live.	これが私の住んでいる家だ。
This is the last game.	今回が最後の試合だ。
This is the life.	人生、こうでなくちゃ！
This is the point we need to think about.	ここが思案のしどころだ。
This is the same book as I have.	これは私が持っているのと同じ本です。
This is the same car as I have.	これは私が持っているのと同じ車だ。
This is the very book that I have long wanted to read.	これこそ私が長い間読みたいと思っていた本だ。
This is the very place I have long wanted to visit.	これこそまさに長い間私が訪ねたいと思っていたところです。
This is the very place that I have long wanted to visit.	こここそまさに私が長い間訪れたいと思っていたところです。
This is their house.	これは彼らの家です。
This is what I've long wanted.	これは私が長い間欲しかったものだ。
This is what he said.	これが彼が言ったことです。
This is what he says.	これが彼の言っていることです。
This is what you must do.	これが君のなすべきものだ。
This is where my family used to live.	ここは昔、私の家族が住んでいた所です。
This is why they can find their way around the world.	そういうわけで彼らは世界中の彼らの道をみつけることができるのです。
This job doesn't pay.	この仕事は割に合わない。
This looks like another government cover-up.	これまた政府の隠ぺい策のようです。
This man is very, very old.	この男は非常に年をとっています。
This material has no give.	この材質は弾力性に欠ける。
This money goes for food.	この金は食費になる。
This money will allow me to buy a car.	このお金のおかげで車が買えます。
This old table is still in use.	この古いテーブルは今でも使われている。
This one is of much higher quality than that one.	質ではこれはあれよりはるかに勝っている。
This place used to be a field.	ここは昔、畑だった。
This play has three acts.	この劇は三幕からなる。
This present was given to me by Ann.	このプレゼントはアンから私に与えられた。
This project may not pay off.	この企画は採算が取れないかもしれない。
This report isn't to the point.	この報告書は要領をえていない。
This room is for VIPs.	この部屋は要人用です。
This room is not very large.	この部屋はそう大きくはない。
This store is closed at nine.	この店は９時に閉じられます。
This store is opened at eight.	この店は８時に開かれます。
This time I'll try it.	こんどは私がそれをやってみよう。
This time you must go there.	今度は君がそこにいかなければならない。
This video recorder doesn't work right.	このビデオは正しく機能しない。
This will be the house we are looking for.	これが私たちがさがしている家でしょう。
This will cost Euro30.	３０ユーロになります。
This will do us for the present.	これで今我々に十分です。
This will do us for the present.	さしあたり、我々にはこれで間に合います。
This word comes from Greek.	この言葉はギリシャ語に由来している。
This word is not in current use.	この語は現在用いられていない。
This word is still in use.	この語はまだ使われている。
This work can be done within a week.	この仕事は１週間以内にできる。
This work doesn't pay.	この仕事は儲からない。
This work is made for him.	この仕事は彼に向いている。
This work took me 5 days, but it will take you as many weeks.	この仕事は、私には５日かかったが、あなたなら５週間かかるでしょう。
This would make a great gift.	これはプレゼントに最適だ
Those are my CDs.	あれは私のCDです。
Those are my books.	あれは私の本です。
Those are our books.	あれらは私たちの本です。
Those are their books.	あれらは彼らの本です。
Those houses are 500 years old.	あの建物は建ててから５００年になる。
Those new model cars are on the market.	その新型車が市場に出ている。
Those photos are hers.	あの写真は彼女のものだ。
Those who are present are all Japanese.	出席をしている人々は全部日本人です。
Thousands of people visited the city.	何千もの人がその町を訪れた。
Thousands of people were there.	何千もの人々がそこにいた。
Three out of ten persons have a video.	１０人中３人はビデオを持っている。
Time is running out.	時間が無くなってきた。
Time is up. Hand in your papers.	時間です。答案を出して下さい。
Time is up. Hand in your papers.	時間です。答案を提出して下さい。
Time presses.	時間が押してる。
Time runs on.	時間というものは早く経過するものだ。
Time will show which of us is right.	時がたてば、私たちのどちらが正しいかわかるだろう。
Time will tell which is right.	時がたてばどちらが正しいかわかるでしょう。
To change the subject.	話はかわりますが。
To see her is to love her.	彼女を見れば、好きになる。
Today is Sunday.	きょうは日曜日です。
Today is Sunday.	今日は日曜日だ。
Today is not your day.	今日は君ついてないねえ。
Today is our school field day.	今日は学校の運動会だ。
Today is the best day of my life.	今日は人生最良の日だ。
Today week I'll be in England.	来週の今日、私は英国にいるでしょう。
Today, I bought ten books in all.	今日、私は全部で十冊の本を買った。
Today, I got an e-mail at my office.	今日、会社にメールが来た
Today, we're going to have a good time!	今日は楽しくやりましょう。
Tokyo is a big city.	東京は大都市です。
Tokyo is a very big city.	東京はとても大きな街です。
Tokyo is a very big city.	東京はとても大きな都市です。
Tokyo is as large a city as any in Japan.	東京は日本のどの都市にも劣らない大都市だ。
Tokyo is bigger than Yokohama.	東京は横浜より大きい。
Tokyo is larger than any other city in Japan.	東京は日本のどの都市より大きい。
Tokyo is larger than any other city in Japan.	東京は日本の他のどの都市よりも大きい。
Tokyo is one of the biggest cities.	東京は大都市の１つです。
Tokyo is the largest city in Japan.	東京は日本で一番大きい都市です。
Tokyo is the largest city in Japan.	東京は日本で最も大きな都市です。
Tokyo is the largest city in Japan.	東京は日本最大の都市です。
Tom and I are friends.	トムと僕は友達だ。
Tom and I are good friends.	トムと私はよい友達です。
Tom and I go to the same high school.	トムとは同じ高校です。
Tom and John are good friends.	トムとジョンは仲良しです。
Tom asked Mary what her last name was.	トムはメアリーに苗字を訊いた。
Tom drove the car.	トムは車を運転した。
Tom has a house which has two rooms.	トムは２部屋ある家をもっている。
Tom has bought a house which has six rooms.	トムは６部屋ある家を買った。
Tom has no friends to play with.	トムには一緒に遊ぶ友達がいません。
Tom is in the house.	トムは家の中に居る。
Tom is not as old as you.	トムはあなたほど年をとっていません。
Tom is older than I.	トムは私より年上です。
Tom loved Mary, who didn't love him at all.	トムはメアリーを愛していたが、彼女は彼を全く愛していなかった。
Tom need not go to school today.	トムは今日学校にいかなくてよい。
Tom says that he can read a French book.	トムはフランス語の本が読めると言っている。
Tom showed me around the park.	トムは私に公園を案内してくれた。
Tomoko asked her friends to come to her party.	智子は友人に彼女のパーティーに来てくれるよう頼んだ。
Tony has lived in Kumamoto since last year.	トニー君は去年から熊本に住んでいます。
Tony runs every day.	トニー君は毎日走ります。
Tony said, "I like it."	「好きです」とトニーは言った。
Travel is one of the better forms of education.	旅はよりよい教育法の一つである。
Try and do better next time.	次回はもっとうまくやるようにしなさい。
Try and do it.	それをやってごらんなさい。
Try as you may, you can't do it in a day.	たとえどんなにやってみても、一日では出来ない。
Try on another one.	もうひとつ別のを試してごらん。
Try this on. It's your size.	これを着てごらんよ君のサイズだよ。
Try to act your age.	年齢相応に振る舞うようにしなさい。
Try to keep up with him.	彼に遅れずについていきなさい。
Try to keep up with him.	彼に遅れずに付いて行くようにしなさい。
Try to make good use of your time.	あなたの時間をうまく利用しなさい。
Try to make good use of your time.	時間をうまく利用するように努めなさい。
Try to make good use of your time.	時間を上手く利用するようにしなさい。
Try to make good use of your time.	時間を十分に利用するようにしなさい。
Try to make the most of your time.	時間を最大限に活用するようにしなさい。
Try to see the problem from her point of view.	彼女の立場からその問題をとらえるようにしなさい。
Twenty families live here.	ここには２０家族が住んでいる。
Twenty years is a long time.	２０年とは長い年月だ。
Two blacks do not make a white.	黒に黒をたしても白にはならぬ。
Two can play at that game.	そっちがその手でくるならこっちにも手がある。
Two can play at that game.	そのゲームなら相手になろう。
Two families live in that house.	あの家には２家族が住んでいる。
Two families live in the same house.	２つの家族が同じ家に住んでいる。
Users can check X.	Xをユーザーが確認できる
Video games aren't good for you.	ゲームは身体に良くない
Watanabe is my family name.	渡辺が名字です。
Water finds its level.	水は低きに流れる。
Water tries to find its own level.	水は水平になろうとする。
We Japanese come of age at twenty.	我々日本人は二十歳で大人の年齢になる。
We acted the story of Columbus.	私たちはコロンブスの話を演じた。
