I like tea.	私はお茶が好きです。
Let well enough alone.	やぶへびを出すな。
At last, I graduated from junior high school.	やっと中学を卒業しました。
It has finally stopped snowing and has warmed up.	やっと雪がやみ、暖かくなりました。
At last, the truth became known to us.	やっと真相がわかった。
At last, the end-of-term exams are over.	やっと期末試験が終わった。
The rain stopped at last.	やっと雨がやんだ。
At last, James Bond made it as an actor.	やっとジェームス・ボンドは俳優として成功した。
Explain it in plain terms, please.	やさしい言葉で説明してください。
Cool the burned finger in running water.	やけどした指を、流水中で冷やしなさい。
Before long, the moon began to appear.	やがて月が見え始めた。
It may rain soon.	やがて雨になるかもしれない。
Hello, Meg, how have you been?	やあメグ、いかがでしたか。
Hello, John! How are you?	やあジョン元気かい？
Hello, how's business?	やあ、景気はどうかね。
Hey, Bob. Where do you have your car washed?	やぁ、ボブ。どこで君の車を洗ってもらったんだい？
Hello, Tom. Good morning.	やぁ、トム。おはよう。
It's really wonderful seeing you again, Momoe.	モモエ、またお会いできて本当にうれしいです。
I used to read novels at random.	もとは手当たり次第に小説を読んだものだ。
I have promised myself to read more books.	もっと本を読もうと誓いました。
You don't have to leave me hanging like this. Why don't you just come out and tell it to me straight?	もっと単刀直入に言ってくれないかな。隔靴掻痒の感なきにしもあらずだよ。
We should judge matters on a broader basis.	もっと大局的に見て判断すべきだ。
I'm sorry I didn't reply to you sooner.	もっと早くに返事を出さなくてごめんなさい。
Sorry I didn't reply sooner.	もっと早く返事を出さないでいてすみません。
Sorry I didn't e-mail you sooner.	もっと早くＥメールしなくて、すみません。
Less noise, please.	もっと静かにして下さい。
Eat more, or you won't gain strength.	もっと食べないと体力が付きませんよ。
You must treat them with more consideration.	もっと思いやりをもって接してやらないといけませんよ。
Could you put it in plain language?	もっと簡単な言葉で説明して下さい。
Please let me know if you need help in reserving a room closer to the Convention Center.	もっと会議場に近い場所の部屋の方がよろしければ、ご連絡下さい。
If you had studied harder, you would have passed the examination.	もっと一生懸命勉強していたら君は試験に合格していただろうに。
Born in better times, he would have become famous.	もっとよい時代に生まれていたら、彼は有名になっていただろう。
You should eat more fruit.	もっと果物を食べるべきです。
How about more fruit, Goro?	もっとくだものをいかがですか、ゴロウ。
I wish I earned more money.	もっとお金を稼げたらいいなあと思います。
Benefits of course should exceed the costs.	もちろん利潤は生産費を上回るべきです。
I'll certainly go and see him.	もちろん彼を訪ねます。
Of course, there were concerts in the town.	もちろん町でコンサートはありました。
Of course our lifestyle is different from America.	もちろん私たちの生活様式はアメリカのとは異なっている。
It goes without saying that country life is healthier than town life.	もちろんのことだが、いなかの生活は都会の生活より健康によい。
Sure, go right ahead.	もちろんですとも、どんどんやってください。
Of course Darwin, like many of his contemporaries, wished to be seen as following the Newtonian method.	もちろん、ダーウィンは同時代の多くの学者と同様、ニュートンの方法論に従っていると見られることを欲した。
By all means. Go ahead.	もちろん、いいですよ。
Modern jazz is not my line.	モダンジャズは私の得意じゃない。
Modern jazz is not to my taste.	モダンジャズは私の趣味に合わない。
If it had not been for the storm, we would have been in time for the meeting.	もし嵐でなかったら、会合に間に合っていただろうに。
If we had wings, could we fly to the moon?	もし翼があれば、月まで飛んで行けるだろうか。
You'll never get ahead in this place unless you go through the proper channels.	もし要求事をする場合、ここではちゃんと筋を通さないと決して出世はしない。
Otherwise we will have to cancel this order.	もし無理な場合は注文をキャンセルします。
If it should rain, he will not come.	もし万一雨が降れば、彼はこないでしょう。
Were I you, I would ignore it.	もし僕が君ならそんなことは無視するだろう。
If you come upon a new word in a sentence, what will you do with it?	もし文の中で新しい単語に出会えば、それをどうしますか。
If you have any complaints, let me know, and I'll look into them.	もし不満があったら知らせてください、調べます。
If I were not ill, I would join you.	もし病気でないならご一緒するのですが。
What would you do if you had a million dollars?	もし百万ドルあれば、どうしますか。
If she hadn't made waves about it, she never would have got her money back.	もし彼女が騒ぎ立てなかったら、彼女のお金は戻ってこなかっただろう。
If she were here now, I would tell her the truth.	もし彼女がここにいたら真実を話すのに。
If you happen to see him, please give him my best regards.	もし彼に会うようなことがあれば、よろしく言っておいてください。
Had he known the facts, the accident might have been avoided.	もし彼がその事実を知っていたら、事故は避けられたであろうに。
Had he known the truth, he would have told me.	もし彼がその事実を知っていたら、私に話してくれただろう。
If the accident happens, report to me.	もし事故が起きたら、私に報告しなさい。
If he had failed the exam, what would he have done?	もし試験に落ちていたとしたら、彼はどうしたのだろう。
If it were not for examinations, how happy our school life would be!	もし試験がなかったら僕たちの学校生活はなんと楽しいことだろう。
If you had taken my advice, you wouldn't be in such trouble.	もし私の助言に従っていたら、きみは今そんな困ったことになっていないのに。
If I had wings, I would fly to you.	もし私に翼があれば、君のところへ飛んでいくのだが。
If I had wings to fly, I would have gone to save her.	もし私に空を飛ぶ翼があったら、彼女を助けに行ったのに。
If I were a boy, I could join a baseball team.	もし私が男の子ならば、野球部にはいることが出来るのに。
If I knew the truth, I would tell you.	もし私が事実を知っていたら、言うだろう。
If she were here now, I could tell her the truth.	もし今彼女がここにいたら、彼女に真実を話せるのに。
Your tea will get cold if you don't drink it now.	もし今飲まなければ、あなたのお茶は冷めますよ。
If you have no liking for modern music, you will not enjoy this concert.	もし現代音楽が好きでないのなら、君はこの音楽会を楽しめないでしょう。
If you are to realize your dream, you must work harder.	もし君が自分の夢を実現させようと思うなら、もっと懸命に働かなければならない。
If you want to be on time, you should be there by 11 o'clock.	もし君が時間通りにしたければ、１１時までにそこに着くべきだ。
Were you to know the fact you would be surprised.	もし君がその事実を知るようなことがあれば驚くだろう。
If it were not for the air, planes could not fly.	もし空気がなければ、飛行機は飛ぶことができないだろう。
In case anything happens, call me immediately.	何が起こっても、すぐに電話をください。
If it rains, take the washing in.	もし雨になったら洗濯物を取り込んでね。
What would you do if you saw a man from another planet?	もし宇宙人と出会ったらどうするかね。
If you wish us to reserve an alternative room, please let us know immediately.	もしも別の部屋の予約をご希望でしたら、大至急ご連絡下さい。
If the brain is dead, we should let the patient die.	もしも脳が死んでいたら、その患者を死なせてあげるべきです。
If I had wings, I would fly to you.	もしも私に翼があれば、君のところへ飛んでいくのだが。
If I had to define life in a word, it would be: Life is creation.	もしも私が一言にして生命の定義を下さなければならないとするならば、生命とは創造であるということである。
Hello. May I speak to Mr Johnson, please?	もしもしジョンソンさんをお願いします。
Hello. This is Joe Carlton. May I speak to Michael?	もしもしジョーカールトンですが、マイケル君をおねがいしたいのですが。
Hello. This is Ogawa speaking.	もしもし。小川ですが。
Hello, it's me. Could you come pick me up at the station?	もしもし、僕だけど、駅まで迎えに来てくれないかい？
Hello, I'm Tomoko Sato from Japan.	もしもし、日本から来た佐藤智子です。
Hello, is this the personnel department?	もしもし、人事課ですが。
Hello, this is Mike.	もしもし、こちらはマイクです。
We accept making a reduction in price of 5% if this will help you to develop a new market for our products.	もしも、私どもの製品の新しい市場を開拓していただく助けになるのでしたら、５％の値引きに応じます。
Please let me know immediately if you would like to use this computer.	もしも、このコンピューターを使いたいのでしたら、大至急ご連絡下さい。
If you had not followed the doctor's advice then, you might be ill now.	もしその時医者の忠告に従っていなかったならば、今頃君は病気かもしれないだろう。
If it had not been for the accident, we would have been in time.	もしその事故がなかったら、時間に間に合っただろう。
If she had not studied English here, she could not have passed the examination.	もしここで英語を勉強していなければ、彼女はその試験に受からなかっただろう。
It might rain before evening.	もしかしたら夕方にならないうちに雨かもしれないよ。
If it hadn't been for the storm, we would have been in time.	もしあらしでなかったら間に合っていただろうに。
If it had not been for your help, I would certainly have failed.	もしあなたに助けてもらわなかったら、私はきっと失敗してただろう。
Don't forget that, if you are on a diet, skipping breakfast will not help you.	もしあなたがダイエット中なら、朝食を抜くのはよくないということを忘れてはいけない。
If he can do that, I will eat my hat.	もしあいつにそれができたら、俺の首をやるよ。
What would you do if you had a million dollars?	もし１００万ドルあれば、どうしますか。
Have you eaten your dinner already?	もう夕食を食べてしまったのか。
Have you eaten dinner yet?	もう夕食は済みましたか。
It's already ten o'clock at night.	もう夜の十時だ。
Now that he has graduated, he must become more serious.	もう彼は卒業したのだからまじめにならなければだめだ。
Seeing that it is 8 o'clock, I think you should leave for school soon.	もう八時なのであなたはすぐに学校に行かなくてはいけないと思う。
Here it's August and our summer vacation is nearly over.	もう八月で夏休みも終わろうとしている。
It's out of stock, but I can give you a rain check.	もう売り切れてしまったのですが、次回有効券をお渡しいたします。
I've decided not to keep a dog again.	もう二度と犬を飼わないと決めた。
I've got to hang up now. Someone is waiting to use the phone.	もう電話を切らなくてはなりません。電話が空くのを待っている人がいるのです。
Now that the weather is warmer, I can go outdoors.	もう暖かくなったので外出できる。
Now that you are grown-up, it is up to you to decide what to do.	もう大人なのだから、やるべきことは自分の責任で決めなさい。
Now that you know the truth, perhaps you'll feel better.	もう真実を知ったのだから、多分気分がよくなるでしょう。
Do you think you could make a little less noise?	もう少し静かにしていただけませんか。
We would have bought the plane tickets if the price had been a little lower.	もう少し安ければその航空券を買っただろうに。
It is almost 12 o'clock.	もう少しで１２時だ。
Can I have some more tea?	もう少しお茶を飲んでいいですか。
Can I have some more tea?	もう少しお茶をもらえますか。
I guess we should leave now.	もう出発しなくてはと思います。
Have you washed your hands yet?	もう手は洗った？
Now that we're alone, let's have fun.	もう私達だけなんだから楽しみましょう。
I am feeling much better now.	もう今では気分はずっといいです。
I guess I'll have to leave now.	もう帰らなければと思います。
I fear we are too late.	もう間に合わないと思う。
I have had enough of sweets.	もう甘いものは食べ飽きた。
Have you decided what to do yet?	もう何をするか決めましたか。
We have had enough of rain.	もう雨はたくさんだ。
We have had enough of rain.	もう雨にはあきあきした。
Now that it has stopped raining, we can go home.	もう雨がやんだから、私たちは家に帰れます。
Give me another cup of tea.	もう一杯お茶をください。
Would you have another cup of tea?	もう一杯お茶をいただきませんか。
Will you have another cup of tea?	もう一杯お茶をいかがですか。
Set your translation against the original once again.	もう一度翻訳を原文と比較してみなさい。
Could you repeat that, please?	もう一度言ってくださいますか。
We could have our tea in the garden, were it a little warmer.	もうちょっと暖かかったら、庭でお茶を飲むことができるのだが。
I was nearly hit by a car.	もうすこしで車にはねられるとこだった。
It'll soon be time for dinner.	もうすぐ夕食です。
It will get warmer soon.	もうすぐ暖かくなるだろう。
My birthday is coming soon.	もうすぐ私の誕生日だ。
It is going to rain very soon.	もうすぐ雨が降りそうだ。
I'll soon finish reading this novel.	もうすぐこの小説を読み終えます。
I have no more desire to eat sweets.	もうこれ以上甘いものを食べたくない。
Do you mean that you have already decided on this plan?	もうこの案に決まったということですか。
It is almost ten o'clock.	もうかれこれ１０時です。
I can't stand that noise any longer.	もうあの音には我慢できない。
It's already nine o'clock.	もう９時です。
Seeing that it is 8 o'clock, I think you should leave for school soon.	もう８時なのであなたはすぐ学校に行かなくてはいけないと思う。
It has been raining for seven full days.	もう７日間も、雨が降り続いています。
It's six o'clock already.	もう６時だ。
It is already past five o'clock.	もう５時過ぎです。
Three hours of driving has worn me out. Let's pull over at the next rest stop we see.	もう３時間以上も運転しているから、ドライブインでちょっと休憩しよう。
This was a bad week. My train was late two days in a row.	もう２日連続で電車が遅れて、今週は最悪だったよ。
One minute earlier, and we could have seen the Queen.	もう１分早かったら、女王が見られただろうに。
Will you have another cup of tea?	もう１杯紅茶をいかがですか。
It's already eleven o'clock. I must be leaving now.	もう１１時です。おいとましなくてはいけません。
It is almost ten o'clock.	もう１０時近い。
It's already past ten o'clock.	もう１０時過ぎだ。
We have already finished our dinner.	もう、私たちは夕食を終えてしまった。
May I trouble you for the salt?	めんどうですが食塩をとっていただけませんか。
We all know that Mendel was way ahead of his time.	メンデルが彼の時代よりずっと進んでいたのは、みんな知っている。
I have lost face completely.	メンツ丸つぶれだ。
Does Mary live next door to the bus driver with whom John worked?	メアリーはジョンが一緒に働いたバスの運転手の隣に住んでいるのですか。
I don't have enough RAM.	メモリが足りないのかなぁ。
Choose whatever dish you want from the menu.	メニューの中から何でも欲しい料理を選びなさい。
There was a great variety of dishes on the menu.	メニューにはいろいろ多彩な料理があった。
All you have to do is take advantage of this rare opportunity.	めったにないこの機会を利用しさえすれば良い。
Meg is preparing breakfast.	メグは朝食を作っています。
Meg cleared her desk.	メグは机を片づけた。
Meg was the only girl that was wearing jeans.	メグはジーンズをはいていた唯一の女の子だった。
Read the meter.	メーターの数字を読んでください。
Each has his own taste.	めいめいに自分の好みがある。
Mary left her sister to clean the windows.	メアリーは妹に窓をきれいにすることを任せた。
Mary is not used to being made fun of in the presence of others.	メアリーは他人の前でからかわれることに慣れていない。
Mary has been ill in bed since last Monday.	メアリーは先週の月曜日から病気で寝ています。
Mary is said to have been ill last week, but she looks well now.	メアリーは先週ずっと病気であったそうだが、今は元気に見える。
Mary didn't refer to the accident she had seen.	メアリーは自分が見た事故について触れなかった。
Mary said to me, "are you ill?"	メアリーは私に「あなたは病気ですか」といいました。
Mary spread the big map on the table.	メアリーは机の上に大きな地図を広げた。
Mary is sitting at the desk.	メアリーは机に向かって勉強しています。
Mary decided never to see him any more.	メアリーはもう彼に会わないことに決めた。
It is believed that Mary is good at tennis.	メアリーはテニスが上手だと信じられている。
Mary promised her mother that she would help her more often.	メアリーは、もっと頻繁に母親を手伝うと約束した。
I do not like Mary's living there alone.	メアリーに一人でそこで生活してもらいたくないのだ。
Mary and I were ill in bed yesterday.	メアリーと私は昨日病気で寝ていました。
When Mary saw him, a look of surprise spread across her face.	メアリーが彼を見たとき、驚きの表情が彼女の顔に浮かんだ。
I didn't bargain for Mary's coming so soon.	メアリーがそんなに早く来るとは思いもかけなかった。
There goes a wonderful coach over there.	むこうをすてきな馬車が行くよ。
The building you see over there is an auto factory.	むこうに見える建物は自動車工場です。
Ming called her friend yesterday evening.	ミンは昨夜友達に電話をかけました。
Did Ming's father play tennis yesterday?	ミンのお父さんは昨日テニスをしましたか。
By all accounts, it's the truth.	みんなの話からすると、それは真実だろう。
I have wonderful news for all of you.	みんなにすばらしい知らせがあるんだ。
Let's play baseball with everyone.	みんなと一緒に野球をしよう。
Hey, what's the big secret? Come on; let me in on it.	みんなで何内緒話してるのよ。私も仲間に入れて。
Dr. Miller wants you to wait for a while.	ミラー先生はあなたにしばらく待ってもらいたいと思っています。
A Mr. Miller wants to see you.	ミラーさんとかいう人がご面会です。
What's playing at the Music Box Theater?	ミュージックボックス劇場では何をやっていますか。
It's just like walking on the moon.	まるで月面を歩いているみたいだ。
You're the only mirror for me.	まるで君は僕の鏡みたいだ。
It is as if the whole sky were on fire.	まるで空全体が燃えているようである。
It looks as if it's going to rain.	まるで雨が降り出しそうに見える。
Could I have two tickets to Malcolm X?	マルコムＸのチケット、２枚ください。
Mary has a flower in her hand.	メアリーは花を持っている。
Mayuko has sharp eyes.	マユコは視力が良い。
Mayuko got a cut on her finger.	マユコは指に切り傷を作った。
Mayuko can't bear living alone.	マユコはひとりぐらしにたえられない。
Mayuko was alone in the room.	マユコはその部屋でひとりだった。
Allow me to introduce Mayuko to you.	マユコさんを紹介いたします。
Dinner will be ready soon.	まもなく夕食の準備が出来るでしょう。
The baseball season opens before long.	まもなく野球シーズンが始まる。
It won't be long before a warm spring comes.	まもなく暖かい春が来るだろう。
It will begin snowing before long.	まもなく雪が降り出すだろう。
We will soon be having snow.	まもなく雪が降ってくることでしょう。
The first snow came before long.	まもなく初雪が降った。
It was not long before we knew the truth.	まもなく私たちは真相を知った。
It won't be long before we can travel to the moon.	まもなく月旅行が出来るだろう。
Before long, the moon came out.	まもなく月がでた。
We will have a music contest soon.	まもなく音楽コンクールがあります。
It will stop raining before long.	まもなく雨はやむだろう。
It is going to rain soon.	まもなく雨になるだろう。
It soon began to rain very hard.	まもなく雨が本降りになってきた。
It will not be long before it rains.	まもなく雨が降るだろう。
It is going to rain soon.	まもなく雨が降りそうだ。
It won't be long before we know the truth.	まもなく私たちは真実を知るだろう。
Can you operate a manual transmission?	マニュアルシフトで運転できますか。
Madonna's concert drew a large audience.	マドンナのコンサートはすごい数の客を集めた。
I agree completely.	まったく同感です。
Look straight ahead.	まっすぐ前方を見なさい。
Go straight ahead and you will find it. You can't miss it.	まっすぐ行けばわかります。見逃すことはありませんよ。
Go straight on.	まっすぐ行け。
Go straight on, and you will find the store.	まっすぐ行きなさい。そうすれば店が見えます。
Max looked into the mirror all the time he was talking.	マックスはしゃべっている間じゅう鏡をのぞきこんでいた。
Don't hang up yet, please.	まだ電話を切らないで下さい。
You drank alcohol again? I told you not to!	また酒を飲んだのか、飲むなと言っただろう。
I haven't decided yet, but I'll let you know by the time we leave.	まだ決めていませんが、出発までにはお知らせします。
Haven't you decided yet?	まだ決めていないのですか。
We have more music coming up, so stay tuned.	まだ音楽が続きます、このままお聞き下さい。
They say we're going to get some rain later.	また雨になるらしいですが。
It's raining again!	また雨だ。
It is likely to rain again.	また雨が降りそうだ。
It's still raining.	まだ雨が降っている。
Is it still raining?	まだ雨は降っていますか。
I haven't put on the jacket yet.	まだその上着には手を通してないんだ。
Do you still need tea?	まだお茶が要りますか。
If you haven't driven a bike yet, you should give it a shot.	まだオートバイを運転したことがないなら、ぜひ一度試してみるといい。
I hear you are still associating with him.	まだあんな男と付き合っているんだそうだね。
Not again! Look at those two kissing. They've really got the hots for each other. I can't watch this any more.	またあいつら、キスしてるぜ。見ろよ。お熱いね。いつも。見てられないよ。
May I take a rain check?	また、次の機会にでも。
In the first place we have to decide on the name.	まず第一に名前を決めなくちゃ。
Originally the meeting was planned for next Saturday.	まず第一に、会は次の土曜日に開くことに取り決められた。
In the first place, we have to decide on the name.	まず第１に名前を決めなくちゃ。
I'll begin by introducing myself.	まず私の自己紹介から始めましょう。
The first thing you have to take into consideration is time.	まず最初に考慮に入れなければならないのは時間です。
First of all, let's look at this famous picture.	まず最初にこの有名な絵を見ましょう。
You will have little trouble.	まず困難ではないでしょう。
It's getting warmer and warmer.	ますます暖かくなってきましたね。
It is getting warmer and warmer.	ますます暖かくなってきています。
More and more people are moving to urban areas.	ますます多くの人々が都会に移ってきている。
First of all, learn the formula by heart.	まずは公式を暗記しなさい。
Let's decide together where to go first.	まずどこへ行くかをみんなで決めよう。
Let's decide together where to go first.	まず、どこへ行くのかをみんなで決めましょう。
When I was on the point of leaving London, it began to snow.	まさにロンドンを出発しようとしていた時、雪が降り出した。
It was quite possible to buy a house, just as it is in England, provided one gives up the idea of buying a home one likes, and at a reasonable price.	まさしくイギリスと事情は同じで、家を買うことは可能であった。ただし、自分が気に入った家を手頃な値段で買うという考えを捨てれば、という条件が付くのであった。
A friend in need is a friend indeed.	まさかの時の友は真の友。
Please push this button at once in case of emergency.	まさかの時にはすぐにこのボタンを押して下さい。
A friend in need is a friend indeed.	まさかの時の友こそ真の友。
In an emergency you can fall back on your savings.	まさかのときには貯蓄に頼ればよい。
In an emergency you can fall back on your savings.	まさかのときには貯蓄すればいい。
What do you think about having breakfast at McDonald's?	マクドナルドで朝食を食べませんか。
Maori culture is now spreading more and more among us and their language has become an official language.	マオリ文化は私たちの間にますます広がり、彼らの言語は公用語の１つになっています。
Mountain bike racing has caught on with young Japanese in the past few years.	マウンテンバイクのレースがこの数年、日本の若者の間ではやっている。
Michael broke the dishes.	マイケルは皿を割ってしまった。
I have installed Microsoft Office on my personal computer, so please use its file format when you send me the attachment.	マイクロソフトオフィスがパソコンに入っています。添付ファイルを送るときには、このファイル形式を使って下さい。
Mike can't play baseball well.	マイクは野球が上手にできない。
Mike earns no less than three hundred dollars a day.	マイクは日に３００ドルも稼ぐ。
Mike has been making a model plane since breakfast.	マイクは朝食後からずっと模型飛行機をつくっている。
Mike didn't join the practice yesterday.	マイクは昨日練習に参加しなかった。
Mike ran very fast yesterday.	マイクは昨日とても速く走った。
Mike doesn't have to wash his mother's car today.	マイクは今日お母さんの車を洗わなくてもよいです。
Mike visited Mr Ogaki, who is our principal.	マイクは校長先生である大垣先生を訪ねました。
Mike doesn't practice basketball on Monday.	マイクは月曜日にはバスケットボールの練習をしない。
Mike really thought your sister was something else.	マイクは君の妹のこと、とびきりいかしてるって思ってるんだ。
Mike is one of our brains.	マイクはブレーンの一人だ。
Mike likes to play basketball.	マイクはバスケットボールをすることが好きです。
Is Mike off the bottle?	マイクはお酒をやめたの？
What did you give Mike on his birthday?	マイクの誕生日に、あなたは何をあげましたか。
Mike and his sister can speak French, but they can't speak Japanese.	マイクと妹はフランス語が話せるが、日本語は話せません。
Mike, do planes usually rock like this?	マイク、飛行機って普通はこんなふうに揺れるものなのかい。
Mark is the salt of the earth, so he can be trusted with a secret.	マークは立派な人だから内密のことを話しても大丈夫だよ。
Mark was a work horse on his construction crew.	マークは建設班の中では働き者だった。
Margaret, whose father you met last Sunday, is a very good tennis player.	マーガレットは、この前の日曜日に君は彼女のお父さんにあったけれど、テニスがとてもうまい。
I guess we could.	まあ、いいけど。
Yeah, it's been a long time.	ほんと随分久しぶりじゃない。
You bet I was surprised.	ほんとに驚いたよ。
Mr White said that because of the convention, there were no rooms available.	ホワイト氏は大会が開かれているため宿泊できる部屋はないといいました。
Mr White called his assistant over and said the following:	ホワイト氏はアシスタントを呼び寄せて次のように言いました。
Mr White made a few comments on my speech.	ホワイトさんは私のスピーチに２、３コメントを加えた。
Mr White's yard is large.	ホワイトさんのうちの庭は広い。
Allow me to introduce you to Mr White.	ホワイトさんにご紹介させて下さい。
It is raining, you see.	ほらね、雨が降っているよ。
Here, I got us a bottle of white wine.	ほら、二人で飲もうと思って白ワインを持ってきましたよ。
It's been raining for around a week.	ほぼ一週間雨が降り続いている。
Bob's really a chip off the old block.	ボブは親にそっくりね。
Bob must have had an accident.	ボブは事故にあったのに違いない。
Bob is down for the coming tennis competition.	ボブは今度のテニス競技会に出場予定だ。
Bob was washing the dishes at that time.	ボブはその時皿洗いをしていた。
I am sure that Bob will pass the examination.	ボブはきっと試験に合格するでしょう。
I would rather go to the movie alone than have Bob come with me.	ボブに来てもらうよりも、むしろ一人で映画に行きたい。
It was an argument of little substance.	ほとんど内容のない議論だった。
I need to put some gas in the car, as it's almost empty.	ほとんど空なのでガソリンを入れなくてはなりません。
The urban population in most developing countries is increasing very fast.	ほとんどの発展途上国の都会の人口は非常に急激に増加している。
Most Japanese take a bath every day.	ほとんどの日本人が毎日、風呂に入ります。
Almost all Japanese boys like to play baseball.	ほとんどの日本の男の子は野球をするのが好きだ。
Most boys like baseball.	ほとんどの男の子は野球が好きだ。
Almost no one thinks that we are sisters.	ほとんどの人が、私たちが姉妹だとは思っていない。
Most accidents happen around the corner.	ほとんどの事故がすぐ近くで起こっている。
Nearly all Japanese have dark hair.	ほとんどすべての日本人が髪が黒い。
Almost all boys can play baseball.	ほとんどすべての少年は野球ができます。
Bottle or glass?	ボトルですか、グラスですか。
Is there a flower shop in the hotel?	ホテルの中に花屋がありますか。
Do you have a doctor or nurse in this hotel?	ホテルに医者か看護婦はいますか。
Make certain where the emergency exit is before you go to bed at a hotel.	ホテルでは寝る前に非常口はどこにあるか確かめなさい。
The hotel was burned down.	ホテルが全焼した。
We could see the full extent of the park from the hotel.	ホテルからその公園の全景が見渡せた。
To our relief, he came back safe and sound.	ほっとしたことに、彼は無事に帰ってきた。
Pochi came running toward us.	ポチは私たちのほうへ走ってきた。
You have only to push the button to open the bay window.	ボタンを押すだけで出窓はあく。
Did you push the button?	ボタンを押しましたか。
There are buttons on the coat.	ボタンがコートに付いている。
A button has come off the coat.	ボタンがコートから外れている。
A button came off my coat.	ボタンが１個コートから取れた。
Boston is too cold for me, let alone Chicago.	ボストンは私には寒すぎるが、シカゴは言うまでもなくもっと寒い。
The posters were immediately removed from the wall.	ポスターは即刻壁から撤去された。
I don't know, nor do I care.	ぼくは知らないし、気にもしない。
I have half a mind to see that myself.	ぼくは自分でそれを見たいような気がする。
I have a great mind to do that myself.	ぼくは自分でそれをやってみたいと大いに思っている。
Yesterday I ran into Yamada, whom I hadn't seen in years.	ぼくは昨日何年もあったことのなかった山田君に出会った。
I'm Tom Hunter.	ぼくはトム・ハンターです。
I remember it as if it were yesterday, but in reality it was fifteen years ago.	ぼくはそれを昨日のことのように覚えているけど、実際は１５年も前のことだ。
I'm feeling fit.	ぼくはすごく元気だ。
I am interested in getting a hat like this.	ぼくはこういう帽子が買いたいなと思っています。
I will not go to the trouble of taking him there.	ぼくはかれをそこへ連れて行くようなめんどうはしたくない。
I like tennis very much.	ぼくは、テニスが大好きです。
My car burns a lot of gas.	ぼくの自動車はずいぶんガソリンをくう。
Will you find my contact lens for me?	ぼくのコンタクトレンズを見つけてくれないか。
Leave my camera alone.	ぼくのカメラに触らないでくれ。
Throw the ball back to me.	ボールを投げ返してください。
Please throw the ball.	ボールを投げてください。
There was a small audience in the hall.	ホールには聴衆はあまりいなかった。
The hall was filled with students, many of whom were girls.	ホールには学生がいっぱいだったが、その多くは女子学生だった。
I found it a lot of fun to play tennis with Paul.	ポールとテニスをするのはとても面白いとわかった。
I enjoyed the concert except that the hall was cold.	ホールが寒かったという点を除けばそのコンサートは楽しかった。
Just once, I'd like to get a hole-in-one some day.	ホールインワンを一度でいいから出したいよ。
A hole in one is moving on the whole.	ホールインワンは概して感動的だ。
Paula and I cooked dinner on Sunday.	ポーラと私は日曜日に夕食を作りました。
You look like you're having a lot of trouble setting up that web page. Want some help?	ホームページ作りに四苦八苦してるようだけど、手伝ってあげようか。
I blew my whole bonus on shopping and travel.	ボーナス全部を買い物と旅行に使ってしまった。
I received my bonus.	ボーナスをもらった。
The boy rowing the boat is a friend of mine.	ボートをこいでいる少年は私の友人です。
Boeing has calculated the chances of a series of crew errors leading to CFIT.	ボーイング社はＣＦＩＴを引き起こす一連の乗務員のミスの可能性を推定した。
Let him alone. He'll soon come around by himself.	ほうっておけば落ち着くよ。
Finding an apartment can be difficult.	部屋捜しは苦労することがある。
Henry has no more than six dollars.	ヘンリーは多くても６ドルしか持っていない。
Henry is old enough to support himself.	ヘンリーは自活してもよい年ごろだ。
Ben was believed to be a criminal.	ベンは犯罪者だと信じられていた。
Ben decided to tell the lawyer everything he knew.	ベンは知っていることをすべて弁護士に話すことにした。
Ben ran a 100-meter race with Carl.	ベンは１００メートル競争をカールと走った。
You wash the dishes, Ben.	ベン、君は皿を洗いなさい。
Helen is playing in the yard.	ヘレンは庭で遊んでいます。
Dr. Hellebrandt is an associate professor in that excellent university.	ヘレブラント博士はそのすぐれた大学の准教授である。
Dr. Bell treated the patient.	ベル先生は患者を治療した。
Has the bell rung?	ベルは鳴りましたか。
Bell used to live in London, didn't he?	ベルは以前ロンドンに住んでいましたね。
The bell has not rung yet.	ベルはまだ鳴っていない。
Hearing the bell, the examinees knew it was time to stop.	ベルの音を耳にしたので、試験を受けている人たちは終了の時刻であることを知った。
On hearing the bell, she answered the telephone.	ベルが鳴るのを聞くとすぐに彼女は電話にでた。
John jumped to his feet the moment the bell rang.	ベルが鳴るとジョンはすぐさま飛び起きた。
The bell rang and the train moved off.	ベルが鳴って電車が出発した。
There's the bell.	ベルが鳴っているよ。
The bell is ringing.	ベルが鳴っている。
The bell rang, and the train began to move.	ベルが鳴って、列車は動き始めた。
We were watching TV when the bell rang.	ベルが鳴ったとき私たちはテレビをみていた。
When the bell rang, the audience took their seats.	ベルが鳴ったとき、聴衆は彼らの席についた。
The bell rang. The teacher told the students to hand in the papers.	ベルがなった。先生は学生に答案を提出しなさいといった。
I think Betty is eligible for a fine young man.	ベティは立派な青年の結婚相手になれると思うよ。
Betty challenged me to a game of tennis.	ベティは私にテニスの試合を挑んだ。
Betty is watering the flowers.	ベティは花に水をやっています。
Betty has a sweet voice.	ベティはよい声をしています。
Betty seemed surprised at the news.	べティはその知らせを聞いて驚いたようだった。
Betty got over the shock.	べティはそのショックから立ち直った。
Betty likes classical music.	ベティはクラシックが好きだ。
No one who owns a pet is allowed to live in this apartment building.	ペットを所有している人は、このアパートには住めません。
My pet cat died yesterday.	ペットのネコが昨日しんじゃったの。
